agency,year,state,population,ORI,card_unfounded_pt,card_unfounded_type,card_actual_type,card_total_cleared_type,card_cleared_18_type,card_officers_type,card_actual_pt,card_total_cleared_pt,card_cleared_18_pt,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Minneapolis Police Department,2023-12-01,Minnesota,422341,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,13,0,32,32,0,117,61,9,12,35,726,115,57,31,44,479,157,89,62,6,1039,536,535,1,0,2620,0,247,409,1732,2141,11,0,8,8,0,20,6,1,5,8,272,36,45,27,36,128,14,5,8,1,37,8,8,0,0,370,0,144,183,59,242,1,0,2,2,0,4,2,1,0,1,13,2,5,0,1,5,1,0,1,0,1,2,2,0,0,24,0,8,15,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2023-11-01,Minnesota,422341,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,10,0,21,21,0,114,63,5,3,43,735,122,48,44,52,469,175,91,72,12,980,516,512,0,4,2551,0,266,411,1671,2082,7,1,9,8,1,18,11,1,0,6,175,32,21,12,28,82,14,9,4,1,39,7,7,0,0,270,0,93,127,60,187,1,0,0,0,0,5,5,0,0,0,12,1,2,1,1,7,2,2,0,0,3,3,3,0,0,26,0,5,11,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2023-10-01,Minnesota,422341,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,4,0,30,30,0,138,75,6,19,38,753,115,42,30,48,518,212,107,99,6,1116,565,562,0,3,2818,0,235,407,1893,2300,1,0,6,6,0,19,10,1,2,6,261,32,17,6,36,170,10,4,6,0,34,6,6,0,0,337,0,91,117,50,167,0,0,0,0,0,4,3,0,0,1,4,0,1,0,1,2,3,2,1,0,1,0,0,0,0,12,0,2,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2023-09-01,Minnesota,422341,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,4,1,29,28,1,149,88,5,11,45,820,94,48,43,53,582,243,128,104,11,1100,446,442,0,4,2792,0,238,420,1789,2209,3,1,7,7,0,29,14,1,1,13,226,27,13,21,28,137,19,8,11,0,48,16,16,0,0,349,0,89,128,83,211,0,0,0,0,0,4,3,0,0,1,5,1,1,1,0,2,1,1,0,0,2,5,5,0,0,17,0,3,7,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2023-08-01,Minnesota,422341,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,6,1,30,28,2,138,64,9,10,55,824,108,47,50,45,574,289,118,159,12,1103,682,678,0,4,3073,0,250,424,2074,2498,2,1,3,3,0,17,9,1,1,6,193,25,20,13,26,109,29,10,16,3,61,23,22,1,0,329,0,84,106,113,219,0,0,0,0,0,4,2,0,1,1,6,0,0,0,0,6,1,0,1,0,0,8,8,0,0,19,0,0,4,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2023-07-01,Minnesota,422341,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,6,2,39,39,0,139,57,10,13,59,883,116,62,61,48,596,360,183,169,8,1165,622,617,1,4,3216,0,287,471,2147,2618,7,1,12,12,0,22,7,4,2,9,219,29,32,23,27,108,15,8,7,0,26,14,14,0,0,316,0,111,152,55,207,1,0,0,0,0,3,1,1,0,1,14,1,2,3,1,7,0,0,0,0,2,4,4,0,0,24,0,7,11,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2023-06-01,Minnesota,422341,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,5,5,35,34,1,126,56,9,10,51,885,100,48,49,63,625,243,149,81,13,1066,500,496,0,4,2865,0,260,426,1809,2235,1,5,12,12,0,18,9,0,3,6,196,18,19,9,32,118,10,6,4,0,23,15,15,0,0,280,0,78,109,48,157,0,0,1,1,0,3,2,0,0,1,3,0,1,0,0,2,0,0,0,0,1,3,3,0,0,11,0,1,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2023-05-01,Minnesota,422341,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,6,2,44,44,0,144,77,14,6,47,906,132,54,52,48,620,209,114,84,11,969,712,706,0,6,2992,0,286,480,1890,2370,6,0,5,5,0,17,11,0,1,5,217,27,20,18,26,126,10,4,5,1,17,12,12,0,0,284,0,91,119,39,158,1,0,0,0,0,4,2,0,0,2,20,4,3,3,1,9,0,0,0,0,1,6,6,0,0,32,0,11,16,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2023-04-01,Minnesota,422341,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,5,0,28,28,0,112,50,18,5,39,822,141,43,30,46,562,165,96,62,7,872,790,788,0,2,2794,0,260,405,1827,2232,2,0,9,9,0,12,6,0,1,5,176,28,33,8,21,86,8,5,2,1,28,9,9,0,0,244,0,90,113,45,158,0,0,1,1,0,5,3,0,1,1,5,2,0,0,0,3,0,0,0,0,0,4,4,0,0,15,0,2,8,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2023-03-01,Minnesota,422341,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,2,0,24,23,1,82,38,5,5,34,655,80,34,52,44,445,187,108,65,14,872,891,891,0,0,2713,0,210,318,1950,2268,4,0,2,2,0,17,6,0,3,8,169,32,18,15,21,83,24,16,7,1,20,12,12,0,0,248,0,86,109,56,165,0,0,1,1,0,11,6,0,0,5,3,0,0,1,0,2,1,1,0,0,1,8,8,0,0,25,0,1,13,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2023-02-01,Minnesota,422341,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,6,0,21,20,1,72,35,8,2,27,585,53,39,27,37,429,167,99,60,8,709,820,819,0,1,2380,0,156,255,1696,1951,2,0,3,3,0,15,12,2,0,1,175,30,14,6,19,106,10,5,5,0,8,14,14,0,0,227,0,69,89,32,121,0,0,1,1,0,3,3,0,0,0,8,0,1,1,0,6,0,0,0,0,0,4,4,0,0,16,0,2,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2023-01-01,Minnesota,422341,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,5,1,33,32,1,104,57,7,7,33,623,99,32,25,55,412,151,80,59,12,861,694,694,0,0,2472,0,211,353,1706,2059,4,0,6,6,0,12,5,0,2,5,184,14,20,13,31,106,13,7,4,2,27,14,14,0,0,260,0,78,100,54,154,1,0,0,0,0,2,2,0,0,0,15,0,0,1,1,13,0,0,0,0,1,1,1,0,0,20,0,2,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2022-12-01,Minnesota,421690,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,6,3,21,20,1,124,77,7,10,30,670,63,32,28,52,495,186,116,60,10,831,615,615,0,0,2456,0,175,326,1632,1958,6,1,2,2,0,13,9,0,1,3,180,27,17,15,25,96,13,8,4,1,20,10,10,0,0,245,0,84,105,43,148,0,0,0,0,0,2,2,0,0,0,4,1,0,0,0,3,0,0,0,0,0,3,3,0,0,9,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2022-11-01,Minnesota,421690,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,2,1,19,18,1,108,67,5,9,27,738,89,58,30,41,520,194,130,59,5,869,666,662,0,4,2597,0,218,347,1729,2076,1,1,4,4,0,19,14,0,0,5,202,37,27,16,26,96,16,15,1,0,35,9,9,0,0,287,0,106,130,60,190,0,0,0,0,0,7,6,0,0,1,9,1,3,0,1,4,1,1,0,0,1,2,2,0,0,20,0,5,12,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2022-10-01,Minnesota,421690,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,4,1,36,34,2,146,90,2,8,46,823,128,49,42,49,555,175,104,60,11,1035,702,698,0,4,2922,0,268,454,1912,2366,2,0,4,4,0,15,11,0,2,2,153,22,15,14,15,87,9,3,4,2,27,8,8,0,0,218,0,66,87,44,131,0,0,0,0,0,5,4,0,1,0,3,0,1,0,0,2,0,0,0,0,0,1,1,0,0,9,0,1,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2022-09-01,Minnesota,421690,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,7,0,19,18,1,160,84,7,13,56,812,119,45,54,45,549,213,110,93,10,1194,587,578,0,9,2992,0,263,449,1994,2443,5,0,13,12,1,47,35,2,2,8,212,38,30,21,27,96,14,7,6,1,29,10,10,0,0,330,0,116,181,53,234,1,0,0,0,0,8,7,0,0,1,6,0,2,2,0,2,0,0,0,0,0,1,1,0,0,16,0,4,13,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2022-08-01,Minnesota,421690,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,9,0,39,36,3,209,141,6,11,51,793,148,42,42,52,509,261,113,136,12,1425,545,539,0,6,3281,0,284,541,2231,2772,10,0,3,2,1,19,12,2,0,5,167,32,20,11,22,82,21,14,6,1,43,9,9,0,0,272,0,85,117,73,190,1,0,0,0,0,7,6,0,0,1,13,3,0,1,0,9,1,1,0,0,1,1,1,0,0,24,0,4,12,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2022-07-01,Minnesota,421690,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,8,0,31,30,1,207,112,11,16,68,889,176,50,64,45,554,321,175,131,15,1442,554,546,0,8,3452,0,335,581,2317,2898,12,1,4,4,0,29,13,2,1,13,218,36,24,23,16,119,26,17,7,2,41,3,3,0,0,334,0,99,144,70,214,0,0,0,0,0,12,7,1,0,4,13,2,0,1,0,10,0,0,0,0,2,0,0,0,0,27,0,3,15,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2022-06-01,Minnesota,421690,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,8,0,37,37,0,182,88,12,14,68,860,166,43,37,54,560,304,183,111,10,1310,571,563,0,8,3272,0,300,527,2185,2712,8,0,9,9,0,18,6,4,0,8,147,23,17,4,25,78,21,8,12,1,34,6,6,0,0,243,0,69,104,61,165,1,0,1,1,0,3,1,0,0,2,5,0,0,0,0,5,3,1,2,0,1,0,0,0,0,14,0,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2022-05-01,Minnesota,421690,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,5,0,39,37,2,150,74,11,10,55,824,162,50,47,63,502,259,147,99,13,1283,396,388,0,8,2956,0,322,516,1938,2454,1,0,10,10,0,19,9,1,3,6,191,34,21,6,32,98,16,10,6,0,33,8,8,0,0,278,0,93,123,57,180,0,0,0,0,0,6,4,0,1,1,12,1,3,2,1,5,0,0,0,0,0,0,0,0,0,18,0,7,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Police Department,2022-04-01,Minnesota,421690,MN02711,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,14,0,28,27,1,104,46,12,7,39,616,92,34,35,33,422,196,99,88,9,1134,332,331,1,0,2424,0,194,340,1662,2002,7,0,6,6,0,26,11,4,3,8,178,51,13,10,21,83,10,6,4,0,47,8,8,0,0,282,0,95,134,65,199,1,0,2,2,0,3,1,1,1,0,8,0,1,0,2,5,0,0,0,0,2,2,2,0,0,18,0,3,9,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
