agency,year,state,population,ORI,card_unfounded_pt,card_unfounded_type,card_actual_type,card_officers_type,card_actual_pt,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Columbus Police Department,2017-01-01,Ohio,872205,OHCOP00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,9,0,134,127,7,156,70,9,10,67,1374,79,9,17,11,1258,576,397,160,19,1932,391,344,0,47,4572,0,116,415,2899,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus Police Department,2017-02-01,Ohio,872205,OHCOP00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,10,0,55,51,4,137,58,8,18,53,1245,55,18,15,15,1142,433,287,115,31,1568,283,252,4,27,3731,0,103,305,2284,2589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus Police Department,2017-03-01,Ohio,872205,OHCOP00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,13,0,71,68,3,149,72,10,7,60,1363,49,14,20,11,1269,510,338,147,25,1753,280,241,5,34,4139,0,94,327,2543,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus Police Department,2017-04-01,Ohio,872205,OHCOP00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,14,0,60,53,7,147,51,13,12,71,1497,101,20,28,21,1327,751,528,187,36,1861,303,260,2,41,4633,0,170,391,2915,3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus Police Department,2017-05-01,Ohio,872205,OHCOP00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,12,1,101,87,14,167,75,11,14,67,1451,59,19,23,16,1334,614,385,198,31,2054,275,244,8,23,4675,0,117,397,2943,3340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus Police Department,2017-06-01,Ohio,872205,OHCOP00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,11,0,89,83,6,185,75,7,13,90,1456,99,27,36,19,1275,600,388,184,28,1997,333,293,10,30,4671,0,181,466,2930,3396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus Police Department,2017-07-01,Ohio,872205,OHCOP00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,11,0,87,82,5,203,93,12,20,78,1488,95,33,22,22,1316,612,379,211,22,2217,353,308,9,36,4971,0,172,473,3182,3655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus Police Department,2017-08-01,Ohio,872205,OHCOP00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,12,0,78,75,3,174,65,12,12,85,1125,60,11,19,13,1022,668,405,233,30,2224,495,337,13,145,4776,0,103,367,3387,3754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus Police Department,2017-09-01,Ohio,872205,OHCOP00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,9,0,82,77,5,170,63,10,20,77,1257,56,18,13,17,1153,655,389,242,24,2048,362,315,10,37,4583,0,104,365,3065,3430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus Police Department,2017-10-01,Ohio,872205,OHCOP00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,11,0,77,73,4,174,75,10,10,79,1386,58,14,20,18,1276,640,397,217,26,2172,366,308,11,47,4826,0,110,372,3178,3550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
