agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Alachua,1980,Florida,FL,67535,FL00100,FL0010000,12,001,12001,sheriffs office,"msa cnty 25,000-99,999",south atlantic,suburban,202,153,49,179,23,142,33,11,33,4,5,4,7,7,10,2,11,6,6,10,5,10,26,21,15,8,7,7,4,1,3,0,0,1,3,6,2,1,1,1,1,1,0,0,2,4,0,0,0,0,0,0,0,80,73,0,0,26,23,0,0
Gainesville,1980,Florida,FL,72270,FL00101,FL0010100,12,001,12001,local police department,"cities 50,000-99,999",south atlantic,non-suburban,308,258,50,253,55,213,39,45,39,1,4,4,5,13,13,8,19,9,11,23,13,13,49,34,9,11,3,6,2,2,1,0,1,2,3,3,1,6,4,1,1,3,4,7,8,6,2,3,0,0,0,0,0,94,164,0,0,14,36,0,0
High Springs,1980,Florida,FL,2350,FL00104,FL0010400,12,001,12001,local police department,"cities under 2,500",south atlantic,suburban,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
University Of Florida,1980,Florida,FL,0,FL00106,FL0010600,12,001,12001,special jurisdiction,"cities under 2,500",south atlantic,suburban,9,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0
Alachua,1980,Florida,FL,3414,FL00108,FL0010800,12,001,12001,local police department,"cities 2,500-9,999",south atlantic,suburban,31,27,4,28,3,25,3,2,3,0,0,2,0,1,0,0,1,2,0,1,1,2,9,2,1,3,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,20,0,0,2,2,0,0
Alachua Co Div Beverage,1980,Florida,FL,0,FL001DB,FL001DB00,12,001,12001,special jurisdiction,"msa cnty under 10,000",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alachua Co Game Fwf Comm,1980,Florida,FL,0,FL001GM,FL001GM00,12,001,12001,special jurisdiction,"msa cnty under 10,000",south atlantic,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Baker,1980,Florida,FL,11449,FL00200,FL0020000,12,003,12003,sheriffs office,"msa cnty 10,000-24,999",south atlantic,suburban,14,14,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0
Macclenny,1980,Florida,FL,3829,FL00201,FL0020100,12,003,12003,local police department,"cities 2,500-9,999",south atlantic,suburban,24,20,4,20,4,16,4,4,4,0,0,1,0,3,0,1,1,0,0,1,0,2,1,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,13,7,0,0,3,1,0,0
Bay,1980,Florida,FL,35661,FL00300,FL0030000,12,005,12005,sheriffs office,"msa cnty 25,000-99,999",south atlantic,suburban,32,28,4,29,3,25,4,3,4,0,0,2,1,0,1,0,2,0,0,1,3,0,6,5,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,24,4,0,0,4,0,0,0
