agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Hawaii County,1980,Hawaii,HI,55152,HI00100,HI0010000,15,001,15001,27,23,4,20,7,18,2,5,2,0,0,1,0,1,0,1,2,0,3,2,0,1,4,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,12,0,11,0,2,0,2,0
Hilo,1980,Hawaii,HI,37054,HI00101,HI0010100,15,001,15001,16,14,2,16,0,14,2,0,2,0,0,0,1,0,1,0,1,1,0,3,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,0,0,0,2,0
Honolulu,1980,Hawaii,HI,762020,HI00200,HI0020000,15,003,15003,242,211,31,220,22,191,29,20,29,0,0,7,6,8,8,14,17,16,19,13,12,10,47,16,10,4,6,2,2,2,1,0,0,0,0,1,1,0,3,0,0,2,1,1,5,2,2,4,0,0,0,0,0,38,13,160,0,3,1,27,0
Kauai County,1980,Hawaii,HI,39117,HI00400,HI0040000,15,007,15007,32,28,4,31,1,27,4,1,4,0,0,0,0,2,2,0,2,2,2,0,2,2,11,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,20,0,1,0,3,0
Maui County,1980,Hawaii,HI,71337,HI00500,HI0050000,15,009,15009,36,27,9,35,1,27,7,0,7,1,0,1,0,1,5,2,1,2,3,0,3,1,7,4,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,12,0,5,0,4,0
Hawaii County,1981,Hawaii,HI,55971,HI00100,HI0010000,15,001,15001,18,16,2,18,0,16,2,0,2,0,0,0,0,0,2,0,1,1,0,1,0,2,3,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,2,0
Hilo,1981,Hawaii,HI,37604,HI00101,HI0010100,15,001,15001,15,15,0,13,2,13,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0
Honolulu,1981,Hawaii,HI,773331,HI00200,HI0020000,15,003,15003,190,176,14,167,23,156,11,20,11,0,1,0,4,4,2,12,13,13,7,10,5,7,31,22,18,6,6,2,2,0,2,0,0,1,0,2,0,0,1,0,2,0,0,0,4,4,2,3,1,1,1,1,0,36,20,120,0,1,0,13,0
Kauai County,1981,Hawaii,HI,39698,HI00400,HI0040000,15,007,15007,44,39,5,38,6,35,3,4,3,0,0,0,1,1,1,6,1,4,1,0,1,0,9,5,1,6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,18,2,19,0,0,0,5,0
Maui County,1981,Hawaii,HI,72396,HI00500,HI0050000,15,009,15009,27,26,1,27,0,26,1,0,1,0,0,0,0,0,1,2,1,1,0,1,4,0,5,3,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,14,1,0,0,1,0
Hawaii County,1982,Hawaii,HI,56828,HI00100,HI0010000,15,001,15001,19,18,1,18,1,17,1,1,1,0,0,0,0,0,1,0,0,2,2,0,2,0,3,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1,9,0,0,0,1,0
Hilo,1982,Hawaii,HI,38180,HI00101,HI0010100,15,001,15001,16,14,2,14,2,12,2,2,2,0,0,0,2,0,0,2,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,1,8,0,1,0,1,0
Honolulu,1982,Hawaii,HI,785181,HI00200,HI0020000,15,003,15003,230,196,34,210,20,177,33,19,33,0,4,4,2,11,12,13,11,7,13,12,14,12,45,18,15,5,1,6,3,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,7,3,4,0,0,1,0,0,1,31,14,151,0,3,0,31,0
Kauai County,1982,Hawaii,HI,40306,HI00400,HI0040000,15,007,15007,23,21,2,19,4,18,1,3,1,0,1,0,0,0,0,0,1,3,0,0,0,2,3,1,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,6,1,14,0,0,0,2,0
Maui County,1982,Hawaii,HI,73505,HI00500,HI0050000,15,009,15009,34,32,2,31,3,30,1,2,1,0,0,0,0,1,0,0,1,1,0,1,2,1,10,5,5,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10,0,22,0,2,0,0,0
Hawaii County,1983,Hawaii,HI,58485,HI00100,HI0010000,15,001,15001,13,13,0,12,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,7,0,0,0,0,0
Hilo,1983,Hawaii,HI,39293,HI00101,HI0010100,15,001,15001,13,13,0,12,1,12,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,8,0,0,0,0,0
Honolulu,1983,Hawaii,HI,808092,HI00200,HI0020000,15,003,15003,305,276,29,276,29,248,28,28,28,0,0,2,6,14,6,27,25,22,18,7,20,17,37,40,13,2,10,6,2,1,1,0,0,0,1,0,0,2,1,1,0,7,2,2,7,1,3,1,0,0,0,0,1,63,19,193,1,1,0,28,0
Kauai County,1983,Hawaii,HI,41481,HI00400,HI0040000,15,007,15007,54,49,5,51,3,46,5,3,5,0,1,1,1,2,0,3,2,1,2,3,1,3,10,11,5,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,22,0,27,0,3,0,2,0
Maui County,1983,Hawaii,HI,75649,HI00500,HI0050000,15,009,15009,40,33,7,35,5,29,6,4,6,0,0,0,1,1,4,2,1,1,2,0,1,1,6,8,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,15,0,18,0,3,0,4,0
Hawaii County,1984,Hawaii,HI,67605,HI00100,HI0010000,15,001,15001,25,23,2,24,1,22,2,1,2,0,0,0,2,0,0,2,0,0,1,0,1,0,4,9,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,14,0,1,0,1,0
