agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,theft_tot_arrests,theft_tot_adult,theft_tot_juv,theft_tot_male,theft_tot_female,theft_tot_male_adult,theft_tot_male_juv,theft_tot_female_adult,theft_tot_female_juv,theft_male_under_10,theft_male_10_12,theft_male_13_14,theft_male_15,theft_male_16,theft_male_17,theft_male_18,theft_male_19,theft_male_20,theft_male_21,theft_male_22,theft_male_23,theft_male_24,theft_male_25_29,theft_male_30_34,theft_male_35_39,theft_male_40_44,theft_male_45_49,theft_male_50_54,theft_male_55_59,theft_male_60_64,theft_male_over_64,theft_female_under_10,theft_female_10_12,theft_female_13_14,theft_female_15,theft_female_16,theft_female_17,theft_female_18,theft_female_19,theft_female_20,theft_female_21,theft_female_22,theft_female_23,theft_female_24,theft_female_25_29,theft_female_30_34,theft_female_35_39,theft_female_40_44,theft_female_45_49,theft_female_50_54,theft_female_55_59,theft_female_60_64,theft_female_over_64,theft_adult_white,theft_adult_black,theft_adult_asian,theft_adult_indian,theft_juv_white,theft_juv_black,theft_juv_asian,theft_juv_indian,mtr_veh_theft_tot_arrests,mtr_veh_theft_tot_adult,mtr_veh_theft_tot_juv,mtr_veh_theft_tot_male,mtr_veh_theft_tot_female,mtr_veh_theft_tot_male_adult,mtr_veh_theft_tot_male_juv,mtr_veh_theft_tot_female_adult,mtr_veh_theft_tot_female_juv,mtr_veh_theft_male_under_10,mtr_veh_theft_male_10_12,mtr_veh_theft_male_13_14,mtr_veh_theft_male_15,mtr_veh_theft_male_16,mtr_veh_theft_male_17,mtr_veh_theft_male_18,mtr_veh_theft_male_19,mtr_veh_theft_male_20,mtr_veh_theft_male_21,mtr_veh_theft_male_22,mtr_veh_theft_male_23,mtr_veh_theft_male_24,mtr_veh_theft_male_25_29,mtr_veh_theft_male_30_34,mtr_veh_theft_male_35_39,mtr_veh_theft_male_40_44,mtr_veh_theft_male_45_49,mtr_veh_theft_male_50_54,mtr_veh_theft_male_55_59,mtr_veh_theft_male_60_64,mtr_veh_theft_male_over_64,mtr_veh_theft_female_under_10,mtr_veh_theft_female_10_12,mtr_veh_theft_female_13_14,mtr_veh_theft_female_15,mtr_veh_theft_female_16,mtr_veh_theft_female_17,mtr_veh_theft_female_18,mtr_veh_theft_female_19,mtr_veh_theft_female_20,mtr_veh_theft_female_21,mtr_veh_theft_female_22,mtr_veh_theft_female_23,mtr_veh_theft_female_24,mtr_veh_theft_female_25_29,mtr_veh_theft_female_30_34,mtr_veh_theft_female_35_39,mtr_veh_theft_female_40_44,mtr_veh_theft_female_45_49,mtr_veh_theft_female_50_54,mtr_veh_theft_female_55_59,mtr_veh_theft_female_60_64,mtr_veh_theft_female_over_64,mtr_veh_theft_adult_white,mtr_veh_theft_adult_black,mtr_veh_theft_adult_asian,mtr_veh_theft_adult_indian,mtr_veh_theft_juv_white,mtr_veh_theft_juv_black,mtr_veh_theft_juv_asian,mtr_veh_theft_juv_indian
Hawaii County,1980,Hawaii,HI,55152,HI00100,HI0010000,15,001,15001,245,161,84,181,64,113,64,48,64,4,4,17,9,18,16,18,12,4,3,6,11,2,18,22,7,3,3,1,1,1,1,2,0,6,3,5,0,6,1,2,7,4,0,2,12,5,1,2,3,1,2,0,0,110,2,49,0,55,1,28,0,34,14,20,26,8,9,17,5,17,0,0,5,5,2,5,1,3,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,8,0,6,0,9,0,11,0
Hilo,1980,Hawaii,HI,37054,HI00101,HI0010100,15,001,15001,246,148,98,127,119,76,51,72,51,0,1,12,14,10,14,8,7,5,6,4,1,1,14,8,7,4,0,2,0,1,8,0,3,17,11,11,5,6,10,3,2,6,4,2,11,13,5,1,1,4,1,1,2,82,2,62,2,42,0,56,0,28,12,16,28,0,12,16,0,16,0,0,3,2,9,2,4,3,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,7,0,9,0
Honolulu,1980,Hawaii,HI,762020,HI00200,HI0020000,15,003,15003,6177,3135,3042,3951,2226,1836,2014,1299,2014,101,360,588,380,333,353,192,185,174,146,121,87,80,286,147,89,50,62,54,68,36,59,20,113,289,198,171,136,106,125,85,89,72,52,54,223,145,76,59,51,54,46,27,35,1101,137,1897,0,460,36,2546,0,810,385,425,719,91,354,364,31,364,1,16,87,66,100,95,71,59,50,40,27,18,14,40,17,7,5,3,2,1,0,0,0,4,20,21,12,3,1,6,2,2,2,1,3,9,2,1,1,0,1,0,0,0,86,14,285,0,35,2,387,1
Kauai County,1980,Hawaii,HI,39117,HI00400,HI0040000,15,007,15007,263,112,151,213,50,93,113,19,113,7,21,14,35,18,25,7,13,9,5,7,3,6,19,11,3,1,0,0,4,0,5,2,8,6,4,4,7,3,2,4,0,0,1,0,0,3,3,1,1,0,1,0,0,76,1,35,0,61,0,90,0,54,25,29,52,2,25,27,0,27,0,1,2,6,10,8,3,14,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,8,0,13,0,16,0
Maui County,1980,Hawaii,HI,71337,HI00500,HI0050000,15,009,15009,202,98,104,156,46,72,83,26,83,1,8,20,12,19,24,15,7,2,6,3,5,2,14,5,5,3,0,0,1,1,3,0,6,4,3,5,2,2,3,2,0,1,0,4,5,4,2,0,0,0,2,1,0,71,0,27,0,49,0,55,0,50,17,33,48,2,17,31,0,31,0,0,6,8,11,6,3,0,0,0,0,2,4,7,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,18,0,15,0
Hawaii County,1981,Hawaii,HI,55971,HI00100,HI0010000,15,001,15001,201,118,83,154,47,90,61,28,61,3,4,12,12,20,13,10,9,5,5,8,3,3,21,12,8,1,1,2,0,0,2,1,3,7,2,3,3,3,1,2,0,2,1,1,9,4,0,1,1,0,1,2,0,64,0,54,0,28,0,55,0,28,21,7,28,0,21,7,0,7,0,0,2,2,2,1,5,4,0,0,2,0,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,14,0,3,0,4,0
Hilo,1981,Hawaii,HI,37604,HI00101,HI0010100,15,001,15001,243,159,84,153,90,101,52,58,52,0,0,12,12,13,15,19,11,10,7,5,7,6,13,10,6,1,2,2,0,1,1,0,2,13,5,5,7,6,5,6,3,6,1,5,9,6,4,3,1,1,2,0,0,74,4,81,0,24,0,60,0,17,6,11,16,1,5,11,1,11,0,0,3,5,1,2,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,5,0,6,0
Honolulu,1981,Hawaii,HI,773331,HI00200,HI0020000,15,003,15003,5976,3264,2712,3905,2071,2061,1740,1203,1740,104,354,510,300,311,265,200,193,143,136,118,91,78,380,207,122,69,71,66,63,41,83,21,144,247,169,158,129,88,87,71,65,69,65,63,228,140,78,58,44,51,28,30,38,1178,138,1948,0,423,43,2246,0,661,341,320,572,89,301,270,40,270,1,7,61,60,77,65,42,52,32,30,22,20,15,43,25,10,3,0,1,6,0,0,0,0,7,14,19,9,11,7,4,5,3,4,0,2,2,0,0,2,0,0,0,0,84,15,242,0,33,3,284,0
Kauai County,1981,Hawaii,HI,39698,HI00400,HI0040000,15,007,15007,269,171,98,185,84,118,62,53,62,5,11,19,9,10,13,6,12,6,4,7,7,10,28,16,5,6,0,1,0,1,9,2,3,7,10,5,4,5,7,2,1,2,2,1,10,12,3,3,0,1,0,1,3,87,3,81,0,28,0,70,0,31,24,7,28,3,21,7,3,7,0,0,1,2,2,2,1,2,4,0,1,2,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,9,0,0,0,7,0
Maui County,1981,Hawaii,HI,72396,HI00500,HI0050000,15,009,15009,401,241,160,281,120,150,128,91,128,3,10,35,25,32,26,18,15,11,9,7,6,5,26,25,8,5,6,2,2,4,1,0,6,6,9,3,5,11,6,9,2,1,2,2,18,14,3,3,3,5,5,6,1,146,2,93,0,33,0,127,0,47,21,26,42,5,20,22,1,22,0,1,4,2,5,10,4,3,1,2,1,2,0,4,1,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,7,0,19,0
Hawaii County,1982,Hawaii,HI,56828,HI00100,HI0010000,15,001,15001,293,173,120,213,80,127,86,46,86,0,10,16,16,30,14,11,8,11,15,11,3,7,21,18,11,1,3,1,1,5,0,0,8,10,3,6,7,3,5,6,1,3,2,3,7,5,5,1,3,1,0,1,0,101,3,69,0,48,0,72,0,25,18,7,19,6,17,2,1,2,0,0,0,0,1,1,4,1,1,0,0,0,0,5,4,1,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,8,0,3,0,4,0
Hilo,1982,Hawaii,HI,38180,HI00101,HI0010100,15,001,15001,426,258,168,246,180,148,97,110,97,1,12,27,24,22,12,16,8,5,7,10,7,8,30,20,5,3,4,7,4,5,9,0,8,24,11,15,12,8,6,6,3,2,6,3,25,18,5,5,5,5,2,4,7,113,8,135,2,62,1,105,0,37,7,30,23,14,7,16,0,16,0,0,3,4,6,3,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,8,0,22,0
Honolulu,1982,Hawaii,HI,785181,HI00200,HI0020000,15,003,15003,6525,3800,2725,4245,2280,2332,1795,1468,1795,118,436,513,304,271,271,199,166,166,118,143,92,91,406,218,171,82,79,74,79,87,161,35,156,261,135,110,115,91,73,82,74,81,68,69,270,171,106,73,50,83,59,46,72,1315,150,2319,16,443,45,2237,0,559,297,262,495,64,261,233,36,233,1,5,37,57,52,82,48,48,30,20,18,16,12,34,14,12,4,0,3,2,0,0,0,4,9,9,5,1,2,2,5,5,3,5,2,5,3,2,1,1,0,0,0,0,68,11,217,1,16,3,243,0
Kauai County,1982,Hawaii,HI,40306,HI00400,HI0040000,15,007,15007,318,202,116,215,103,130,83,72,83,2,12,17,14,18,22,10,6,8,4,9,3,4,36,19,13,3,2,3,2,1,7,1,5,3,7,8,7,9,2,6,5,1,2,5,11,10,5,5,2,0,2,5,2,114,7,81,0,33,1,82,0,31,12,19,19,12,9,10,3,10,0,1,7,1,1,0,0,0,2,3,0,0,0,1,1,1,0,0,0,0,0,1,0,1,2,2,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,8,0,2,0,17,0
Maui County,1982,Hawaii,HI,73505,HI00500,HI0050000,15,009,15009,609,388,221,404,205,252,141,136,141,11,23,35,26,27,30,19,20,21,14,15,12,3,40,26,16,12,10,5,7,4,28,5,16,17,9,15,7,6,8,6,3,4,5,9,23,22,9,8,6,7,10,1,9,213,1,174,0,61,0,160,0,61,21,40,57,4,20,37,1,37,0,2,10,8,7,10,4,5,0,1,0,1,0,5,0,2,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,8,0,32,0
Hawaii County,1983,Hawaii,HI,58485,HI00100,HI0010000,15,001,15001,312,243,69,193,119,143,49,100,49,1,4,11,6,16,12,3,4,7,4,5,5,4,27,28,18,11,10,5,3,3,6,0,5,6,4,3,1,5,5,8,4,1,2,4,13,15,10,10,7,7,2,3,4,144,2,97,0,26,0,43,0,35,13,22,31,4,12,19,1,19,0,0,14,0,2,3,1,1,1,2,1,0,2,2,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,7,0,9,0,13,0
Hilo,1983,Hawaii,HI,39293,HI00101,HI0010100,15,001,15001,408,283,125,267,141,183,82,100,82,2,6,24,17,20,15,13,14,3,1,17,4,8,41,19,21,5,9,9,3,5,11,0,1,9,10,13,8,8,8,3,4,4,1,2,16,19,10,6,5,5,1,7,1,138,5,140,0,41,2,82,0,42,21,21,36,6,20,16,1,16,0,0,3,5,6,2,5,4,0,2,1,3,1,2,1,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,5,0,16,0
Honolulu,1983,Hawaii,HI,808092,HI00200,HI0020000,15,003,15003,6329,3832,2497,4150,2179,2405,1636,1427,1636,109,329,491,267,273,276,183,190,161,134,129,122,95,383,253,192,110,75,69,79,76,154,17,147,232,137,123,96,84,54,76,50,72,63,52,244,190,129,90,59,74,59,57,74,1367,158,2294,13,353,56,2088,0,649,382,267,595,54,353,241,29,241,1,9,54,34,74,70,68,62,38,22,35,29,20,43,17,12,2,2,1,1,0,1,0,0,10,3,4,8,1,3,6,2,2,2,3,3,2,4,1,0,0,0,0,0,117,10,255,0,17,4,246,0
Kauai County,1983,Hawaii,HI,41481,HI00400,HI0040000,15,007,15007,412,287,125,285,127,199,77,88,77,9,17,12,12,18,18,24,15,11,9,14,10,8,27,27,10,8,6,8,4,4,14,1,12,5,9,7,5,3,3,6,2,7,8,2,14,14,6,6,7,5,3,2,0,150,1,135,1,38,0,86,1,21,12,9,20,1,12,8,0,8,0,0,0,1,4,3,0,1,2,0,0,1,0,2,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,1,0,8,0
Maui County,1983,Hawaii,HI,75649,HI00500,HI0050000,15,009,15009,461,283,178,323,138,195,127,88,127,1,25,32,23,25,22,13,13,11,10,9,7,5,32,32,21,6,6,8,9,1,12,1,8,12,10,5,14,6,1,2,6,2,5,1,9,17,10,9,2,2,6,2,8,174,1,108,0,61,0,117,0,36,20,16,34,2,19,15,1,15,0,1,1,2,9,2,3,1,3,4,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,1,3,0,13,0
Hawaii County,1984,Hawaii,HI,67605,HI00100,HI0010000,15,001,15001,320,227,93,249,71,173,74,54,74,2,7,21,9,17,20,14,9,9,9,4,6,8,27,33,16,9,7,7,2,4,9,0,2,8,2,1,4,0,1,3,4,0,2,0,7,11,4,7,4,4,3,1,3,134,3,90,0,58,1,34,0,46,27,19,44,2,26,18,1,18,0,0,9,3,1,5,2,3,4,4,0,1,2,2,6,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,10,0,10,0,9,0
Hilo,1984,Hawaii,HI,36722,HI00101,HI0010100,15,001,15001,348,239,109,220,128,143,77,96,77,0,14,34,14,6,9,20,8,5,7,8,4,6,22,22,11,6,1,8,5,3,7,0,7,5,6,9,5,7,4,3,5,5,3,6,14,13,8,7,9,5,3,3,1,121,5,113,0,37,0,72,0,25,9,16,19,6,8,11,1,11,0,0,2,3,5,1,0,3,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,5,0,2,0,14,0
Honolulu,1984,Hawaii,HI,810772,HI00200,HI0020000,15,003,15003,4949,2943,2006,3458,1491,1979,1404,964,1404,75,285,465,239,206,209,198,147,130,126,114,108,74,361,220,138,84,47,61,55,54,62,19,74,186,116,74,58,53,47,67,70,39,54,50,176,106,83,49,38,36,23,24,49,1076,147,1711,9,308,35,1663,0,511,309,202,469,42,294,175,15,175,0,5,32,50,51,37,85,46,23,23,9,21,12,41,13,8,5,4,1,1,1,1,0,1,4,14,4,4,2,3,1,0,2,0,0,0,3,1,2,1,0,0,0,0,54,10,245,0,16,3,183,0
Kauai County,1984,Hawaii,HI,43730,HI00400,HI0040000,15,007,15007,414,243,171,267,147,165,93,78,93,9,18,31,13,9,22,14,7,8,8,3,8,3,34,13,14,8,9,5,6,7,18,4,10,19,11,9,16,8,4,3,2,1,5,0,11,10,5,7,6,6,6,1,3,130,1,111,1,32,3,136,0,26,11,15,21,5,11,10,0,10,0,0,1,0,2,7,0,0,1,0,1,1,1,3,1,1,1,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,2,0,13,0
Maui County,1984,Hawaii,HI,80171,HI00500,HI0050000,15,009,15009,414,288,126,283,131,186,95,102,95,2,13,27,16,21,18,12,9,12,11,6,6,15,32,34,13,11,5,6,4,4,6,0,3,10,6,7,3,3,3,6,8,4,4,3,14,13,9,7,7,4,5,6,6,151,5,131,1,26,1,99,0,49,24,25,38,11,22,16,2,16,0,1,6,1,6,2,4,2,2,1,3,2,2,4,2,0,0,0,0,0,0,0,0,1,4,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,11,1,3,0,22,0
Hawaii County,1985,Hawaii,HI,70698,HI00100,HI0010000,15,001,15001,357,201,156,257,100,145,104,56,104,8,12,41,22,18,11,16,7,6,5,4,5,4,27,26,14,13,4,3,5,2,4,0,5,13,10,8,8,4,2,0,1,3,2,3,9,11,4,3,4,1,2,3,4,135,3,58,5,65,2,89,0,37,20,17,32,5,18,14,2,14,0,0,4,3,3,4,2,2,1,1,1,0,1,7,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,0,8,0,7,0,10,0
