agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Appling,1980,Georgia,GA,11875,GA00100,GA0010000,13,001,13001,sheriffs office,"non-msa cnty 10,000-24,999",south atlantic,non-suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Baxley,1980,Georgia,GA,3578,GA00101,GA0010100,13,001,13001,local police department,"cities 2,500-9,999",south atlantic,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacon,1980,Georgia,GA,5363,GA00300,GA0030000,13,005,13005,sheriffs office,"non-msa cnty under 10,000",south atlantic,non-suburban,20,20,0,14,6,14,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,8,12,0,0,0,0,0,0
Alma,1980,Georgia,GA,3494,GA00301,GA0030100,13,005,13005,local police department,"cities 2,500-9,999",south atlantic,non-suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Baker,1980,Georgia,GA,3074,GA00400,GA0040000,13,007,13007,sheriffs office,"non-msa cnty under 10,000",south atlantic,non-suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Newton,1980,Georgia,GA,711,GA00401,GA0040100,13,007,13007,local police department,"cities under 2,500",south atlantic,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baldwin,1980,Georgia,GA,22355,GA00500,GA0050000,13,009,13009,sheriffs office,"non-msa cnty 10,000-24,999",south atlantic,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milledgeville,1980,Georgia,GA,12049,GA00501,GA0050100,13,009,13009,local police department,"cities 10,000-24,999",south atlantic,non-suburban,17,14,3,14,3,11,3,3,3,0,0,0,1,0,2,0,2,0,3,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,9,0,0,0,3,0,0
Banks,1980,Georgia,GA,7127,GA00600,GA0060000,13,011,13011,sheriffs office,"non-msa cnty under 10,000",south atlantic,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Barrow,1980,Georgia,GA,12596,GA00700,GA0070000,13,013,13013,sheriffs office,"non-msa cnty 10,000-24,999",south atlantic,non-suburban,45,42,3,39,6,36,3,6,3,0,0,0,0,0,3,8,1,1,1,2,2,1,4,6,2,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,31,11,0,0,2,1,0,0
Winder,1980,Georgia,GA,6640,GA00701,GA0070100,13,013,13013,local police department,"cities 2,500-9,999",south atlantic,non-suburban,29,28,1,23,6,22,1,6,1,0,0,0,0,0,1,3,0,5,0,1,0,4,1,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,19,9,0,0,0,1,0,0
Bartow,1980,Georgia,GA,28252,GA00800,GA0080000,13,015,13015,sheriffs office,"non-msa cnty 25,000-99,999",south atlantic,non-suburban,91,87,4,82,9,78,4,9,4,0,0,0,0,0,4,3,1,4,2,5,2,3,16,11,16,6,5,1,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,2,0,0,0,64,23,0,0,2,2,0,0
Cartersville,1980,Georgia,GA,9483,GA00801,GA0080100,13,015,13015,local police department,"cities 2,500-9,999",south atlantic,non-suburban,12,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0
Adairsville,1980,Georgia,GA,1734,GA00802,GA0080200,13,015,13015,local police department,"cities under 2,500",south atlantic,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Hill,1980,Georgia,GA,5400,GA00900,GA0090000,13,017,13017,sheriffs office,"non-msa cnty under 10,000",south atlantic,non-suburban,7,6,1,4,3,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0
Fitzgerald,1980,Georgia,GA,10083,GA00901,GA0090100,13,017,13017,local police department,"cities 10,000-24,999",south atlantic,non-suburban,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Berrien,1980,Georgia,GA,7930,GA01000,GA0100000,13,019,13019,sheriffs office,"non-msa cnty under 10,000",south atlantic,non-suburban,49,49,0,38,11,38,0,11,0,0,0,0,0,0,0,1,2,0,0,3,2,0,16,6,2,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,3,3,1,0,1,0,0,0,0,0,25,24,0,0,0,0,0,0
Nashville,1980,Georgia,GA,4718,GA01001,GA0100100,13,019,13019,local police department,"cities 2,500-9,999",south atlantic,non-suburban,4,3,1,2,2,1,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
Bibb,1980,Georgia,GA,33040,GA01100,GA0110000,13,021,13021,sheriffs office,"msa cnty 25,000-99,999",south atlantic,suburban,32,32,0,28,4,28,0,4,0,0,0,0,0,0,0,1,1,1,2,1,0,2,4,4,2,1,4,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,12,20,0,0,0,0,0,0
Macon,1980,Georgia,GA,116157,GA01101,GA0110100,13,021,13021,local police department,"cities 100,000-249,999",south atlantic,non-suburban,172,165,7,135,37,130,5,35,5,0,0,0,0,0,5,5,2,3,6,9,4,10,31,17,12,5,16,5,2,1,2,0,0,0,0,0,2,2,1,3,0,2,2,1,8,6,4,3,0,3,0,0,0,36,129,0,0,1,6,0,0
Cochran,1980,Georgia,GA,5097,GA01201,GA0120100,13,023,13023,local police department,"cities 2,500-9,999",south atlantic,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brantley,1980,Georgia,GA,7218,GA01300,GA0130000,13,025,13025,sheriffs office,"non-msa cnty under 10,000",south atlantic,non-suburban,5,5,0,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Quitman,1980,Georgia,GA,5187,GA01401,GA0140100,13,027,13027,local police department,"cities 2,500-9,999",south atlantic,non-suburban,24,21,3,19,5,16,3,5,3,0,0,1,0,1,1,1,0,0,0,1,0,0,4,3,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,3,18,0,0,1,2,0,0
Bryan,1980,Georgia,GA,5681,GA01500,GA0150000,13,029,13029,sheriffs office,"msa cnty under 10,000",south atlantic,suburban,9,9,0,8,1,8,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0
Pembroke,1980,Georgia,GA,1395,GA01501,GA0150100,13,029,13029,local police department,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
