agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,murder_tot_arrests,murder_tot_adult,murder_tot_juv,murder_tot_male,murder_tot_female,murder_tot_male_adult,murder_tot_male_juv,murder_tot_female_adult,murder_tot_female_juv,murder_male_under_10,murder_male_10_12,murder_male_13_14,murder_male_15,murder_male_16,murder_male_17,murder_male_18,murder_male_19,murder_male_20,murder_male_21,murder_male_22,murder_male_23,murder_male_24,murder_male_25_29,murder_male_30_34,murder_male_35_39,murder_male_40_44,murder_male_45_49,murder_male_50_54,murder_male_55_59,murder_male_60_64,murder_male_over_64,murder_female_under_10,murder_female_10_12,murder_female_13_14,murder_female_15,murder_female_16,murder_female_17,murder_female_18,murder_female_19,murder_female_20,murder_female_21,murder_female_22,murder_female_23,murder_female_24,murder_female_25_29,murder_female_30_34,murder_female_35_39,murder_female_40_44,murder_female_45_49,murder_female_50_54,murder_female_55_59,murder_female_60_64,murder_female_over_64,murder_adult_white,murder_adult_black,murder_adult_asian,murder_adult_indian,murder_juv_white,murder_juv_black,murder_juv_asian,murder_juv_indian
Hawaii County,1980,Hawaii,HI,55152,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,10,9,1,10,0,9,1,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,3,0,0,1,0
Hilo,1980,Hawaii,HI,37054,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,5,3,2,5,0,3,2,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0
Honolulu,1980,Hawaii,HI,762020,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,79,78,1,74,5,73,1,5,1,0,0,0,0,1,0,2,2,9,9,3,1,3,9,11,11,2,4,2,0,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,17,0,58,3,0,0,1,0
Kauai County,1980,Hawaii,HI,39117,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Maui County,1980,Hawaii,HI,71337,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,6,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0
Hawaii County,1981,Hawaii,HI,55971,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
Hilo,1981,Hawaii,HI,37604,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
Honolulu,1981,Hawaii,HI,773331,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,48,42,6,42,6,37,5,5,5,0,1,1,0,1,2,1,0,3,2,1,1,1,9,6,6,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,12,2,28,0,0,0,6,0
Kauai County,1981,Hawaii,HI,39698,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maui County,1981,Hawaii,HI,72396,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
