agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,burglary_male_under_10,burglary_male_10_12,burglary_male_13_14,burglary_male_15,burglary_male_16,burglary_male_17,burglary_male_18,burglary_male_19,burglary_male_20,burglary_male_21,burglary_male_22,burglary_male_23,burglary_male_24,burglary_male_25_29,burglary_male_30_34,burglary_male_35_39,burglary_male_40_44,burglary_male_45_49,burglary_male_50_54,burglary_male_55_59,burglary_male_60_64,burglary_male_over_64,burglary_female_under_10,burglary_female_10_12,burglary_female_13_14,burglary_female_15,burglary_female_16,burglary_female_17,burglary_female_18,burglary_female_19,burglary_female_20,burglary_female_21,burglary_female_22,burglary_female_23,burglary_female_24,burglary_female_25_29,burglary_female_30_34,burglary_female_35_39,burglary_female_40_44,burglary_female_45_49,burglary_female_50_54,burglary_female_55_59,burglary_female_60_64,burglary_female_over_64,burglary_adult_white,burglary_adult_black,burglary_adult_asian,burglary_adult_indian,burglary_juv_white,burglary_juv_black,burglary_juv_asian,burglary_juv_indian
Washington,1980,District of Columbia,NA,635233,DCMPD00,DCMPD0000,11,001,11001,1711,1321,390,1645,66,1270,367,51,367,8,31,113,91,75,57,148,116,109,88,78,71,75,298,154,56,33,20,15,3,1,5,1,4,3,3,3,1,2,5,3,4,5,1,2,17,7,3,0,1,0,1,0,0,91,1230,0,0,18,372,0,0
Zoological Park Police,1980,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1981,District of Columbia,NA,636e3,DCMPD00,DCMPD0000,11,001,11001,2060,1488,572,1955,105,1414,523,74,523,18,58,135,131,150,49,127,140,78,107,97,98,66,342,174,99,37,23,9,11,4,2,0,1,6,8,14,2,6,9,3,10,6,4,6,16,6,3,4,1,0,0,0,0,98,1377,11,2,8,564,0,0
Zoological Park Police,1981,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1982,District of Columbia,NA,631e3,DCMPD00,DCMPD0000,11,001,11001,1593,1168,425,1522,71,1110,398,58,398,14,46,88,88,80,96,112,99,86,75,81,64,57,283,138,55,27,18,7,5,1,2,2,1,4,3,1,2,1,4,0,4,4,4,4,24,7,4,2,0,0,0,0,0,84,1058,26,0,8,417,0,0
Zoological Park Police,1982,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Washington,1983,District of Columbia,NA,623e3,DCMPD00,DCMPD0000,11,001,11001,1832,1318,514,1723,109,1218,489,100,489,16,45,124,95,95,130,122,107,88,68,74,64,80,289,171,80,39,15,14,4,1,2,0,1,2,2,2,2,10,5,7,9,6,6,6,29,9,6,3,3,1,0,0,0,79,1227,11,1,7,507,0,0
Us Park Police,1983,District of Columbia,NA,0,DCPPD00,DCPPD0000,11,001,11001,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Zoological Park Police,1983,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1984,District of Columbia,NA,623e3,DCMPD00,DCMPD0000,11,001,11001,1614,1230,384,1499,115,1123,368,107,368,8,36,93,76,94,69,71,78,70,63,72,68,67,296,184,85,31,17,16,1,2,2,1,1,3,1,2,0,8,1,9,2,5,7,3,26,21,12,3,8,1,1,0,0,100,1123,7,0,4,380,0,0
