agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Baker,1980,Oregon,OR,6680,OR00100,OR0010000,41,001,41001,sheriffs office,"non-msa cnty under 10,000",pacific,non-suburban,10,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Baker,1980,Oregon,OR,9447,OR00101,OR0010100,41,001,41001,local police department,"cities 2,500-9,999",pacific,non-suburban,10,10,0,8,2,8,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,0,0,0,0
Baker State Police,1980,Oregon,OR,0,OR001SP,OR001SP00,41,001,41001,state law enforcement agency,"non-msa cnty under 10,000",pacific,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Benton,1980,Oregon,OR,24151,OR00200,OR0020000,41,003,41003,sheriffs office,"non-msa cnty 10,000-24,999",pacific,non-suburban,23,21,2,20,3,18,2,3,2,0,0,0,1,1,0,1,1,1,1,2,1,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,1,2,0,0,0
Corvallis,1980,Oregon,OR,40843,OR00201,OR0020100,41,003,41003,local police department,"cities 25,000-49,999",pacific,non-suburban,44,39,5,39,5,35,4,4,4,0,0,1,0,1,2,2,1,5,4,3,1,2,6,6,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,34,3,1,1,5,0,0,0
Philomath,1980,Oregon,OR,2666,OR00202,OR0020200,41,003,41003,local police department,"cities 2,500-9,999",pacific,non-suburban,9,5,4,5,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0
Monroe,1980,Oregon,OR,418,OR00203,OR0020300,41,003,41003,local police department,"cities under 2,500",pacific,non-suburban,5,4,1,5,0,4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
Oregon State University,1980,Oregon,OR,0,OR00204,OR0020400,41,003,41003,special jurisdiction,"cities under 2,500",pacific,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Benton State Police,1980,Oregon,OR,0,OR002SP,OR002SP00,41,003,41003,state law enforcement agency,"non-msa cnty under 10,000",pacific,non-suburban,3,2,1,3,0,2,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Clackamas,1980,Oregon,OR,147730,OR00300,OR0030000,41,005,41005,sheriffs office,"msa cnty 100,000 or over",pacific,suburban,151,130,21,139,12,120,19,10,19,0,1,3,7,5,3,6,3,4,6,5,3,6,21,23,13,17,6,3,3,1,0,0,0,1,1,0,0,1,1,2,0,0,0,0,2,0,0,1,3,0,0,0,0,128,1,0,1,21,0,0,0
