agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,arson_tot_arrests,arson_tot_adult,arson_tot_juv,arson_tot_male,arson_tot_female,arson_tot_male_adult,arson_tot_male_juv,arson_tot_female_adult,arson_tot_female_juv,arson_male_under_10,arson_male_10_12,arson_male_13_14,arson_male_15,arson_male_16,arson_male_17,arson_male_18,arson_male_19,arson_male_20,arson_male_21,arson_male_22,arson_male_23,arson_male_24,arson_male_25_29,arson_male_30_34,arson_male_35_39,arson_male_40_44,arson_male_45_49,arson_male_50_54,arson_male_55_59,arson_male_60_64,arson_male_over_64,arson_female_under_10,arson_female_10_12,arson_female_13_14,arson_female_15,arson_female_16,arson_female_17,arson_female_18,arson_female_19,arson_female_20,arson_female_21,arson_female_22,arson_female_23,arson_female_24,arson_female_25_29,arson_female_30_34,arson_female_35_39,arson_female_40_44,arson_female_45_49,arson_female_50_54,arson_female_55_59,arson_female_60_64,arson_female_over_64,arson_adult_white,arson_adult_black,arson_adult_asian,arson_adult_indian,arson_juv_white,arson_juv_black,arson_juv_asian,arson_juv_indian
Washington,1980,District of Columbia,NA,635233,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,61,55,6,43,18,39,4,16,4,0,1,0,2,1,0,2,0,4,2,0,1,0,8,5,6,1,6,0,2,1,1,1,0,0,1,0,0,1,1,0,2,1,0,0,0,3,5,2,0,0,1,0,0,7,48,0,0,0,6,0,0
Zoological Park Police,1980,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1981,District of Columbia,NA,636e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,43,35,8,34,9,27,4,8,4,3,0,1,0,3,0,0,1,1,3,1,1,2,4,6,4,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,0,1,1,0,0,0,0,0,1,4,31,0,0,0,8,0,0
Zoological Park Police,1981,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1982,District of Columbia,NA,631e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,50,38,12,35,15,25,8,13,8,2,1,6,0,0,1,1,1,0,1,0,0,0,9,2,6,1,2,1,0,0,1,0,0,1,1,0,0,1,0,0,1,2,0,1,4,3,0,0,1,0,0,0,0,3,35,0,0,1,11,0,0
Zoological Park Police,1982,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1983,District of Columbia,NA,623e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,68,56,12,55,13,45,9,11,9,1,2,4,1,1,1,2,1,0,3,0,3,1,10,7,6,7,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,5,0,4,0,0,0,0,0,0,4,52,0,0,0,12,0,0
Us Park Police,1983,District of Columbia,NA,0,DCPPD00,DCPPD0000,11,001,11001,NA,"msa cnty under 10,000",south atlantic,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zoological Park Police,1983,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1984,District of Columbia,NA,623e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,60,52,8,42,18,34,8,18,8,0,1,3,3,0,1,3,2,1,0,3,4,3,9,2,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,2,2,1,2,0,0,5,45,2,0,1,7,0,0
