agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,burglary_male_under_10,burglary_male_10_12,burglary_male_13_14,burglary_male_15,burglary_male_16,burglary_male_17,burglary_male_18,burglary_male_19,burglary_male_20,burglary_male_21,burglary_male_22,burglary_male_23,burglary_male_24,burglary_male_25_29,burglary_male_30_34,burglary_male_35_39,burglary_male_40_44,burglary_male_45_49,burglary_male_50_54,burglary_male_55_59,burglary_male_60_64,burglary_male_over_64,burglary_female_under_10,burglary_female_10_12,burglary_female_13_14,burglary_female_15,burglary_female_16,burglary_female_17,burglary_female_18,burglary_female_19,burglary_female_20,burglary_female_21,burglary_female_22,burglary_female_23,burglary_female_24,burglary_female_25_29,burglary_female_30_34,burglary_female_35_39,burglary_female_40_44,burglary_female_45_49,burglary_female_50_54,burglary_female_55_59,burglary_female_60_64,burglary_female_over_64,burglary_adult_white,burglary_adult_black,burglary_adult_asian,burglary_adult_indian,burglary_juv_white,burglary_juv_black,burglary_juv_asian,burglary_juv_indian
Hawaii County,1980,Hawaii,HI,55152,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,86,32,54,83,3,31,51,1,51,1,7,18,5,10,11,3,5,1,4,2,2,1,5,2,2,3,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,12,0,31,1,22,0
Hilo,1980,Hawaii,HI,37054,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,118,36,82,115,3,35,80,1,80,0,6,15,10,24,25,7,4,0,3,2,2,1,7,2,4,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,2,9,0,53,0,29,0
Honolulu,1980,Hawaii,HI,762020,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,1300,529,771,1176,124,489,682,40,682,5,68,206,169,135,104,95,76,53,40,38,31,29,77,20,15,4,6,1,3,0,1,0,4,29,23,22,6,5,2,0,8,4,3,6,9,1,0,0,1,1,0,0,0,146,38,345,0,86,11,674,0
Kauai County,1980,Hawaii,HI,39117,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,171,96,75,166,5,94,71,2,71,1,10,6,30,11,14,9,45,4,3,3,1,3,19,3,2,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,68,0,28,0,41,0,34,0
Maui County,1980,Hawaii,HI,71337,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,153,73,80,150,3,71,77,2,77,2,14,18,17,15,13,7,7,5,1,3,4,5,23,10,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42,5,26,0,28,0,52,0
Hawaii County,1981,Hawaii,HI,55971,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,153,69,84,141,12,64,76,5,76,1,7,19,13,14,23,12,11,6,5,7,4,2,10,2,3,1,0,0,0,0,1,0,1,2,1,2,1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,32,0,37,0,45,1,38,0
Hilo,1981,Hawaii,HI,37604,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,81,49,32,79,2,48,31,1,31,0,1,6,2,9,13,10,4,3,5,1,5,2,4,7,1,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,1,27,0,6,1,25,0
Honolulu,1981,Hawaii,HI,773331,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,1161,501,660,1079,82,478,583,23,583,18,58,170,133,129,93,82,62,48,50,41,25,19,74,35,25,5,2,6,4,0,0,1,8,18,16,14,2,2,2,2,2,2,2,2,3,1,3,0,0,1,1,0,0,165,27,309,0,89,5,566,0
Kauai County,1981,Hawaii,HI,39698,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,137,60,77,122,15,49,72,11,72,1,13,3,18,22,16,14,3,2,2,4,3,5,13,2,1,0,0,0,0,0,0,0,0,2,0,1,1,2,1,2,0,1,0,2,2,0,0,0,1,0,0,0,0,24,0,36,0,32,0,45,0
Maui County,1981,Hawaii,HI,72396,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,233,91,142,218,15,87,126,4,126,5,22,42,24,24,14,15,15,10,7,6,1,4,15,8,2,0,1,2,1,0,0,1,2,5,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,47,1,43,0,22,0,120,0
