agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,burglary_male_under_10,burglary_male_10_12,burglary_male_13_14,burglary_male_15,burglary_male_16,burglary_male_17,burglary_male_18,burglary_male_19,burglary_male_20,burglary_male_21,burglary_male_22,burglary_male_23,burglary_male_24,burglary_male_25_29,burglary_male_30_34,burglary_male_35_39,burglary_male_40_44,burglary_male_45_49,burglary_male_50_54,burglary_male_55_59,burglary_male_60_64,burglary_male_over_64,burglary_female_under_10,burglary_female_10_12,burglary_female_13_14,burglary_female_15,burglary_female_16,burglary_female_17,burglary_female_18,burglary_female_19,burglary_female_20,burglary_female_21,burglary_female_22,burglary_female_23,burglary_female_24,burglary_female_25_29,burglary_female_30_34,burglary_female_35_39,burglary_female_40_44,burglary_female_45_49,burglary_female_50_54,burglary_female_55_59,burglary_female_60_64,burglary_female_over_64,burglary_adult_white,burglary_adult_black,burglary_adult_asian,burglary_adult_indian,burglary_juv_white,burglary_juv_black,burglary_juv_asian,burglary_juv_indian
Baker,1980,Oregon,OR,6680,OR00100,OR0010000,41,001,41001,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Baker,1980,Oregon,OR,9447,OR00101,OR0010100,41,001,41001,28,21,7,26,2,20,6,1,6,0,0,0,0,5,1,6,3,4,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,7,0,0,0
Baker State Police,1980,Oregon,OR,0,OR001SP,OR001SP00,41,001,41001,4,1,3,4,0,1,3,0,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
Benton,1980,Oregon,OR,24151,OR00200,OR0020000,41,003,41003,41,7,34,41,0,7,33,0,33,1,1,8,6,10,8,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,34,0,0,0
Corvallis,1980,Oregon,OR,40843,OR00201,OR0020100,41,003,41003,107,54,53,99,8,50,44,4,44,5,9,6,14,8,7,2,18,9,6,2,0,2,5,5,0,0,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,53,1,0,0,51,0,2,0
Philomath,1980,Oregon,OR,2666,OR00202,OR0020200,41,003,41003,8,2,6,6,2,2,3,0,3,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0
Monroe,1980,Oregon,OR,418,OR00203,OR0020300,41,003,41003,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Oregon State University,1980,Oregon,OR,0,OR00204,OR0020400,41,003,41003,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Benton State Police,1980,Oregon,OR,0,OR002SP,OR002SP00,41,003,41003,4,2,2,4,0,2,2,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
Clackamas,1980,Oregon,OR,147730,OR00300,OR0030000,41,005,41005,169,55,114,160,9,53,107,2,107,0,11,20,34,21,21,18,9,6,3,4,2,2,6,2,1,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,114,0,0,0
Canby,1980,Oregon,OR,7642,OR00301,OR0030100,41,005,41005,13,4,9,13,0,4,9,0,9,0,2,1,5,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0
Gladstone,1980,Oregon,OR,9391,OR00303,OR0030300,41,005,41005,12,0,12,11,1,0,11,0,11,0,0,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Lake Oswego,1980,Oregon,OR,21119,OR00304,OR0030400,41,005,41005,37,9,28,33,4,9,24,0,24,0,2,8,6,1,7,2,1,2,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,28,0,0,0
Milwaukie,1980,Oregon,OR,17834,OR00305,OR0030500,41,005,41005,40,16,24,35,5,16,19,0,19,0,0,5,4,3,7,4,3,3,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,24,0,0,0
Molalla,1980,Oregon,OR,2988,OR00306,OR0030600,41,005,41005,10,1,9,8,2,1,7,0,7,0,0,0,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0
Oregon City,1980,Oregon,OR,14641,OR00307,OR0030700,41,005,41005,31,10,21,29,2,10,19,0,19,0,2,2,8,3,4,1,1,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0,1
Sandy,1980,Oregon,OR,2892,OR00308,OR0030800,41,005,41005,12,8,4,12,0,8,4,0,4,0,0,0,0,1,3,3,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0
West Linn,1980,Oregon,OR,10621,OR00309,OR0030900,41,005,41005,6,3,3,6,0,3,3,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
Clackamas State Police,1980,Oregon,OR,0,OR003SP,OR003SP00,41,005,41005,13,11,2,13,0,11,2,0,2,0,0,1,0,0,1,3,1,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0
Clatsop,1980,Oregon,OR,12125,OR00400,OR0040000,41,007,41007,9,7,2,9,0,7,2,0,2,0,0,0,0,1,1,2,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0
Astoria,1980,Oregon,OR,9996,OR00401,OR0040100,41,007,41007,46,26,20,46,0,26,20,0,20,0,1,8,3,4,4,8,6,3,2,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,20,0,0,0
Gearhart,1980,Oregon,OR,964,OR00402,OR0040200,41,007,41007,2,0,2,2,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Seaside,1980,Oregon,OR,5185,OR00403,OR0040300,41,007,41007,34,15,19,34,0,15,19,0,19,0,0,3,12,2,2,4,3,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,1,19,0,0,0
Warrenton,1980,Oregon,OR,2493,OR00404,OR0040400,41,007,41007,7,4,3,7,0,4,3,0,3,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0
