agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,robbery_tot_arrests,robbery_tot_adult,robbery_tot_juv,robbery_tot_male,robbery_tot_female,robbery_tot_male_adult,robbery_tot_male_juv,robbery_tot_female_adult,robbery_tot_female_juv,robbery_male_under_10,robbery_male_10_12,robbery_male_13_14,robbery_male_15,robbery_male_16,robbery_male_17,robbery_male_18,robbery_male_19,robbery_male_20,robbery_male_21,robbery_male_22,robbery_male_23,robbery_male_24,robbery_male_25_29,robbery_male_30_34,robbery_male_35_39,robbery_male_40_44,robbery_male_45_49,robbery_male_50_54,robbery_male_55_59,robbery_male_60_64,robbery_male_over_64,robbery_female_under_10,robbery_female_10_12,robbery_female_13_14,robbery_female_15,robbery_female_16,robbery_female_17,robbery_female_18,robbery_female_19,robbery_female_20,robbery_female_21,robbery_female_22,robbery_female_23,robbery_female_24,robbery_female_25_29,robbery_female_30_34,robbery_female_35_39,robbery_female_40_44,robbery_female_45_49,robbery_female_50_54,robbery_female_55_59,robbery_female_60_64,robbery_female_over_64,robbery_adult_white,robbery_adult_black,robbery_adult_asian,robbery_adult_indian,robbery_juv_white,robbery_juv_black,robbery_juv_asian,robbery_juv_indian
Hawaii County,1980,Hawaii,HI,55152,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,11,3,8,10,1,2,8,1,8,0,0,0,4,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,7,0,1,0
Hilo,1980,Hawaii,HI,37054,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,11,8,3,11,0,8,3,0,3,0,0,1,0,0,2,3,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0
Honolulu,1980,Hawaii,HI,762020,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,653,469,184,607,46,441,166,28,166,0,13,51,23,39,40,59,53,62,55,28,29,38,72,32,6,3,2,1,1,0,0,0,2,4,6,4,2,4,3,1,2,1,4,5,5,3,0,0,0,0,0,0,0,126,26,317,0,16,0,168,0
Kauai County,1980,Hawaii,HI,39117,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,12,7,5,12,0,7,5,0,5,0,0,1,2,0,2,1,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,1,0
Maui County,1980,Hawaii,HI,71337,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,17,12,5,16,1,11,5,1,5,0,0,0,0,1,4,0,1,2,0,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,2,0,3,0
Hawaii County,1981,Hawaii,HI,55971,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,14,13,1,12,2,11,1,2,1,0,0,0,0,0,1,0,2,1,1,1,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,1,4,0,1,0,0,0
Hilo,1981,Hawaii,HI,37604,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,14,9,5,14,0,9,5,0,5,0,0,2,0,2,1,0,0,2,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,2,0,3,0
Honolulu,1981,Hawaii,HI,773331,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,617,468,149,575,42,436,139,32,139,0,7,39,28,30,35,44,58,49,34,39,37,7,78,35,13,0,28,13,0,1,0,0,0,2,3,3,2,0,4,0,2,1,2,3,7,9,2,1,1,0,0,0,0,140,41,287,0,10,2,137,0
Kauai County,1981,Hawaii,HI,39698,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,9,7,2,9,0,7,2,0,2,0,0,0,1,0,1,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,2,0
Maui County,1981,Hawaii,HI,72396,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,22,17,5,19,3,14,5,3,5,0,0,1,0,3,1,3,0,2,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,5,0
Hawaii County,1982,Hawaii,HI,56828,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,22,20,2,20,2,18,2,2,2,0,0,0,0,0,2,3,3,0,2,2,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,14,0,1,0,1,0
Hilo,1982,Hawaii,HI,38180,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,14,7,7,13,1,7,6,0,6,0,0,1,2,2,1,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,3,0
Honolulu,1982,Hawaii,HI,785181,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,645,413,232,582,63,376,206,37,206,0,18,63,48,41,36,52,46,29,49,24,23,27,77,18,17,7,3,2,1,0,1,1,1,9,6,3,6,8,1,4,4,4,2,0,5,4,1,3,0,1,0,0,0,75,46,292,0,8,0,224,0
Kauai County,1982,Hawaii,HI,40306,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,12,10,2,12,0,10,2,0,2,0,0,0,0,1,1,4,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,2,0
Maui County,1982,Hawaii,HI,73505,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,14,10,4,14,0,10,4,0,4,0,0,0,0,0,4,2,0,0,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,1,0,3,0
Hawaii County,1983,Hawaii,HI,58485,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,8,7,1,8,0,7,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,1,0
Hilo,1983,Hawaii,HI,39293,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,10,9,1,10,0,9,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,1,0,0,0
Honolulu,1983,Hawaii,HI,808092,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,544,331,213,491,53,305,186,26,186,0,19,47,34,37,49,52,28,20,32,30,21,17,46,25,28,5,1,0,0,0,0,0,1,11,2,9,4,2,3,2,2,0,4,0,7,4,1,1,0,0,0,0,0,59,41,231,0,7,0,206,0
Kauai County,1983,Hawaii,HI,41481,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0
Maui County,1983,Hawaii,HI,75649,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,21,20,1,19,2,18,1,2,1,0,0,0,1,0,0,1,1,1,7,2,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,0,10,0,0,0,1,0
