agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,burglary_male_under_10,burglary_male_10_12,burglary_male_13_14,burglary_male_15,burglary_male_16,burglary_male_17,burglary_male_18,burglary_male_19,burglary_male_20,burglary_male_21,burglary_male_22,burglary_male_23,burglary_male_24,burglary_male_25_29,burglary_male_30_34,burglary_male_35_39,burglary_male_40_44,burglary_male_45_49,burglary_male_50_54,burglary_male_55_59,burglary_male_60_64,burglary_male_over_64,burglary_female_under_10,burglary_female_10_12,burglary_female_13_14,burglary_female_15,burglary_female_16,burglary_female_17,burglary_female_18,burglary_female_19,burglary_female_20,burglary_female_21,burglary_female_22,burglary_female_23,burglary_female_24,burglary_female_25_29,burglary_female_30_34,burglary_female_35_39,burglary_female_40_44,burglary_female_45_49,burglary_female_50_54,burglary_female_55_59,burglary_female_60_64,burglary_female_over_64,burglary_adult_white,burglary_adult_black,burglary_adult_asian,burglary_adult_indian,burglary_juv_white,burglary_juv_black,burglary_juv_asian,burglary_juv_indian
Churchill,1980,Nevada,NV,9638,NV00100,NV0010000,32,001,32001,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fallon,1980,Nevada,NV,4235,NV00101,NV0010100,32,001,32001,local police department,"cities 2,500-9,999",mountain,non-suburban,12,7,5,11,1,6,4,1,4,1,0,1,1,0,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,2,5,0,0,0
Las Vegas Metro Juris,1980,Nevada,NV,385396,NV00201,NV0020100,32,003,32003,local police department,"cities 250,000-499,999",mountain,non-suburban,1223,758,465,1076,147,649,423,109,423,4,25,105,103,95,95,93,86,58,47,45,38,30,129,55,22,19,12,5,6,4,0,1,2,13,6,7,9,5,12,9,9,11,6,7,29,11,4,3,0,2,1,0,0,475,279,3,1,364,99,2,0
North Las Vegas,1980,Nevada,NV,42757,NV00202,NV0020200,32,003,32003,local police department,"cities 25,000-49,999",mountain,suburban,202,102,100,184,18,92,88,10,88,4,8,22,14,17,27,18,12,6,9,2,5,14,11,5,5,4,0,0,1,0,0,0,1,5,1,1,0,0,0,0,2,0,0,1,4,1,1,1,0,0,0,0,0,44,58,0,0,37,63,0,0
Henderson,1980,Nevada,NV,24438,NV00203,NV0020300,32,003,32003,local police department,"cities 10,000-24,999",mountain,suburban,69,34,35,64,5,32,32,2,32,0,8,8,4,5,7,3,5,12,1,0,3,0,4,2,0,0,2,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0,0,31,4,0,0
Boulder City,1980,Nevada,NV,9627,NV00204,NV0020400,32,003,32003,local police department,"cities 2,500-9,999",mountain,suburban,27,15,12,26,1,14,12,1,12,0,2,2,2,2,4,3,2,1,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,1,0,12,0,0,0
Douglas,1980,Nevada,NV,19500,NV00300,NV0030000,32,005,32005,sheriffs office,"non-msa cnty 10,000-24,999",mountain,non-suburban,33,17,16,30,3,16,14,1,14,0,0,2,4,4,4,7,0,0,1,0,3,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,2,16,0,0,0
Elko,1980,Nevada,NV,6128,NV00400,NV0040000,32,007,32007,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,22,9,13,21,1,9,12,0,12,0,0,0,3,2,7,0,2,0,0,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,13,0,0,0
Elko,1980,Nevada,NV,8843,NV00401,NV0040100,32,007,32007,local police department,"cities 2,500-9,999",mountain,non-suburban,24,13,11,24,0,13,11,0,11,0,3,2,3,3,0,2,3,0,0,0,0,0,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,11,0,0,0
Carlin,1980,Nevada,NV,1216,NV00402,NV0040200,32,007,32007,local police department,"cities under 2,500",mountain,non-suburban,5,2,3,5,0,2,3,0,3,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
