agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Acadia,1980,Louisiana,LA,26458,LA00100,LA0010000,22,001,22001,sheriffs office,"non-msa cnty 25,000-99,999",west south central,non-suburban,32,31,1,28,4,28,0,3,0,0,0,0,0,0,0,0,3,2,4,3,2,5,3,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,26,5,0,0,1,0,0,0
Crowley,1980,Louisiana,LA,16158,LA00101,LA0010100,22,001,22001,local police department,"cities 10,000-24,999",west south central,non-suburban,30,28,2,28,2,26,2,2,2,0,0,0,0,2,0,2,2,2,0,1,0,1,7,1,7,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,21,0,0,1,1,0,0
Rayne,1980,Louisiana,LA,9118,LA00102,LA0010200,22,001,22001,local police department,"cities 2,500-9,999",west south central,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Allen,1980,Louisiana,LA,11656,LA00200,LA0020000,22,003,22003,sheriffs office,"non-msa cnty 10,000-24,999",west south central,non-suburban,7,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
Kinder,1980,Louisiana,LA,2607,LA00201,LA0020100,22,003,22003,local police department,"cities 2,500-9,999",west south central,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Oakdale,1980,Louisiana,LA,7106,LA00202,LA0020200,22,003,22003,local police department,"cities 2,500-9,999",west south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascension,1980,Louisiana,LA,36273,LA00300,LA0030000,22,005,22005,sheriffs office,"msa cnty 25,000-99,999",west south central,suburban,17,16,1,15,2,14,1,2,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10,6,0,0,0,1,0,0
Donaldsonville,1980,Louisiana,LA,7936,LA00301,LA0030100,22,005,22005,local police department,"cities 2,500-9,999",west south central,suburban,50,48,2,41,9,40,1,8,1,0,0,0,1,0,0,3,4,1,1,3,1,1,10,6,5,3,0,1,1,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,14,34,0,0,0,2,0,0
Gonzales,1980,Louisiana,LA,7305,LA00302,LA0030200,22,005,22005,local police department,"cities 2,500-9,999",west south central,suburban,26,26,0,25,1,25,0,1,0,0,0,0,0,0,0,3,1,0,1,1,2,2,4,2,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,5,0,0,0,0,0,0
Assumption,1980,Louisiana,LA,22069,LA00400,LA0040000,22,007,22007,sheriffs office,"non-msa cnty 10,000-24,999",west south central,non-suburban,66,66,0,46,20,46,0,20,0,0,0,0,0,0,0,4,3,0,3,1,3,2,10,4,11,1,1,2,0,0,1,0,0,0,0,0,0,2,0,2,1,1,2,2,4,1,4,1,0,0,0,0,0,26,40,0,0,0,0,0,0
Avoyelles,1980,Louisiana,LA,28754,LA00500,LA0050000,22,009,22009,sheriffs office,"non-msa cnty 25,000-99,999",west south central,non-suburban,44,42,2,41,3,39,2,3,2,0,0,0,0,0,2,0,3,1,3,5,3,5,6,5,3,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,24,18,0,0,0,2,0,0
Bunkie,1980,Louisiana,LA,5451,LA00501,LA0050100,22,009,22009,local police department,"cities 2,500-9,999",west south central,non-suburban,18,18,0,14,4,14,0,4,0,0,0,0,0,0,0,1,1,0,1,1,1,1,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,5,13,0,0,0,0,0,0
