agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,burglary_male_under_10,burglary_male_10_12,burglary_male_13_14,burglary_male_15,burglary_male_16,burglary_male_17,burglary_male_18,burglary_male_19,burglary_male_20,burglary_male_21,burglary_male_22,burglary_male_23,burglary_male_24,burglary_male_25_29,burglary_male_30_34,burglary_male_35_39,burglary_male_40_44,burglary_male_45_49,burglary_male_50_54,burglary_male_55_59,burglary_male_60_64,burglary_male_over_64,burglary_female_under_10,burglary_female_10_12,burglary_female_13_14,burglary_female_15,burglary_female_16,burglary_female_17,burglary_female_18,burglary_female_19,burglary_female_20,burglary_female_21,burglary_female_22,burglary_female_23,burglary_female_24,burglary_female_25_29,burglary_female_30_34,burglary_female_35_39,burglary_female_40_44,burglary_female_45_49,burglary_female_50_54,burglary_female_55_59,burglary_female_60_64,burglary_female_over_64,burglary_adult_white,burglary_adult_black,burglary_adult_asian,burglary_adult_indian,burglary_juv_white,burglary_juv_black,burglary_juv_asian,burglary_juv_indian
Alachua,1980,Florida,FL,67535,FL00100,FL0010000,12,001,12001,173,105,68,156,17,99,52,6,52,5,9,13,11,11,8,7,12,11,7,6,6,6,21,10,4,3,2,3,1,0,0,1,0,1,2,1,6,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,75,29,0,1,55,13,0,0
Gainesville,1980,Florida,FL,72270,FL00101,FL0010100,12,001,12001,343,207,136,325,18,195,127,12,127,3,17,27,18,32,33,30,22,7,12,17,13,10,50,17,8,3,4,1,1,0,0,0,0,3,0,1,2,5,1,1,0,0,0,0,1,1,2,0,1,0,0,0,0,94,112,1,0,101,35,0,0
High Springs,1980,Florida,FL,2350,FL00104,FL0010400,12,001,12001,9,6,3,9,0,6,3,0,3,0,1,0,0,0,2,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,1,0,0
University Of Florida,1980,Florida,FL,0,FL00106,FL0010600,12,001,12001,13,9,4,13,0,9,4,0,4,0,0,0,1,1,2,3,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,1,0,0
Alachua,1980,Florida,FL,3414,FL00108,FL0010800,12,001,12001,11,8,3,11,0,8,3,0,3,0,0,0,1,1,1,0,1,0,1,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0
Alachua Co Div Beverage,1980,Florida,FL,0,FL001DB,FL001DB00,12,001,12001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alachua Co Game Fwf Comm,1980,Florida,FL,0,FL001GM,FL001GM00,12,001,12001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baker,1980,Florida,FL,11449,FL00200,FL0020000,12,003,12003,11,10,1,11,0,10,1,0,1,0,0,0,0,1,0,2,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0
Macclenny,1980,Florida,FL,3829,FL00201,FL0020100,12,003,12003,17,5,12,16,1,5,11,0,11,0,3,3,3,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,11,1,0,0
Bay,1980,Florida,FL,35661,FL00300,FL0030000,12,005,12005,126,88,38,121,5,83,38,5,38,0,1,4,9,8,16,17,9,6,5,6,8,5,14,9,2,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,75,13,0,0,28,10,0,0
Panama City,1980,Florida,FL,33100,FL00301,FL0030100,12,005,12005,157,123,34,155,2,122,33,1,33,0,1,8,9,3,12,18,22,7,5,7,27,3,14,8,4,1,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,69,0,0,12,21,1,0
Calloway,1980,Florida,FL,7020,FL00302,FL0030200,12,005,12005,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
