agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,burglary_male_under_10,burglary_male_10_12,burglary_male_13_14,burglary_male_15,burglary_male_16,burglary_male_17,burglary_male_18,burglary_male_19,burglary_male_20,burglary_male_21,burglary_male_22,burglary_male_23,burglary_male_24,burglary_male_25_29,burglary_male_30_34,burglary_male_35_39,burglary_male_40_44,burglary_male_45_49,burglary_male_50_54,burglary_male_55_59,burglary_male_60_64,burglary_male_over_64,burglary_female_under_10,burglary_female_10_12,burglary_female_13_14,burglary_female_15,burglary_female_16,burglary_female_17,burglary_female_18,burglary_female_19,burglary_female_20,burglary_female_21,burglary_female_22,burglary_female_23,burglary_female_24,burglary_female_25_29,burglary_female_30_34,burglary_female_35_39,burglary_female_40_44,burglary_female_45_49,burglary_female_50_54,burglary_female_55_59,burglary_female_60_64,burglary_female_over_64,burglary_adult_white,burglary_adult_black,burglary_adult_asian,burglary_adult_indian,burglary_juv_white,burglary_juv_black,burglary_juv_asian,burglary_juv_indian
Ansonia,1980,Connecticut,CT,18841,CT00002,CT0000200,09,009,09009,21,15,6,21,0,15,6,0,6,0,0,1,2,2,1,2,0,3,2,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,2,4,0,0
Avon,1980,Connecticut,CT,11226,CT00004,CT0000400,09,003,09003,19,15,4,19,0,15,4,0,4,0,0,0,0,1,3,1,1,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4,0,0,0
Berlin,1980,Connecticut,CT,15141,CT00007,CT0000700,09,003,09003,19,7,12,18,1,7,11,0,11,0,1,3,1,2,4,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,0,0
Bethel,1980,Connecticut,CT,15730,CT00009,CT0000900,09,001,09001,29,7,22,26,3,6,19,1,19,1,4,4,7,2,2,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,22,0,0,0
Bloomfield,1980,Connecticut,CT,18595,CT00011,CT0001100,09,003,09003,26,12,14,26,0,12,14,0,14,0,5,1,4,2,2,1,1,3,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,2,12,0,0
Branford,1980,Connecticut,CT,22847,CT00014,CT0001400,09,009,09009,45,24,21,43,2,24,19,0,19,0,0,0,3,3,13,2,1,2,4,3,0,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,21,0,0,0
Bridgeport,1980,Connecticut,CT,142459,CT00015,CT0001500,09,001,09001,324,180,144,311,13,174,131,6,131,6,15,34,28,22,32,13,20,16,18,17,9,13,48,11,5,2,2,0,0,0,0,0,0,1,2,4,0,0,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,120,60,0,0,105,37,2,0
Bristol,1980,Connecticut,CT,57177,CT00017,CT0001700,09,003,09003,317,78,239,311,6,76,232,2,232,3,10,66,93,25,38,16,18,5,15,4,6,0,8,3,0,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,77,0,0,1,229,10,0,0
Brookfield,1980,Connecticut,CT,12647,CT00018,CT0001800,09,001,09001,20,7,13,20,0,7,13,0,13,0,0,0,2,7,4,1,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,13,0,0,0
Canton,1980,Connecticut,CT,7650,CT00023,CT0002300,09,003,09003,20,7,13,19,1,7,12,0,12,0,0,0,0,5,7,0,1,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,13,0,0,0
Cheshire,1980,Connecticut,CT,21545,CT00025,CT0002500,09,009,09009,32,26,6,32,0,26,6,0,6,0,0,1,1,2,2,6,4,3,3,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,6,0,0,0
Clinton,1980,Connecticut,CT,11224,CT00027,CT0002700,09,007,09007,6,3,3,6,0,3,3,0,3,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
Coventry,1980,Connecticut,CT,8890,CT00032,CT0003200,09,013,09013,7,2,5,7,0,2,5,0,5,0,0,0,2,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,0
Danbury,1980,Connecticut,CT,59303,CT00034,CT0003400,09,001,09001,166,58,108,156,10,56,98,2,98,2,5,36,35,10,12,10,10,8,3,5,1,2,9,4,2,1,0,1,0,0,0,1,0,5,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,47,11,0,0,78,30,0,0
Darien,1980,Connecticut,CT,18808,CT00035,CT0003500,09,001,09001,34,23,11,33,1,22,11,1,11,0,0,2,3,2,4,5,3,1,2,0,2,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,6,0,0,10,1,0,0
Derby,1980,Connecticut,CT,12184,CT00037,CT0003700,09,009,09009,43,25,18,43,0,25,18,0,18,0,0,7,11,0,0,14,0,2,5,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,18,0,0,0
East Hampton,1980,Connecticut,CT,8584,CT00042,CT0004200,09,007,09007,25,16,9,25,0,16,9,0,9,0,1,2,0,4,2,3,2,3,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,9,0,0,0
East Hartford,1980,Connecticut,CT,52554,CT00043,CT0004300,09,003,09003,137,63,74,127,10,62,65,1,65,0,0,14,10,16,25,10,10,4,6,11,2,2,8,2,4,0,2,1,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,11,0,0,64,10,0,0
East Haven Town,1980,Connecticut,CT,24978,CT00044,CT0004400,09,009,09009,53,29,24,50,3,28,22,1,22,0,1,6,4,10,1,5,1,5,5,1,3,3,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,24,0,0,0
Easton,1980,Connecticut,CT,5931,CT00046,CT0004600,09,001,09001,16,12,4,15,1,12,3,0,3,0,0,0,1,2,0,1,0,0,0,4,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,4,0,0,0
East Windsor,1980,Connecticut,CT,8944,CT00047,CT0004700,09,003,09003,35,22,13,34,1,22,10,0,10,2,1,1,6,2,0,7,9,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,10,3,0,0
Enfield,1980,Connecticut,CT,42709,CT00049,CT0004900,09,003,09003,199,27,172,187,12,24,163,3,163,0,7,82,28,31,15,6,7,3,2,0,0,1,3,1,1,0,0,0,0,0,0,0,0,3,0,4,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,167,5,0,0
Fairfield,1980,Connecticut,CT,54699,CT00051,CT0005100,09,001,09001,97,48,49,93,4,46,47,2,47,0,5,15,12,7,8,5,4,3,3,3,2,4,14,5,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,40,8,0,0,32,17,0,0
Farmington,1980,Connecticut,CT,16410,CT00052,CT0005200,09,003,09003,26,18,8,26,0,18,8,0,8,0,2,0,2,1,3,4,2,3,3,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,6,2,0,0
Glastonbury,1980,Connecticut,CT,24276,CT00054,CT0005400,09,003,09003,36,19,17,36,0,19,17,0,17,0,0,4,6,5,2,2,5,2,1,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,17,0,0,0
Granby,1980,Connecticut,CT,7935,CT00056,CT0005600,09,003,09003,11,4,7,11,0,4,7,0,7,0,0,2,2,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0
Greenwich,1980,Connecticut,CT,58667,CT00057,CT0005700,09,001,09001,85,49,36,81,4,48,33,1,33,0,2,11,8,8,4,1,5,5,4,7,2,4,14,4,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,12,0,0,31,5,0,0
Jewett City,1980,Connecticut,CT,3290,CT00058,CT0005800,09,011,09011,6,2,4,6,0,2,4,0,4,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0
Groton City,1980,Connecticut,CT,10091,CT00059,CT0005900,09,011,09011,29,24,5,25,4,20,5,4,5,0,2,0,0,1,2,1,1,1,1,2,6,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,21,3,0,0,3,2,0,0
Guilford,1980,Connecticut,CT,17729,CT00060,CT0006000,09,009,09009,65,23,42,62,3,23,37,0,37,2,0,10,11,12,4,4,3,1,12,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,42,0,0,0
Hamden,1980,Connecticut,CT,51015,CT00062,CT0006200,09,009,09009,96,63,33,94,2,62,30,1,30,2,5,10,4,3,8,14,3,9,10,5,2,3,8,3,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43,20,0,0,21,12,0,0
Danielson,1980,Connecticut,CT,4557,CT00069,CT0006900,09,015,09015,47,39,8,44,3,38,6,1,6,0,0,1,2,1,2,8,22,1,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,8,0,0,0
Madison Town,1980,Connecticut,CT,13925,CT00076,CT0007600,09,009,09009,28,15,13,28,0,15,13,0,13,0,0,2,1,5,5,5,1,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,13,0,0,0
Manchester,1980,Connecticut,CT,49802,CT00077,CT0007700,09,003,09003,43,17,26,39,4,17,22,0,22,0,3,7,5,3,4,4,1,0,2,2,0,0,4,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,24,2,0,0
Meriden,1980,Connecticut,CT,56506,CT00080,CT0008000,09,009,09009,178,112,66,175,3,110,65,2,65,0,1,13,13,14,24,21,27,17,12,17,1,3,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96,16,0,0,61,5,0,0
Middlebury,1980,Connecticut,CT,5927,CT00081,CT0008100,09,009,09009,20,15,5,15,5,14,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,5,0,0,0
Middletown,1980,Connecticut,CT,39030,CT00083,CT0008300,09,007,09007,56,35,21,54,2,35,19,0,19,0,0,7,7,1,4,9,3,3,3,3,0,0,7,2,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,12,0,0,18,3,0,0
Milford,1980,Connecticut,CT,50886,CT00084,CT0008400,09,009,09009,44,35,9,43,1,34,9,1,9,0,0,0,0,2,7,7,6,5,3,4,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,0,0,9,0,0,0
Monroe,1980,Connecticut,CT,13952,CT00085,CT0008500,09,001,09001,42,8,34,35,7,6,29,2,29,0,4,7,7,5,6,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,33,1,0,0
Naugatuck,1980,Connecticut,CT,26157,CT00088,CT0008800,09,009,09009,13,2,11,13,0,2,11,0,11,0,0,4,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,2,0,0
New Britain,1980,Connecticut,CT,73674,CT00089,CT0008900,09,003,09003,41,22,19,39,2,22,15,0,15,2,1,2,0,5,7,6,4,3,0,2,2,1,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,14,5,0,0
New Canaan,1980,Connecticut,CT,17845,CT00090,CT0009000,09,001,09001,41,21,20,41,0,21,20,0,20,0,1,8,6,2,3,7,3,0,4,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,19,1,0,0
