agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,robbery_tot_arrests,robbery_tot_adult,robbery_tot_juv,robbery_tot_male,robbery_tot_female,robbery_tot_male_adult,robbery_tot_male_juv,robbery_tot_female_adult,robbery_tot_female_juv,robbery_male_under_10,robbery_male_10_12,robbery_male_13_14,robbery_male_15,robbery_male_16,robbery_male_17,robbery_male_18,robbery_male_19,robbery_male_20,robbery_male_21,robbery_male_22,robbery_male_23,robbery_male_24,robbery_male_25_29,robbery_male_30_34,robbery_male_35_39,robbery_male_40_44,robbery_male_45_49,robbery_male_50_54,robbery_male_55_59,robbery_male_60_64,robbery_male_over_64,robbery_female_under_10,robbery_female_10_12,robbery_female_13_14,robbery_female_15,robbery_female_16,robbery_female_17,robbery_female_18,robbery_female_19,robbery_female_20,robbery_female_21,robbery_female_22,robbery_female_23,robbery_female_24,robbery_female_25_29,robbery_female_30_34,robbery_female_35_39,robbery_female_40_44,robbery_female_45_49,robbery_female_50_54,robbery_female_55_59,robbery_female_60_64,robbery_female_over_64,robbery_adult_white,robbery_adult_black,robbery_adult_asian,robbery_adult_indian,robbery_juv_white,robbery_juv_black,robbery_juv_asian,robbery_juv_indian
Washington,1980,District of Columbia,NA,635233,DCMPD00,DCMPD0000,11,001,11001,1634,1288,346,1543,91,1211,323,77,323,9,12,79,69,80,83,175,163,98,90,71,63,86,270,114,42,18,7,5,3,0,6,1,0,4,5,2,2,7,3,10,9,4,3,6,24,7,3,1,0,0,0,0,0,51,1237,0,0,2,344,0,0
Zoological Park Police,1980,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,2,0,2,2,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Washington,1981,District of Columbia,NA,636e3,DCMPD00,DCMPD0000,11,001,11001,1905,1443,462,1764,141,1338,419,105,419,7,31,85,90,132,81,155,148,95,110,87,90,90,310,152,57,24,9,8,3,0,0,0,4,10,10,7,5,5,8,3,10,6,11,7,35,13,3,2,2,0,0,0,0,54,1384,5,0,7,455,0,0
Zoological Park Police,1981,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1982,District of Columbia,NA,631e3,DCMPD00,DCMPD0000,11,001,11001,1367,998,369,1289,78,939,348,59,348,2,22,75,71,86,94,113,92,73,74,55,57,56,223,117,49,18,9,2,0,1,0,2,1,4,5,3,4,2,9,2,6,3,2,5,19,7,1,2,0,0,1,0,0,40,951,7,0,6,363,0,0
Zoological Park Police,1982,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,2,0,2,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Washington,1983,District of Columbia,NA,623e3,DCMPD00,DCMPD0000,11,001,11001,1583,1149,434,1491,92,1070,411,79,411,10,22,96,77,91,125,137,127,94,64,67,60,49,258,126,52,21,11,2,0,2,0,0,1,2,2,4,4,3,7,6,5,4,5,5,27,14,2,1,0,0,0,0,0,31,1110,8,0,6,428,0,0
Us Park Police,1983,District of Columbia,NA,0,DCPPD00,DCPPD0000,11,001,11001,29,14,15,29,0,14,13,0,13,2,0,5,2,3,3,2,1,1,2,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,1,14,0,0
Zoological Park Police,1983,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,2,0,2,2,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Washington,1984,District of Columbia,NA,623e3,DCMPD00,DCMPD0000,11,001,11001,1410,1022,388,1313,97,944,365,78,365,4,20,95,93,85,72,84,88,83,71,67,61,58,226,123,51,23,2,3,3,0,1,0,0,9,2,5,3,3,4,5,5,8,3,5,22,13,6,3,1,0,0,0,0,42,977,3,0,6,382,0,0
