agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,rape_tot_arrests,rape_tot_adult,rape_tot_juv,rape_tot_male,rape_tot_female,rape_tot_male_adult,rape_tot_male_juv,rape_tot_female_adult,rape_tot_female_juv,rape_male_under_10,rape_male_10_12,rape_male_13_14,rape_male_15,rape_male_16,rape_male_17,rape_male_18,rape_male_19,rape_male_20,rape_male_21,rape_male_22,rape_male_23,rape_male_24,rape_male_25_29,rape_male_30_34,rape_male_35_39,rape_male_40_44,rape_male_45_49,rape_male_50_54,rape_male_55_59,rape_male_60_64,rape_male_over_64,rape_female_under_10,rape_female_10_12,rape_female_13_14,rape_female_15,rape_female_16,rape_female_17,rape_female_18,rape_female_19,rape_female_20,rape_female_21,rape_female_22,rape_female_23,rape_female_24,rape_female_25_29,rape_female_30_34,rape_female_35_39,rape_female_40_44,rape_female_45_49,rape_female_50_54,rape_female_55_59,rape_female_60_64,rape_female_over_64,rape_adult_white,rape_adult_black,rape_adult_asian,rape_adult_indian,rape_juv_white,rape_juv_black,rape_juv_asian,rape_juv_indian
Washington,1980,District of Columbia,NA,635233,DCMPD00,DCMPD0000,11,001,11001,150,139,11,150,0,139,11,0,11,0,0,3,3,3,2,6,7,7,13,17,2,5,36,20,10,8,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,130,0,0,2,9,0,0
Zoological Park Police,1980,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1981,District of Columbia,NA,636e3,DCMPD00,DCMPD0000,11,001,11001,136,118,18,136,0,118,18,0,18,0,1,2,6,5,4,4,4,6,6,9,12,13,23,27,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,110,4,0,0,18,0,0
Zoological Park Police,1981,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1982,District of Columbia,NA,631e3,DCMPD00,DCMPD0000,11,001,11001,123,116,7,123,0,116,7,0,7,0,0,2,2,2,1,3,8,10,7,4,12,6,31,12,14,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,97,2,0,0,7,0,0
Zoological Park Police,1982,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1983,District of Columbia,NA,623e3,DCMPD00,DCMPD0000,11,001,11001,144,129,15,143,1,129,14,0,14,0,0,0,3,9,2,6,8,10,7,4,5,8,31,21,10,10,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,125,0,0,0,15,0,0
Us Park Police,1983,District of Columbia,NA,0,DCPPD00,DCPPD0000,11,001,11001,6,6,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Zoological Park Police,1983,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1984,District of Columbia,NA,623e3,DCMPD00,DCMPD0000,11,001,11001,160,140,20,157,3,137,20,3,20,0,2,5,4,5,4,8,7,13,7,8,12,7,32,19,9,8,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,135,1,0,1,19,0,0
Washington,1985,District of Columbia,NA,626e3,DCMPD00,DCMPD0000,11,001,11001,146,133,13,145,1,132,13,1,13,0,0,3,5,2,3,3,9,3,7,9,6,5,34,30,11,11,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,129,1,1,0,13,0,0
Zoological Park Police,1985,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1986,District of Columbia,NA,626e3,DCMPD00,DCMPD0000,11,001,11001,143,124,19,143,0,124,18,0,18,1,0,3,3,8,4,5,2,7,11,7,6,9,40,17,13,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,120,1,0,1,18,0,0
Zoological Park Police,1986,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Washington,1987,District of Columbia,NA,622e3,DCMPD00,DCMPD0000,11,001,11001,111,97,14,111,0,97,14,0,14,0,1,2,1,3,7,2,2,6,6,3,5,5,29,17,11,5,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,1,0,0,14,0,0
Washington,1988,District of Columbia,NA,62e4,DCMPD00,DCMPD0000,11,001,11001,69,58,11,69,0,58,11,0,11,0,0,5,1,2,3,2,2,4,0,4,2,4,19,11,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2,1,0,11,0,0
