agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,burglary_male_under_10,burglary_male_10_12,burglary_male_13_14,burglary_male_15,burglary_male_16,burglary_male_17,burglary_male_18,burglary_male_19,burglary_male_20,burglary_male_21,burglary_male_22,burglary_male_23,burglary_male_24,burglary_male_25_29,burglary_male_30_34,burglary_male_35_39,burglary_male_40_44,burglary_male_45_49,burglary_male_50_54,burglary_male_55_59,burglary_male_60_64,burglary_male_over_64,burglary_female_under_10,burglary_female_10_12,burglary_female_13_14,burglary_female_15,burglary_female_16,burglary_female_17,burglary_female_18,burglary_female_19,burglary_female_20,burglary_female_21,burglary_female_22,burglary_female_23,burglary_female_24,burglary_female_25_29,burglary_female_30_34,burglary_female_35_39,burglary_female_40_44,burglary_female_45_49,burglary_female_50_54,burglary_female_55_59,burglary_female_60_64,burglary_female_over_64,burglary_adult_white,burglary_adult_black,burglary_adult_asian,burglary_adult_indian,burglary_juv_white,burglary_juv_black,burglary_juv_asian,burglary_juv_indian
Androscoggin,1980,Maine,ME,18026,ME00100,ME0010000,23,001,23001,sheriffs office,"msa cnty 10,000-24,999",new england,suburban,25,12,13,24,1,12,11,0,11,1,0,3,2,4,2,2,2,0,0,1,0,1,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,13,0,0,0
Auburn,1980,Maine,ME,23130,ME00101,ME0010100,23,001,23001,local police department,"cities 10,000-24,999",new england,non-suburban,57,27,30,57,0,27,30,0,30,0,2,6,3,12,7,7,6,2,1,3,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,30,0,0,0
Lewiston,1980,Maine,ME,40560,ME00102,ME0010200,23,001,23001,local police department,"cities 25,000-49,999",new england,non-suburban,126,56,70,120,6,53,66,3,66,1,5,20,10,15,16,6,7,9,7,1,1,4,13,0,4,1,0,0,0,0,0,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,70,0,0,0
Livermore Falls,1980,Maine,ME,3559,ME00103,ME0010300,23,001,23001,local police department,"cities 2,500-9,999",new england,suburban,4,0,4,4,0,0,4,0,4,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Lisbon,1980,Maine,ME,8755,ME00105,ME0010500,23,001,23001,local police department,"cities 2,500-9,999",new england,suburban,18,2,16,17,1,2,14,0,14,1,8,3,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0
Mechanic Falls,1980,Maine,ME,2589,ME00106,ME0010600,23,001,23001,local police department,"cities 2,500-9,999",new england,suburban,7,4,3,7,0,4,3,0,3,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0
Sabattus,1980,Maine,ME,3089,ME00107,ME0010700,23,001,23001,local police department,"cities 2,500-9,999",new england,suburban,10,1,9,10,0,1,9,0,9,0,4,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0
Androscoggin State Polic,1980,Maine,ME,0,ME001SP,ME001SP00,23,001,23001,state law enforcement agency,"msa cnty under 10,000",new england,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aroostook,1980,Maine,ME,32779,ME00200,ME0020000,23,003,23003,sheriffs office,"non-msa cnty 25,000-99,999",new england,non-suburban,34,23,11,32,2,22,10,1,10,0,0,0,3,6,1,3,5,6,0,0,2,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,11,0,0,0
Caribou,1980,Maine,ME,9910,ME00201,ME0020100,23,003,23003,local police department,"cities 2,500-9,999",new england,non-suburban,27,13,14,27,0,13,14,0,14,0,0,3,1,10,0,4,5,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,14,0,0,0
Fort Fairfield,1980,Maine,ME,4369,ME00202,ME0020200,23,003,23003,local police department,"cities 2,500-9,999",new england,non-suburban,5,2,3,4,1,2,2,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
Fort Kent,1980,Maine,ME,4831,ME00203,ME0020300,23,003,23003,local police department,"cities 2,500-9,999",new england,non-suburban,5,1,4,5,0,1,4,0,4,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
Houlton,1980,Maine,ME,6753,ME00204,ME0020400,23,003,23003,local police department,"cities 2,500-9,999",new england,non-suburban,55,20,35,51,4,19,32,1,32,0,1,6,22,1,2,3,5,5,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,4,34,0,0,1
Madawaska,1980,Maine,ME,5274,ME00205,ME0020500,23,003,23003,local police department,"cities 2,500-9,999",new england,non-suburban,4,3,1,4,0,3,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
Presque Isle,1980,Maine,ME,11171,ME00206,ME0020600,23,003,23003,local police department,"cities 10,000-24,999",new england,non-suburban,20,10,10,20,0,10,10,0,10,0,0,2,3,5,0,1,5,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9,0,0,1
