agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Anderson,1980,Tennessee,TN,30216,TN00100,TN0010000,47,001,47001,sheriffs office,"msa cnty 25,000-99,999",east south central,suburban,20,20,0,15,5,15,0,5,0,0,0,0,0,0,0,0,1,1,2,0,1,1,2,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,18,2,0,0,0,0,0,0
Clinton,1980,Tennessee,TN,5239,TN00101,TN0010100,47,001,47001,local police department,"cities 2,500-9,999",east south central,suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Lake City,1980,Tennessee,TN,2283,TN00102,TN0010200,47,001,47001,local police department,"cities under 2,500",east south central,suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Oak Ridge,1980,Tennessee,TN,27552,TN00103,TN0010300,47,001,47001,local police department,"cities 25,000-49,999",east south central,suburban,45,38,7,36,9,30,6,8,6,0,0,0,0,3,3,3,0,2,3,2,0,5,3,3,8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,3,0,0,0,0,1,0,27,11,0,0,1,6,0,0
Norris,1980,Tennessee,TN,1366,TN00104,TN0010400,47,001,47001,local police department,"cities under 2,500",east south central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedford,1980,Tennessee,TN,13815,TN00200,TN0020000,47,003,47003,sheriffs office,"non-msa cnty 100,000 or over",east south central,non-suburban,88,87,1,81,7,80,1,7,1,0,0,0,0,0,1,4,7,2,2,6,9,5,14,12,7,3,2,1,3,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0,1,0,0,77,10,0,0,1,0,0,0
Shelbyville,1980,Tennessee,TN,13397,TN00201,TN0020100,47,003,47003,local police department,"cities 10,000-24,999",east south central,non-suburban,20,20,0,19,1,19,0,1,0,0,0,0,0,0,0,0,2,3,1,2,1,0,4,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0
Wartrace,1980,Tennessee,TN,547,TN00202,TN0020200,47,003,47003,local police department,"cities under 2,500",east south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,1980,Tennessee,TN,11494,TN00300,TN0030000,47,005,47005,sheriffs office,"non-msa cnty 10,000-24,999",east south central,non-suburban,21,20,1,18,3,17,1,3,1,0,0,0,0,0,1,1,1,0,1,0,1,2,2,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,17,3,0,0,1,0,0,0
Camden,1980,Tennessee,TN,3268,TN00301,TN0030100,47,005,47005,local police department,"cities 2,500-9,999",east south central,non-suburban,2,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
