agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Adams,1980,Colorado,CO,75596,CO00100,CO0010000,08,001,08001,sheriffs office,"msa cnty 25,000-99,999",mountain,suburban,87,73,14,81,6,70,10,3,10,1,2,1,2,2,3,3,5,4,3,3,3,3,17,11,3,8,4,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,69,3,0,1,14,0,0,0
Aurora,1980,Colorado,CO,158249,CO00101,CO0010100,08,005,08005,local police department,"cities 100,000-249,999",mountain,non-suburban,95,62,33,75,20,52,21,10,21,2,1,3,4,5,8,6,4,7,3,1,2,2,9,8,4,4,1,1,0,0,0,0,0,2,1,4,3,1,1,0,1,0,0,0,3,1,1,1,1,0,0,0,0,40,20,2,0,19,14,0,0
Brighton,1980,Colorado,CO,12870,CO00102,CO0010200,08,001,08001,local police department,"cities 10,000-24,999",mountain,suburban,39,30,9,30,9,27,3,3,3,0,0,0,1,1,1,0,1,3,3,3,0,2,6,4,4,1,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,30,0,0,0,9,0,0,0
Commerce City,1980,Colorado,CO,16220,CO00103,CO0010300,08,001,08001,local police department,"cities 10,000-24,999",mountain,suburban,13,13,0,12,1,12,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0
Thornton,1980,Colorado,CO,39948,CO00104,CO0010400,08,001,08001,local police department,"cities 25,000-49,999",mountain,suburban,10,8,2,9,1,8,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0
Westminster,1980,Colorado,CO,32004,CO00105,CO0010500,08,001,08001,local police department,"cities 25,000-49,999",mountain,suburban,50,44,6,48,2,42,6,2,6,0,0,1,1,2,2,3,1,3,1,5,2,4,10,5,1,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43,0,1,0,6,0,0,0
Northglenn Police Dept,1980,Colorado,CO,29748,CO00106,CO0010600,08,001,08001,local police department,"cities 25,000-49,999",mountain,suburban,14,8,6,13,1,7,6,1,6,0,0,0,3,2,1,3,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,0,6,0,0,0
Federal Heights,1980,Colorado,CO,7815,CO00108,CO0010800,08,001,08001,local police department,"cities 2,500-9,999",mountain,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alamosa,1980,Colorado,CO,4920,CO00200,CO0020000,08,003,08003,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,8,8,0,7,1,7,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0
Alamosa,1980,Colorado,CO,6841,CO00201,CO0020100,08,003,08003,local police department,"cities 2,500-9,999",mountain,non-suburban,34,29,5,30,4,26,4,3,4,0,0,0,1,1,2,1,1,4,1,2,1,2,5,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,29,0,0,0,5,0,0,0
Arapahoe,1980,Colorado,CO,85702,CO00300,CO0030000,08,005,08005,sheriffs office,"msa cnty 25,000-99,999",mountain,suburban,12,11,1,11,1,10,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0
Englewood,1980,Colorado,CO,29979,CO00301,CO0030100,08,005,08005,local police department,"cities 25,000-49,999",mountain,suburban,28,23,5,24,4,19,5,4,5,0,0,2,1,0,2,1,1,0,1,4,2,2,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,19,2,0,2,5,0,0,0
Littleton,1980,Colorado,CO,28474,CO00302,CO0030200,08,005,08005,local police department,"cities 25,000-49,999",mountain,suburban,4,2,2,4,0,2,2,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
Sheridan,1980,Colorado,CO,5378,CO00303,CO0030300,08,005,08005,local police department,"cities 2,500-9,999",mountain,suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Glendale,1980,Colorado,CO,2527,CO00304,CO0030400,08,005,08005,local police department,"cities 2,500-9,999",mountain,suburban,9,8,1,8,1,7,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,1
Cherry Hill,1980,Colorado,CO,5145,CO00305,CO0030500,08,005,08005,local police department,"cities 2,500-9,999",mountain,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenwood,1980,Colorado,CO,5729,CO00307,CO0030700,08,005,08005,local police department,"cities 2,500-9,999",mountain,suburban,2,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Columbine Valley Police,1980,Colorado,CO,926,CO00308,CO0030800,08,005,08005,local police department,"cities under 2,500",mountain,suburban,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Archuleta,1980,Colorado,CO,2308,CO00400,CO0040000,08,007,08007,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pagosa Springs,1980,Colorado,CO,1323,CO00401,CO0040100,08,007,08007,local police department,"cities under 2,500",mountain,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baca,1980,Colorado,CO,5366,CO00500,CO0050000,08,009,08009,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
