agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Anchorage,1980,Alaska,AK,173992,AK00101,AK0010100,02,020,02020,local police department,"cities 100,000-249,999",pacific,non-suburban,117,104,13,110,7,97,13,7,13,0,1,1,2,4,5,1,7,4,9,9,5,3,17,19,3,15,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,0,1,0,0,70,19,1,14,9,1,0,3
Fairbanks,1980,Alaska,AK,22521,AK00102,AK0010200,02,090,02090,local police department,"cities 10,000-24,999",pacific,non-suburban,95,78,17,73,22,68,5,10,5,0,0,0,1,2,2,4,4,2,4,5,5,0,8,15,7,5,2,4,3,0,0,0,8,1,0,3,0,1,0,2,0,0,1,1,1,3,0,1,0,0,0,0,0,25,18,3,12,8,1,0,0
Juneau,1980,Alaska,AK,19483,AK00103,AK0010300,02,110,02110,local police department,"cities 10,000-24,999",pacific,non-suburban,11,9,2,10,1,9,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,0,2
Ketchikan,1980,Alaska,AK,7248,AK00104,AK0010400,02,130,02130,local police department,"cities 2,500-9,999",pacific,non-suburban,60,51,9,52,8,49,2,2,2,1,0,1,0,0,1,5,6,5,3,3,2,3,7,8,2,2,1,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,24,0,1,23,0,0,0,0
Kodiak,1980,Alaska,AK,4746,AK00105,AK0010500,02,150,02150,local police department,"cities 2,500-9,999",pacific,non-suburban,23,21,2,21,2,20,1,1,1,0,0,0,0,1,0,1,0,0,2,0,0,3,6,5,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,3,4,0,0,0,2
Nome,1980,Alaska,AK,2273,AK00106,AK0010600,02,180,02180,local police department,"cities under 2,500",pacific,non-suburban,21,21,0,17,4,17,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,9,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,8,10,0,0,0,0
Petersburg,1980,Alaska,AK,2800,AK00107,AK0010700,02,198,02198,local police department,"cities 2,500-9,999",pacific,non-suburban,6,6,0,5,1,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0
Seward,1980,Alaska,AK,1842,AK00108,AK0010800,02,122,02122,local police department,"cities under 2,500",pacific,non-suburban,9,5,4,8,1,4,4,1,4,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,4,0,0,0
Sitka,1980,Alaska,AK,7769,AK00109,AK0010900,02,220,02220,local police department,"cities 2,500-9,999",pacific,non-suburban,52,49,3,49,3,47,2,2,2,0,0,2,0,0,0,2,2,3,6,6,2,3,8,7,3,4,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,32,0,0,2,1
Skagway,1980,Alaska,AK,769,AK00110,AK0011000,02,230,02230,local police department,"cities under 2,500",pacific,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrangell,1980,Alaska,AK,2174,AK00111,AK0011100,02,275,02275,local police department,"cities under 2,500",pacific,non-suburban,11,6,5,11,0,6,5,0,5,0,1,0,0,2,2,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,5,0,0,0
Valdez,1980,Alaska,AK,3173,AK00112,AK0011200,02,261,02261,local police department,"cities 2,500-9,999",pacific,non-suburban,3,2,1,3,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
