agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Washington,1980,District of Columbia,NA,635233,DCMPD00,DCMPD0000,11,001,11001,1554,1396,158,1302,252,1177,122,219,122,3,10,36,28,25,23,57,37,62,48,58,60,55,226,181,110,94,63,50,47,13,16,2,3,10,9,4,5,13,11,6,9,8,12,11,40,34,26,15,12,2,10,6,4,127,1269,0,0,3,155,0,0
Zoological Park Police,1980,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Washington,1981,District of Columbia,NA,636e3,DCMPD00,DCMPD0000,11,001,11001,1612,1384,228,1341,271,1172,160,212,160,9,13,41,35,55,16,52,51,31,53,54,54,52,222,176,124,101,55,70,32,22,23,1,6,12,17,14,9,11,10,5,8,6,6,14,57,30,21,22,6,5,7,3,1,83,1264,37,0,7,221,0,0
Zoological Park Police,1981,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1982,District of Columbia,NA,631e3,DCMPD00,DCMPD0000,11,001,11001,1395,1227,168,1194,201,1062,129,165,129,3,13,32,32,26,26,39,41,42,40,47,52,48,204,193,118,82,67,37,19,17,16,2,2,11,6,7,8,7,6,5,10,7,11,13,27,20,21,14,11,5,2,2,4,70,1118,39,0,4,164,0,0
Zoological Park Police,1982,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1983,District of Columbia,NA,623e3,DCMPD00,DCMPD0000,11,001,11001,1692,1489,203,1411,281,1258,149,231,149,4,12,28,34,38,37,46,52,59,42,57,59,57,284,185,141,92,65,44,42,23,10,1,3,16,11,7,12,6,8,10,18,11,13,15,55,33,19,13,12,11,3,3,1,109,1347,33,0,4,199,0,0
Us Park Police,1983,District of Columbia,NA,0,DCPPD00,DCPPD0000,11,001,11001,25,11,14,25,0,11,14,0,14,0,0,6,2,0,6,1,1,0,2,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,1,13,0,0
Zoological Park Police,1983,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1984,District of Columbia,NA,623e3,DCMPD00,DCMPD0000,11,001,11001,1833,1595,238,1509,324,1331,171,264,171,7,19,44,35,38,35,33,47,64,48,56,55,65,280,215,172,110,62,56,34,21,13,0,6,22,15,9,8,4,9,16,16,11,21,14,68,33,24,19,12,8,6,1,2,119,1428,47,1,4,234,0,0
Washington,1985,District of Columbia,NA,626e3,DCMPD00,DCMPD0000,11,001,11001,2050,1823,227,1721,329,1542,170,281,170,9,17,39,50,24,40,47,56,78,78,65,66,70,345,228,168,105,88,53,44,25,26,0,3,12,14,9,10,5,10,18,17,10,13,17,62,66,29,11,7,8,2,2,4,137,1626,55,5,2,225,0,0
Zoological Park Police,1985,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1986,District of Columbia,NA,626e3,DCMPD00,DCMPD0000,11,001,11001,2072,1798,274,1752,320,1508,240,290,240,4,8,45,41,75,71,45,53,53,65,82,68,69,328,251,188,116,74,33,30,18,35,0,2,10,7,7,4,3,7,12,12,15,15,14,86,51,33,19,10,4,4,1,4,154,1592,51,1,25,249,0,0
Zoological Park Police,1986,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1987,District of Columbia,NA,622e3,DCMPD00,DCMPD0000,11,001,11001,2026,1704,322,1686,340,1408,276,296,276,2,20,66,58,67,65,21,52,66,64,62,64,60,292,270,175,104,60,33,37,20,28,0,3,11,11,13,6,7,13,15,8,11,12,17,80,57,33,17,10,6,4,1,5,93,1559,52,0,12,310,0,0
Washington,1988,District of Columbia,NA,62e4,DCMPD00,DCMPD0000,11,001,11001,1764,1481,283,1486,278,1249,235,232,235,2,21,46,45,55,68,46,69,73,66,55,58,44,243,215,135,87,60,35,26,12,25,0,3,14,7,7,15,5,4,6,11,12,8,9,57,47,30,22,9,4,3,4,1,95,1344,42,0,12,271,0,0
Zoological Park Police,1988,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1989,District of Columbia,NA,604e3,DCMPD00,DCMPD0000,11,001,11001,1889,1534,355,1563,326,1261,298,273,298,4,13,62,65,82,76,78,71,57,52,60,56,51,235,195,146,101,58,30,40,12,19,0,1,14,14,12,12,12,11,14,9,16,10,13,61,45,43,16,8,8,3,4,0,170,1355,9,0,8,347,0,0
Washington,1990,District of Columbia,NA,606900,DCMPD00,DCMPD0000,11,001,11001,2475,2017,458,2024,451,1647,371,370,371,6,15,93,95,85,83,113,104,101,79,70,69,56,308,257,179,104,71,59,40,14,23,4,5,21,11,28,12,15,17,24,16,22,9,19,85,71,42,27,7,12,1,1,2,218,1793,6,0,25,433,0,0
Washington,1991,District of Columbia,NA,598e3,DCMPD00,DCMPD0000,11,001,11001,2865,2432,433,2233,632,1903,322,529,322,8,37,71,76,87,51,108,143,113,93,103,94,61,320,293,233,137,86,43,33,17,26,1,10,37,15,18,22,21,32,22,31,23,22,21,112,85,65,48,23,15,4,4,1,256,2169,7,0,6,426,1,0
Zoological Park Police,1991,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Washington,1992,District of Columbia,NA,589e3,DCMPD00,DCMPD0000,11,001,11001,3586,3237,349,2655,931,2406,248,831,248,1,18,57,45,50,78,92,116,116,118,110,90,107,486,368,294,214,99,76,54,31,35,1,6,23,22,29,19,35,26,30,38,34,41,34,202,160,124,48,32,15,5,5,2,313,2918,6,0,9,340,0,0
Zoological Park Police,1992,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1993,District of Columbia,NA,578e3,DCMPD00,DCMPD0000,11,001,11001,3793,3339,454,2724,1069,2395,314,944,314,15,28,71,66,77,72,92,75,108,123,131,104,85,422,388,316,215,150,76,52,28,30,3,9,34,29,24,26,26,37,35,35,44,34,43,217,198,152,62,30,14,11,3,3,295,3034,10,0,67,386,1,0
Washington,1994,District of Columbia,NA,57e4,DCMPD00,DCMPD0000,11,001,11001,3513,3115,398,2481,1032,2210,269,905,269,2,14,68,51,64,72,107,106,91,93,104,104,75,355,369,316,179,124,63,49,39,36,0,9,37,25,28,28,38,30,38,30,33,41,44,184,196,140,68,35,10,13,2,3,289,2811,14,1,15,383,0,0
Washington,1995,District of Columbia,NA,554e3,DCMPD00,DCMPD0000,11,001,11001,2917,2597,320,2090,827,1871,217,726,217,2,13,62,39,56,47,79,82,85,90,71,85,89,329,299,252,172,94,61,35,28,20,0,5,33,17,22,24,24,29,29,36,28,43,26,155,157,100,53,25,9,8,1,3,294,2293,10,0,10,309,1,0
Metro Transit Police,2001,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,40,33,7,32,8,25,7,8,7,0,1,2,0,3,1,2,1,0,1,1,4,3,2,2,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,1,0,0,0,1,0,0,4,28,1,0,0,7,0,0
Metro Transit Police,2002,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,34,25,9,28,6,20,8,5,8,0,0,2,1,4,1,1,0,1,2,0,2,0,3,3,1,2,1,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,7,18,0,0,1,8,0,0
Metro Transit Police,2003,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,47,31,16,36,11,23,13,8,13,0,1,6,1,2,3,2,0,2,2,1,1,0,3,1,2,4,3,2,0,0,0,0,0,1,2,0,0,1,0,0,0,1,2,1,2,0,0,0,1,0,0,0,0,4,27,0,0,1,15,0,0
National Zoological Park,2003,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Transit Police,2004,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,51,31,20,44,7,26,18,5,18,0,4,9,1,3,1,0,1,2,0,2,0,2,2,3,2,5,5,0,2,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,3,28,0,0,0,20,0,0
Metro Transit Police,2005,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,38,31,7,26,12,24,2,7,2,0,1,0,1,0,0,1,3,1,0,2,0,2,5,3,1,0,3,1,1,1,0,0,0,1,2,2,0,1,0,1,0,0,0,0,2,1,0,1,0,0,1,0,0,3,28,0,0,0,7,0,0
National Zoological Park,2005,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Transit Police,2006,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,41,28,13,33,8,24,9,4,9,0,0,1,2,2,4,3,0,1,1,0,1,0,5,2,2,4,2,3,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,4,24,0,0,0,13,0,0
Metro Transit Police,2007,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,45,21,24,29,16,15,14,6,14,0,0,2,7,2,3,2,0,0,0,2,0,1,3,1,3,1,2,0,0,0,0,0,1,2,2,4,1,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,18,1,0,0,24,0,0
Metro Transit Police,2008,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,35,24,11,30,5,22,8,2,8,0,0,2,2,1,3,2,0,0,1,2,1,1,4,0,3,3,2,2,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0,11,0,0
Metro Transit Police,2009,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,44,24,20,32,12,18,14,6,14,0,3,2,2,4,3,0,1,0,0,0,2,3,2,3,0,3,1,2,1,0,0,0,0,0,3,1,2,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,2,22,0,0,0,20,0,0
Metro Transit Police,2010,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,66,40,26,49,17,29,20,11,20,0,2,3,3,7,5,2,2,2,1,2,1,3,2,5,2,2,1,1,2,1,0,0,0,0,1,5,0,1,3,1,0,0,0,0,1,1,1,2,0,1,0,0,0,2,38,0,0,1,25,0,0
Metro Transit Police,2011,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,40,29,11,29,11,25,4,4,4,0,0,1,1,1,1,2,2,1,0,1,0,0,4,2,3,3,3,2,1,1,0,0,0,0,2,3,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,4,25,0,0,0,11,0,0
Metro Transit Police,2012,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,46,32,14,37,9,29,8,3,8,0,1,0,2,3,2,3,2,5,0,1,0,2,4,3,3,2,1,1,2,0,0,0,0,1,2,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,30,0,0,0,14,0,0
Metro Transit Police,2013,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,35,24,11,27,8,18,9,6,9,0,0,1,6,1,1,2,3,2,0,1,1,0,2,2,1,3,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,24,0,0,0,11,0,0
Metro Transit Police,2014,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,46,37,9,33,13,28,5,9,5,0,0,1,2,1,1,2,1,1,1,1,1,3,2,1,6,2,0,3,3,0,1,0,0,0,0,2,2,0,1,0,0,1,1,2,0,3,1,0,0,0,0,0,0,3,34,0,0,0,9,0,0
Metro Transit Police,2015,District of Columbia,NA,0,DCMTP00,DCMTP0000,11,001,11001,40,20,20,30,10,14,16,6,16,0,2,6,1,3,4,1,2,2,2,0,0,0,1,0,1,3,0,1,0,1,0,0,0,3,0,1,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,19,0,0,0,20,0,0
