agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Barrington,1980,Rhode Island,RI,16181,RI00101,RI0010100,44,001,44001,local police department,"cities 10,000-24,999",new england,suburban,8,4,4,7,1,3,4,1,4,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,4,0,0,0
Bristol,1980,Rhode Island,RI,20165,RI00102,RI0010200,44,001,44001,local police department,"cities 10,000-24,999",new england,suburban,8,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Warren,1980,Rhode Island,RI,10620,RI00103,RI0010300,44,001,44001,local police department,"cities 10,000-24,999",new england,suburban,7,7,0,7,0,7,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Coventry,1980,Rhode Island,RI,26985,RI00201,RI0020100,44,003,44003,local police department,"cities 25,000-49,999",new england,suburban,27,24,3,23,4,20,2,4,2,1,0,1,0,0,1,1,3,3,1,1,3,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,24,0,0,0,3,0,0,0
East Greenwich,1980,Rhode Island,RI,10208,RI00202,RI0020200,44,003,44003,local police department,"cities 10,000-24,999",new england,suburban,44,40,4,42,2,39,3,1,3,0,0,0,0,1,2,3,3,5,5,1,1,2,4,7,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,1,0,0,4,0,0,0
Warwick,1980,Rhode Island,RI,87064,RI00203,RI0020300,44,003,44003,local police department,"cities 50,000-99,999",new england,non-suburban,183,143,40,157,26,124,33,19,33,0,0,4,6,7,16,12,12,8,6,11,6,3,20,11,17,11,3,4,0,0,0,0,0,4,2,1,0,2,0,2,2,0,1,2,2,3,2,3,0,0,0,0,0,140,3,0,0,39,1,0,0
West Warwick,1980,Rhode Island,RI,26975,RI00204,RI0020400,44,003,44003,local police department,"cities 25,000-49,999",new england,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Greenwich,1980,Rhode Island,RI,2725,RI00205,RI0020500,44,003,44003,local police department,"cities 2,500-9,999",new england,suburban,9,8,1,9,0,8,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0
Jamestown,1980,Rhode Island,RI,4028,RI00301,RI0030100,44,005,44005,local police department,"cities 2,500-9,999",new england,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middletown,1980,Rhode Island,RI,17251,RI00302,RI0030200,44,005,44005,local police department,"cities 10,000-24,999",new england,non-suburban,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
