agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,mtr_veh_theft_tot_arrests,mtr_veh_theft_tot_adult,mtr_veh_theft_tot_juv,mtr_veh_theft_tot_male,mtr_veh_theft_tot_female,mtr_veh_theft_tot_male_adult,mtr_veh_theft_tot_male_juv,mtr_veh_theft_tot_female_adult,mtr_veh_theft_tot_female_juv,mtr_veh_theft_male_under_10,mtr_veh_theft_male_10_12,mtr_veh_theft_male_13_14,mtr_veh_theft_male_15,mtr_veh_theft_male_16,mtr_veh_theft_male_17,mtr_veh_theft_male_18,mtr_veh_theft_male_19,mtr_veh_theft_male_20,mtr_veh_theft_male_21,mtr_veh_theft_male_22,mtr_veh_theft_male_23,mtr_veh_theft_male_24,mtr_veh_theft_male_25_29,mtr_veh_theft_male_30_34,mtr_veh_theft_male_35_39,mtr_veh_theft_male_40_44,mtr_veh_theft_male_45_49,mtr_veh_theft_male_50_54,mtr_veh_theft_male_55_59,mtr_veh_theft_male_60_64,mtr_veh_theft_male_over_64,mtr_veh_theft_female_under_10,mtr_veh_theft_female_10_12,mtr_veh_theft_female_13_14,mtr_veh_theft_female_15,mtr_veh_theft_female_16,mtr_veh_theft_female_17,mtr_veh_theft_female_18,mtr_veh_theft_female_19,mtr_veh_theft_female_20,mtr_veh_theft_female_21,mtr_veh_theft_female_22,mtr_veh_theft_female_23,mtr_veh_theft_female_24,mtr_veh_theft_female_25_29,mtr_veh_theft_female_30_34,mtr_veh_theft_female_35_39,mtr_veh_theft_female_40_44,mtr_veh_theft_female_45_49,mtr_veh_theft_female_50_54,mtr_veh_theft_female_55_59,mtr_veh_theft_female_60_64,mtr_veh_theft_female_over_64,mtr_veh_theft_adult_white,mtr_veh_theft_adult_black,mtr_veh_theft_adult_asian,mtr_veh_theft_adult_indian,mtr_veh_theft_juv_white,mtr_veh_theft_juv_black,mtr_veh_theft_juv_asian,mtr_veh_theft_juv_indian
Hawaii County,1980,Hawaii,HI,55152,HI00100,HI0010000,15,001,15001,34,14,20,26,8,9,17,5,17,0,0,5,5,2,5,1,3,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,8,0,6,0,9,0,11,0
Hilo,1980,Hawaii,HI,37054,HI00101,HI0010100,15,001,15001,28,12,16,28,0,12,16,0,16,0,0,3,2,9,2,4,3,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,7,0,9,0
Honolulu,1980,Hawaii,HI,762020,HI00200,HI0020000,15,003,15003,810,385,425,719,91,354,364,31,364,1,16,87,66,100,95,71,59,50,40,27,18,14,40,17,7,5,3,2,1,0,0,0,4,20,21,12,3,1,6,2,2,2,1,3,9,2,1,1,0,1,0,0,0,86,14,285,0,35,2,387,1
Kauai County,1980,Hawaii,HI,39117,HI00400,HI0040000,15,007,15007,54,25,29,52,2,25,27,0,27,0,1,2,6,10,8,3,14,2,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,8,0,13,0,16,0
Maui County,1980,Hawaii,HI,71337,HI00500,HI0050000,15,009,15009,50,17,33,48,2,17,31,0,31,0,0,6,8,11,6,3,0,0,0,0,2,4,7,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,18,0,15,0
Hawaii County,1981,Hawaii,HI,55971,HI00100,HI0010000,15,001,15001,28,21,7,28,0,21,7,0,7,0,0,2,2,2,1,5,4,0,0,2,0,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,14,0,3,0,4,0
Hilo,1981,Hawaii,HI,37604,HI00101,HI0010100,15,001,15001,17,6,11,16,1,5,11,1,11,0,0,3,5,1,2,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,5,0,6,0
Honolulu,1981,Hawaii,HI,773331,HI00200,HI0020000,15,003,15003,661,341,320,572,89,301,270,40,270,1,7,61,60,77,65,42,52,32,30,22,20,15,43,25,10,3,0,1,6,0,0,0,0,7,14,19,9,11,7,4,5,3,4,0,2,2,0,0,2,0,0,0,0,84,15,242,0,33,3,284,0
Kauai County,1981,Hawaii,HI,39698,HI00400,HI0040000,15,007,15007,31,24,7,28,3,21,7,3,7,0,0,1,2,2,2,1,2,4,0,1,2,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,9,0,0,0,7,0
Maui County,1981,Hawaii,HI,72396,HI00500,HI0050000,15,009,15009,47,21,26,42,5,20,22,1,22,0,1,4,2,5,10,4,3,1,2,1,2,0,4,1,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,7,0,19,0
