agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,burglary_male_under_10,burglary_male_10_12,burglary_male_13_14,burglary_male_15,burglary_male_16,burglary_male_17,burglary_male_18,burglary_male_19,burglary_male_20,burglary_male_21,burglary_male_22,burglary_male_23,burglary_male_24,burglary_male_25_29,burglary_male_30_34,burglary_male_35_39,burglary_male_40_44,burglary_male_45_49,burglary_male_50_54,burglary_male_55_59,burglary_male_60_64,burglary_male_over_64,burglary_female_under_10,burglary_female_10_12,burglary_female_13_14,burglary_female_15,burglary_female_16,burglary_female_17,burglary_female_18,burglary_female_19,burglary_female_20,burglary_female_21,burglary_female_22,burglary_female_23,burglary_female_24,burglary_female_25_29,burglary_female_30_34,burglary_female_35_39,burglary_female_40_44,burglary_female_45_49,burglary_female_50_54,burglary_female_55_59,burglary_female_60_64,burglary_female_over_64,burglary_adult_white,burglary_adult_black,burglary_adult_asian,burglary_adult_indian,burglary_juv_white,burglary_juv_black,burglary_juv_asian,burglary_juv_indian
Bernalillo,1980,New Mexico,NM,85967,NM00100,NM0010000,35,001,35001,5,4,1,5,0,4,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
Albuquerque,1980,New Mexico,NM,328837,NM00101,NM0010100,35,001,35001,736,396,340,698,38,379,317,17,317,2,20,70,73,90,64,83,54,35,28,17,22,21,62,27,20,4,3,3,0,0,0,0,3,7,4,5,2,4,1,3,0,0,2,0,5,2,0,0,0,0,0,0,0,343,41,1,11,313,24,0,3
Univ Of New Mexico,1980,New Mexico,NM,0,NM00102,NM0010200,35,001,35001,8,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0
Catron,1980,New Mexico,NM,2735,NM00200,NM0020000,35,003,35003,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Chaves,1980,New Mexico,NM,11401,NM00300,NM0030000,35,005,35005,5,3,2,4,1,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
Roswell,1980,New Mexico,NM,39698,NM00301,NM0030100,35,005,35005,127,80,47,122,5,76,43,4,43,3,9,7,8,10,9,12,15,6,6,8,7,2,6,9,4,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,70,10,0,0,44,3,0,0
Raton,1980,New Mexico,NM,8242,NM00401,NM0040100,35,007,35007,5,3,2,5,0,3,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
Springer,1980,New Mexico,NM,1361,NM00403,NM0040300,35,007,35007,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Clovis,1980,New Mexico,NM,31344,NM00501,NM0050100,35,009,35009,23,17,6,21,2,16,4,1,4,1,0,0,1,2,1,1,1,0,0,0,3,0,5,0,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,0,0,5,1,0,0
De Baca,1980,New Mexico,NM,2456,NM00600,NM0060000,35,011,35011,5,5,0,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Dona Ana,1980,New Mexico,NM,49056,NM00700,NM0070000,35,013,35013,39,32,7,39,0,32,7,0,7,0,0,0,3,2,2,4,5,2,0,5,2,3,4,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,6,1,0,0
Las Cruces,1980,New Mexico,NM,44916,NM00701,NM0070100,35,013,35013,100,56,44,93,7,55,38,1,38,0,1,10,8,8,11,13,7,7,4,3,6,1,7,4,2,0,1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,4,0,0,43,1,0,0
New Mexico State Univ,1980,New Mexico,NM,0,NM00704,NM0070400,35,013,35013,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mesilla,1980,New Mexico,NM,2023,NM00705,NM0070500,35,013,35013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artesia,1980,New Mexico,NM,10430,NM00801,NM0080100,35,015,35015,7,4,3,7,0,4,3,0,3,0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0
Carlsbad,1980,New Mexico,NM,25592,NM00802,NM0080200,35,015,35015,74,26,48,73,1,26,47,0,47,0,2,18,9,11,7,4,9,3,1,3,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,48,0,0,0
Grant,1980,New Mexico,NM,9785,NM00900,NM0090000,35,017,35017,6,0,6,6,0,0,4,0,4,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Silver City,1980,New Mexico,NM,9887,NM00901,NM0090100,35,017,35017,18,2,16,17,1,2,12,0,12,3,2,4,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0
Bayard,1980,New Mexico,NM,3035,NM00902,NM0090200,35,017,35017,2,1,1,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
