agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,murder_tot_arrests,murder_tot_adult,murder_tot_juv,murder_tot_male,murder_tot_female,murder_tot_male_adult,murder_tot_male_juv,murder_tot_female_adult,murder_tot_female_juv,murder_male_under_10,murder_male_10_12,murder_male_13_14,murder_male_15,murder_male_16,murder_male_17,murder_male_18,murder_male_19,murder_male_20,murder_male_21,murder_male_22,murder_male_23,murder_male_24,murder_male_25_29,murder_male_30_34,murder_male_35_39,murder_male_40_44,murder_male_45_49,murder_male_50_54,murder_male_55_59,murder_male_60_64,murder_male_over_64,murder_female_under_10,murder_female_10_12,murder_female_13_14,murder_female_15,murder_female_16,murder_female_17,murder_female_18,murder_female_19,murder_female_20,murder_female_21,murder_female_22,murder_female_23,murder_female_24,murder_female_25_29,murder_female_30_34,murder_female_35_39,murder_female_40_44,murder_female_45_49,murder_female_50_54,murder_female_55_59,murder_female_60_64,murder_female_over_64,murder_adult_white,murder_adult_black,murder_adult_asian,murder_adult_indian,murder_juv_white,murder_juv_black,murder_juv_asian,murder_juv_indian
Washington,1980,District of Columbia,NA,635233,DCMPD00,DCMPD0000,11,001,11001,150,146,4,135,15,132,3,14,3,0,0,0,0,1,2,3,7,11,2,8,5,11,31,19,10,11,8,2,2,1,1,0,0,0,0,1,0,1,1,0,3,0,2,0,0,5,1,1,0,0,0,0,0,7,139,0,0,0,4,0,0
Zoological Park Police,1980,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1981,District of Columbia,NA,636e3,DCMPD00,DCMPD0000,11,001,11001,189,177,12,165,24,154,11,23,11,0,0,0,3,6,2,12,10,9,8,5,9,7,34,26,9,6,3,4,3,4,5,0,0,0,0,1,0,1,0,0,0,0,3,2,3,4,2,2,2,0,3,0,1,4,167,6,0,2,10,0,0
Zoological Park Police,1981,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1982,District of Columbia,NA,631e3,DCMPD00,DCMPD0000,11,001,11001,133,130,3,121,12,118,3,12,3,0,0,0,0,1,2,10,9,11,8,6,7,5,28,4,10,7,6,3,2,2,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,1,3,1,0,0,0,0,0,6,120,4,0,0,3,0,0
Zoological Park Police,1982,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1983,District of Columbia,NA,623e3,DCMPD00,DCMPD0000,11,001,11001,176,173,3,157,19,154,3,19,3,0,0,1,0,1,1,5,9,11,15,7,8,12,32,24,10,4,3,4,3,1,6,0,0,0,0,0,0,1,0,0,1,0,2,1,4,3,1,5,0,0,1,0,0,8,163,2,0,0,3,0,0
Us Park Police,1983,District of Columbia,NA,0,DCPPD00,DCPPD0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoological Park Police,1983,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1984,District of Columbia,NA,623e3,DCMPD00,DCMPD0000,11,001,11001,140,136,4,127,13,123,4,13,4,0,0,0,0,3,1,2,7,3,8,6,7,9,24,22,15,9,4,2,2,2,1,0,0,0,0,0,0,0,1,2,0,2,0,0,2,2,2,0,0,2,0,0,0,7,127,2,0,0,4,0,0
