agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,arson_tot_arrests,arson_tot_adult,arson_tot_juv,arson_tot_male,arson_tot_female,arson_tot_male_adult,arson_tot_male_juv,arson_tot_female_adult,arson_tot_female_juv,arson_male_under_10,arson_male_10_12,arson_male_13_14,arson_male_15,arson_male_16,arson_male_17,arson_male_18,arson_male_19,arson_male_20,arson_male_21,arson_male_22,arson_male_23,arson_male_24,arson_male_25_29,arson_male_30_34,arson_male_35_39,arson_male_40_44,arson_male_45_49,arson_male_50_54,arson_male_55_59,arson_male_60_64,arson_male_over_64,arson_female_under_10,arson_female_10_12,arson_female_13_14,arson_female_15,arson_female_16,arson_female_17,arson_female_18,arson_female_19,arson_female_20,arson_female_21,arson_female_22,arson_female_23,arson_female_24,arson_female_25_29,arson_female_30_34,arson_female_35_39,arson_female_40_44,arson_female_45_49,arson_female_50_54,arson_female_55_59,arson_female_60_64,arson_female_over_64,arson_adult_white,arson_adult_black,arson_adult_asian,arson_adult_indian,arson_juv_white,arson_juv_black,arson_juv_asian,arson_juv_indian
Hawaii County,1980,Hawaii,HI,55152,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,4,3,1,3,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0
Hilo,1980,Hawaii,HI,37054,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Honolulu,1980,Hawaii,HI,762020,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,25,10,15,23,2,10,13,0,13,0,1,3,4,4,1,0,1,1,0,1,2,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,1,0,14,0
Kauai County,1980,Hawaii,HI,39117,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,3,0,3,3,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
Maui County,1980,Hawaii,HI,71337,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii County,1981,Hawaii,HI,55971,HI00100,HI0010000,15,001,15001,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,5,1,4,5,0,1,4,0,4,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0
Hilo,1981,Hawaii,HI,37604,HI00101,HI0010100,15,001,15001,local police department,"cities 25,000-49,999",pacific,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Honolulu,1981,Hawaii,HI,773331,HI00200,HI0020000,15,003,15003,local police department,"cities 500,000-999,999",pacific,non-suburban,37,25,12,32,5,24,6,1,6,2,0,1,0,2,3,2,1,2,2,3,0,0,7,0,3,2,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,19,0,3,1,8,0
Kauai County,1981,Hawaii,HI,39698,HI00400,HI0040000,15,007,15007,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,2,0,2,2,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Maui County,1981,Hawaii,HI,72396,HI00500,HI0050000,15,009,15009,local police department,"non-msa cnty 25,000-99,999",pacific,non-suburban,3,1,2,3,0,1,2,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
