agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,theft_tot_arrests,theft_tot_adult,theft_tot_juv,theft_tot_male,theft_tot_female,theft_tot_male_adult,theft_tot_male_juv,theft_tot_female_adult,theft_tot_female_juv,theft_male_under_10,theft_male_10_12,theft_male_13_14,theft_male_15,theft_male_16,theft_male_17,theft_male_18,theft_male_19,theft_male_20,theft_male_21,theft_male_22,theft_male_23,theft_male_24,theft_male_25_29,theft_male_30_34,theft_male_35_39,theft_male_40_44,theft_male_45_49,theft_male_50_54,theft_male_55_59,theft_male_60_64,theft_male_over_64,theft_female_under_10,theft_female_10_12,theft_female_13_14,theft_female_15,theft_female_16,theft_female_17,theft_female_18,theft_female_19,theft_female_20,theft_female_21,theft_female_22,theft_female_23,theft_female_24,theft_female_25_29,theft_female_30_34,theft_female_35_39,theft_female_40_44,theft_female_45_49,theft_female_50_54,theft_female_55_59,theft_female_60_64,theft_female_over_64,theft_adult_white,theft_adult_black,theft_adult_asian,theft_adult_indian,theft_juv_white,theft_juv_black,theft_juv_asian,theft_juv_indian,mtr_veh_theft_tot_arrests,mtr_veh_theft_tot_adult,mtr_veh_theft_tot_juv,mtr_veh_theft_tot_male,mtr_veh_theft_tot_female,mtr_veh_theft_tot_male_adult,mtr_veh_theft_tot_male_juv,mtr_veh_theft_tot_female_adult,mtr_veh_theft_tot_female_juv,mtr_veh_theft_male_under_10,mtr_veh_theft_male_10_12,mtr_veh_theft_male_13_14,mtr_veh_theft_male_15,mtr_veh_theft_male_16,mtr_veh_theft_male_17,mtr_veh_theft_male_18,mtr_veh_theft_male_19,mtr_veh_theft_male_20,mtr_veh_theft_male_21,mtr_veh_theft_male_22,mtr_veh_theft_male_23,mtr_veh_theft_male_24,mtr_veh_theft_male_25_29,mtr_veh_theft_male_30_34,mtr_veh_theft_male_35_39,mtr_veh_theft_male_40_44,mtr_veh_theft_male_45_49,mtr_veh_theft_male_50_54,mtr_veh_theft_male_55_59,mtr_veh_theft_male_60_64,mtr_veh_theft_male_over_64,mtr_veh_theft_female_under_10,mtr_veh_theft_female_10_12,mtr_veh_theft_female_13_14,mtr_veh_theft_female_15,mtr_veh_theft_female_16,mtr_veh_theft_female_17,mtr_veh_theft_female_18,mtr_veh_theft_female_19,mtr_veh_theft_female_20,mtr_veh_theft_female_21,mtr_veh_theft_female_22,mtr_veh_theft_female_23,mtr_veh_theft_female_24,mtr_veh_theft_female_25_29,mtr_veh_theft_female_30_34,mtr_veh_theft_female_35_39,mtr_veh_theft_female_40_44,mtr_veh_theft_female_45_49,mtr_veh_theft_female_50_54,mtr_veh_theft_female_55_59,mtr_veh_theft_female_60_64,mtr_veh_theft_female_over_64,mtr_veh_theft_adult_white,mtr_veh_theft_adult_black,mtr_veh_theft_adult_asian,mtr_veh_theft_adult_indian,mtr_veh_theft_juv_white,mtr_veh_theft_juv_black,mtr_veh_theft_juv_asian,mtr_veh_theft_juv_indian
Washington,1980,District of Columbia,NA,635233,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,3929,3267,662,3232,697,2648,573,619,573,11,37,138,157,134,107,215,213,188,136,168,152,150,620,351,151,133,72,43,28,15,13,2,6,23,15,23,9,44,37,34,40,34,29,45,158,99,34,22,17,12,6,7,1,319,2948,0,0,10,652,0,0,1052,756,296,958,94,681,276,75,276,1,8,59,59,84,66,90,68,63,50,50,34,39,142,75,35,14,12,3,4,1,1,0,1,2,8,6,2,9,7,5,3,6,5,6,21,8,0,1,3,0,0,0,1,53,703,0,0,6,290,0,0
Zoological Park Police,1980,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,6,0,6,6,0,0,6,0,6,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1981,District of Columbia,NA,636e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,4517,3749,768,3829,688,3105,705,644,705,19,55,182,168,176,124,225,199,151,182,163,178,177,734,520,230,149,91,40,29,19,18,0,6,10,11,11,6,21,39,27,45,54,44,38,199,97,22,25,14,7,7,2,3,371,3322,55,1,17,751,0,0,1165,805,360,1041,124,704,337,101,337,0,10,61,75,116,75,100,69,41,44,33,51,46,164,91,35,17,7,4,2,0,0,0,0,4,6,8,5,13,6,5,10,6,6,5,29,9,7,3,2,0,0,0,0,61,738,6,0,11,349,0,0
Zoological Park Police,1981,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,3,3,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1982,District of Columbia,NA,631e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,3557,2961,596,2958,599,2420,529,541,529,9,48,110,92,146,133,164,148,122,123,145,110,122,609,420,217,108,67,35,12,9,9,1,2,11,12,18,14,25,37,29,29,38,30,32,144,90,36,17,14,10,0,6,4,277,2611,73,0,4,592,0,0,1048,778,270,946,102,702,244,76,244,0,3,37,51,70,83,99,87,46,47,45,45,35,154,93,34,10,5,1,1,0,0,0,0,1,4,10,11,4,7,7,6,3,6,3,24,14,1,1,0,0,0,0,0,38,734,6,0,8,262,0,0
Zoological Park Police,1982,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1983,District of Columbia,NA,623e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,4148,3500,648,3460,688,2854,593,646,593,13,48,133,113,150,149,193,189,148,130,148,151,116,692,484,254,129,90,58,41,21,10,0,4,7,6,12,13,26,31,45,43,51,40,34,160,99,47,36,19,5,5,1,4,466,2939,85,10,6,642,0,0,1309,890,419,1189,120,788,399,102,399,2,10,62,74,98,155,111,104,69,46,53,50,38,150,97,38,20,5,3,1,1,2,0,0,0,3,12,3,13,12,4,11,9,9,4,24,11,3,2,0,0,0,0,0,33,855,2,0,9,410,0,0
Us Park Police,1983,District of Columbia,NA,0,DCPPD00,DCPPD0000,11,001,11001,NA,"msa cnty under 10,000",south atlantic,suburban,26,18,8,26,0,18,7,0,7,1,0,1,4,0,2,0,0,0,1,1,1,0,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,1,7,0,0,21,11,10,18,3,11,7,0,7,0,0,0,1,3,3,0,0,1,1,1,1,0,4,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,2,8,0,0
Zoological Park Police,1983,District of Columbia,NA,0,DCZPP00,DCZPP0000,11,001,11001,federal,"cities under 2,500",south atlantic,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1984,District of Columbia,NA,623e3,DCMPD00,DCMPD0000,11,001,11001,local police department,"cities 500,000-999,999",south atlantic,non-suburban,4119,3607,512,3430,689,2958,467,649,467,5,25,117,99,123,103,160,181,142,148,144,148,133,704,497,310,137,91,74,43,35,11,1,2,11,11,6,9,24,37,36,38,40,37,36,174,98,55,37,14,10,2,7,4,559,2984,63,1,17,495,0,0,1531,1034,497,1362,169,897,464,137,464,1,7,79,105,150,123,120,117,102,75,49,36,53,151,95,53,30,11,4,1,0,0,0,1,7,4,13,7,11,16,13,9,10,10,4,36,15,8,2,2,0,1,0,0,55,973,5,1,17,480,0,0
