agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Ansonia,1980,Connecticut,CT,18841,CT00002,CT0000200,09,009,09009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avon,1980,Connecticut,CT,11226,CT00004,CT0000400,09,003,09003,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Berlin,1980,Connecticut,CT,15141,CT00007,CT0000700,09,003,09003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bethel,1980,Connecticut,CT,15730,CT00009,CT0000900,09,001,09001,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
Bloomfield,1980,Connecticut,CT,18595,CT00011,CT0001100,09,003,09003,11,6,5,10,1,5,5,1,5,0,0,0,1,1,3,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,1,4,0,0
Branford,1980,Connecticut,CT,22847,CT00014,CT0001400,09,009,09009,4,2,2,3,1,1,2,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
Bridgeport,1980,Connecticut,CT,142459,CT00015,CT0001500,09,001,09001,137,120,17,122,15,105,17,15,17,0,0,0,1,7,9,5,7,6,6,8,2,5,25,12,6,7,7,3,3,2,1,0,0,0,0,0,0,0,4,0,0,0,3,1,0,4,1,1,0,1,0,0,0,67,53,0,0,10,7,0,0
Bristol,1980,Connecticut,CT,57177,CT00017,CT0001700,09,003,09003,187,167,20,172,15,153,19,14,19,0,0,0,1,9,9,13,12,9,12,12,12,15,26,19,8,7,4,4,0,0,0,0,0,0,0,0,1,1,1,3,2,0,1,2,1,2,0,0,1,0,0,0,0,152,15,0,0,17,3,0,0
Brookfield,1980,Connecticut,CT,12647,CT00018,CT0001800,09,001,09001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canton,1980,Connecticut,CT,7650,CT00023,CT0002300,09,003,09003,3,3,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Cheshire,1980,Connecticut,CT,21545,CT00025,CT0002500,09,009,09009,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Clinton,1980,Connecticut,CT,11224,CT00027,CT0002700,09,007,09007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry,1980,Connecticut,CT,8890,CT00032,CT0003200,09,013,09013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danbury,1980,Connecticut,CT,59303,CT00034,CT0003400,09,001,09001,93,79,14,84,9,72,12,7,12,0,0,0,5,3,4,1,12,6,7,6,2,8,15,5,4,3,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,2,0,0,1,0,0,0,61,18,0,0,13,1,0,0
