agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,theft_tot_arrests,theft_tot_adult,theft_tot_juv,theft_tot_male,theft_tot_female,theft_tot_male_adult,theft_tot_male_juv,theft_tot_female_adult,theft_tot_female_juv,theft_male_under_10,theft_male_10_12,theft_male_13_14,theft_male_15,theft_male_16,theft_male_17,theft_male_18,theft_male_19,theft_male_20,theft_male_21,theft_male_22,theft_male_23,theft_male_24,theft_male_25_29,theft_male_30_34,theft_male_35_39,theft_male_40_44,theft_male_45_49,theft_male_50_54,theft_male_55_59,theft_male_60_64,theft_male_over_64,theft_female_under_10,theft_female_10_12,theft_female_13_14,theft_female_15,theft_female_16,theft_female_17,theft_female_18,theft_female_19,theft_female_20,theft_female_21,theft_female_22,theft_female_23,theft_female_24,theft_female_25_29,theft_female_30_34,theft_female_35_39,theft_female_40_44,theft_female_45_49,theft_female_50_54,theft_female_55_59,theft_female_60_64,theft_female_over_64,theft_adult_white,theft_adult_black,theft_adult_asian,theft_adult_indian,theft_juv_white,theft_juv_black,theft_juv_asian,theft_juv_indian,mtr_veh_theft_tot_arrests,mtr_veh_theft_tot_adult,mtr_veh_theft_tot_juv,mtr_veh_theft_tot_male,mtr_veh_theft_tot_female,mtr_veh_theft_tot_male_adult,mtr_veh_theft_tot_male_juv,mtr_veh_theft_tot_female_adult,mtr_veh_theft_tot_female_juv,mtr_veh_theft_male_under_10,mtr_veh_theft_male_10_12,mtr_veh_theft_male_13_14,mtr_veh_theft_male_15,mtr_veh_theft_male_16,mtr_veh_theft_male_17,mtr_veh_theft_male_18,mtr_veh_theft_male_19,mtr_veh_theft_male_20,mtr_veh_theft_male_21,mtr_veh_theft_male_22,mtr_veh_theft_male_23,mtr_veh_theft_male_24,mtr_veh_theft_male_25_29,mtr_veh_theft_male_30_34,mtr_veh_theft_male_35_39,mtr_veh_theft_male_40_44,mtr_veh_theft_male_45_49,mtr_veh_theft_male_50_54,mtr_veh_theft_male_55_59,mtr_veh_theft_male_60_64,mtr_veh_theft_male_over_64,mtr_veh_theft_female_under_10,mtr_veh_theft_female_10_12,mtr_veh_theft_female_13_14,mtr_veh_theft_female_15,mtr_veh_theft_female_16,mtr_veh_theft_female_17,mtr_veh_theft_female_18,mtr_veh_theft_female_19,mtr_veh_theft_female_20,mtr_veh_theft_female_21,mtr_veh_theft_female_22,mtr_veh_theft_female_23,mtr_veh_theft_female_24,mtr_veh_theft_female_25_29,mtr_veh_theft_female_30_34,mtr_veh_theft_female_35_39,mtr_veh_theft_female_40_44,mtr_veh_theft_female_45_49,mtr_veh_theft_female_50_54,mtr_veh_theft_female_55_59,mtr_veh_theft_female_60_64,mtr_veh_theft_female_over_64,mtr_veh_theft_adult_white,mtr_veh_theft_adult_black,mtr_veh_theft_adult_asian,mtr_veh_theft_adult_indian,mtr_veh_theft_juv_white,mtr_veh_theft_juv_black,mtr_veh_theft_juv_asian,mtr_veh_theft_juv_indian
Ansonia,1980,Connecticut,CT,18841,CT00002,CT0000200,09,009,09009,local police department,"cities 10,000-24,999",new england,suburban,91,69,22,73,18,54,19,15,19,0,0,2,2,9,6,3,2,4,3,5,4,0,8,10,6,3,0,3,1,1,1,0,0,0,0,2,1,0,1,0,3,2,0,0,3,0,0,0,1,3,1,0,1,62,7,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avon,1980,Connecticut,CT,11226,CT00004,CT0000400,09,003,09003,local police department,"cities 10,000-24,999",new england,suburban,228,168,60,123,105,93,28,75,28,2,3,6,6,8,5,12,9,9,4,8,8,0,19,8,7,1,0,4,3,0,1,0,0,2,8,13,7,13,6,5,4,3,3,3,13,2,7,4,6,1,3,0,2,136,29,1,2,57,3,0,0,8,3,5,8,0,3,5,0,5,0,0,2,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0
Berlin,1980,Connecticut,CT,15141,CT00007,CT0000700,09,003,09003,local police department,"cities 10,000-24,999",new england,suburban,40,26,14,35,5,23,12,3,12,0,0,2,7,2,1,4,6,2,2,0,1,1,2,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,21,5,0,0,14,0,0,0,4,2,2,4,0,2,2,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
Bethel,1980,Connecticut,CT,15730,CT00009,CT0000900,09,001,09001,local police department,"cities 10,000-24,999",new england,suburban,35,9,26,31,4,9,15,0,15,7,4,7,1,1,2,2,2,0,0,0,0,0,2,0,2,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,26,0,0,0,7,1,6,3,4,0,3,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0
Bloomfield,1980,Connecticut,CT,18595,CT00011,CT0001100,09,003,09003,local police department,"cities 10,000-24,999",new england,suburban,168,83,85,121,47,52,65,31,65,4,7,21,11,12,14,13,5,5,1,1,2,3,12,4,2,1,1,1,1,0,0,0,2,3,1,4,6,2,1,2,3,1,1,2,5,6,1,1,3,1,0,0,2,21,62,0,0,29,56,0,0,11,4,7,9,2,3,6,1,6,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0
Branford,1980,Connecticut,CT,22847,CT00014,CT0001400,09,009,09009,local police department,"cities 10,000-24,999",new england,suburban,152,117,35,125,27,95,30,22,30,0,1,4,7,7,11,7,10,6,2,9,9,2,14,9,12,2,8,1,1,0,3,0,0,0,2,1,2,1,3,1,2,1,0,3,6,2,1,2,0,0,0,0,0,117,0,0,0,35,0,0,0,2,1,1,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Bridgeport,1980,Connecticut,CT,142459,CT00015,CT0001500,09,001,09001,local police department,"cities 100,000-249,999",new england,non-suburban,937,634,303,666,271,452,194,182,194,20,51,48,31,28,36,21,33,37,22,33,27,20,109,66,22,17,22,4,6,6,7,3,17,21,11,18,19,15,17,15,13,10,12,7,43,18,11,7,2,1,2,5,4,375,257,0,2,174,129,0,0,77,42,35,71,6,37,32,5,32,2,1,8,14,4,5,7,4,2,4,4,0,2,9,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,32,10,0,0,27,8,0,0
Bristol,1980,Connecticut,CT,57177,CT00017,CT0001700,09,003,09003,local police department,"cities 50,000-99,999",new england,non-suburban,315,168,147,281,34,155,121,13,121,5,10,35,32,21,23,21,11,9,12,11,9,5,28,21,15,3,2,2,3,0,3,0,3,4,3,8,3,3,0,1,0,0,2,0,2,2,1,2,0,0,0,0,0,163,3,2,0,145,2,0,0,55,11,44,54,1,10,44,1,44,0,2,17,17,0,8,2,1,0,0,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,44,0,0,0
Brookfield,1980,Connecticut,CT,12647,CT00018,CT0001800,09,001,09001,local police department,"cities 10,000-24,999",new england,suburban,115,68,47,79,36,41,38,27,38,0,2,10,8,11,7,6,6,2,1,5,2,2,6,2,1,2,1,0,2,2,1,0,0,3,2,3,1,4,3,0,2,4,0,1,3,3,0,2,1,2,1,0,1,62,4,2,0,45,2,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Canton,1980,Connecticut,CT,7650,CT00023,CT0002300,09,003,09003,local police department,"cities 2,500-9,999",new england,suburban,19,11,8,19,0,11,8,0,8,0,0,3,1,3,1,2,0,0,1,2,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,0,0,0,4,3,1,4,0,3,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
