agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,theft_tot_arrests,theft_tot_adult,theft_tot_juv,theft_tot_male,theft_tot_female,theft_tot_male_adult,theft_tot_male_juv,theft_tot_female_adult,theft_tot_female_juv,theft_male_under_10,theft_male_10_12,theft_male_13_14,theft_male_15,theft_male_16,theft_male_17,theft_male_18,theft_male_19,theft_male_20,theft_male_21,theft_male_22,theft_male_23,theft_male_24,theft_male_25_29,theft_male_30_34,theft_male_35_39,theft_male_40_44,theft_male_45_49,theft_male_50_54,theft_male_55_59,theft_male_60_64,theft_male_over_64,theft_female_under_10,theft_female_10_12,theft_female_13_14,theft_female_15,theft_female_16,theft_female_17,theft_female_18,theft_female_19,theft_female_20,theft_female_21,theft_female_22,theft_female_23,theft_female_24,theft_female_25_29,theft_female_30_34,theft_female_35_39,theft_female_40_44,theft_female_45_49,theft_female_50_54,theft_female_55_59,theft_female_60_64,theft_female_over_64,theft_adult_white,theft_adult_black,theft_adult_asian,theft_adult_indian,theft_juv_white,theft_juv_black,theft_juv_asian,theft_juv_indian,mtr_veh_theft_tot_arrests,mtr_veh_theft_tot_adult,mtr_veh_theft_tot_juv,mtr_veh_theft_tot_male,mtr_veh_theft_tot_female,mtr_veh_theft_tot_male_adult,mtr_veh_theft_tot_male_juv,mtr_veh_theft_tot_female_adult,mtr_veh_theft_tot_female_juv,mtr_veh_theft_male_under_10,mtr_veh_theft_male_10_12,mtr_veh_theft_male_13_14,mtr_veh_theft_male_15,mtr_veh_theft_male_16,mtr_veh_theft_male_17,mtr_veh_theft_male_18,mtr_veh_theft_male_19,mtr_veh_theft_male_20,mtr_veh_theft_male_21,mtr_veh_theft_male_22,mtr_veh_theft_male_23,mtr_veh_theft_male_24,mtr_veh_theft_male_25_29,mtr_veh_theft_male_30_34,mtr_veh_theft_male_35_39,mtr_veh_theft_male_40_44,mtr_veh_theft_male_45_49,mtr_veh_theft_male_50_54,mtr_veh_theft_male_55_59,mtr_veh_theft_male_60_64,mtr_veh_theft_male_over_64,mtr_veh_theft_female_under_10,mtr_veh_theft_female_10_12,mtr_veh_theft_female_13_14,mtr_veh_theft_female_15,mtr_veh_theft_female_16,mtr_veh_theft_female_17,mtr_veh_theft_female_18,mtr_veh_theft_female_19,mtr_veh_theft_female_20,mtr_veh_theft_female_21,mtr_veh_theft_female_22,mtr_veh_theft_female_23,mtr_veh_theft_female_24,mtr_veh_theft_female_25_29,mtr_veh_theft_female_30_34,mtr_veh_theft_female_35_39,mtr_veh_theft_female_40_44,mtr_veh_theft_female_45_49,mtr_veh_theft_female_50_54,mtr_veh_theft_female_55_59,mtr_veh_theft_female_60_64,mtr_veh_theft_female_over_64,mtr_veh_theft_adult_white,mtr_veh_theft_adult_black,mtr_veh_theft_adult_asian,mtr_veh_theft_adult_indian,mtr_veh_theft_juv_white,mtr_veh_theft_juv_black,mtr_veh_theft_juv_asian,mtr_veh_theft_juv_indian
Adams,1980,Colorado,CO,75596,CO00100,CO0010000,08,001,08001,sheriffs office,"msa cnty 25,000-99,999",mountain,suburban,128,81,47,117,11,75,41,6,41,1,5,8,7,6,15,17,9,8,3,4,0,3,6,9,6,6,2,2,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,80,1,0,0,47,0,0,0,35,18,17,32,3,18,14,0,14,0,0,4,2,4,4,4,1,3,1,1,1,1,3,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,17,0,0,0
Aurora,1980,Colorado,CO,158249,CO00101,CO0010100,08,005,08005,local police department,"cities 100,000-249,999",mountain,non-suburban,884,439,445,531,353,251,255,188,255,25,44,87,44,52,28,38,25,20,19,15,9,12,39,24,15,10,7,5,4,3,6,9,23,48,33,27,25,21,12,7,12,13,9,6,30,22,19,5,8,7,8,4,5,325,108,5,1,341,91,13,0,36,15,21,33,3,13,20,2,20,0,0,5,7,3,5,3,2,1,1,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,14,7,0,0
Brighton,1980,Colorado,CO,12870,CO00102,CO0010200,08,001,08001,local police department,"cities 10,000-24,999",mountain,suburban,83,35,48,62,21,30,28,5,28,4,4,3,6,9,6,6,5,3,1,1,0,1,7,3,0,0,3,0,0,0,0,2,3,6,4,1,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,31,4,0,0,48,0,0,0,5,1,4,2,3,0,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
Commerce City,1980,Colorado,CO,16220,CO00103,CO0010300,08,001,08001,local police department,"cities 10,000-24,999",mountain,suburban,120,48,72,76,44,25,49,23,49,2,10,13,8,8,10,1,2,3,1,3,0,2,5,4,1,1,0,0,1,1,0,0,8,6,4,2,1,1,1,1,0,3,6,1,3,2,2,0,0,1,0,1,1,44,4,0,0,70,2,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Thornton,1980,Colorado,CO,39948,CO00104,CO0010400,08,001,08001,local police department,"cities 25,000-49,999",mountain,suburban,287,143,144,168,119,71,92,72,92,5,16,19,16,19,22,10,10,8,3,4,4,3,10,8,3,2,0,1,1,3,1,2,6,11,8,9,11,4,5,5,6,3,4,5,15,6,5,7,1,1,3,1,1,130,11,0,2,142,2,0,0,7,1,6,6,1,1,5,0,5,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0
Westminster,1980,Colorado,CO,32004,CO00105,CO0010500,08,001,08001,local police department,"cities 25,000-49,999",mountain,suburban,418,164,254,268,150,91,172,73,172,5,46,46,21,28,31,21,13,8,8,4,3,1,11,6,4,4,3,1,0,0,4,5,10,29,17,8,8,6,4,2,5,8,2,3,9,17,4,5,3,1,2,0,2,152,8,3,1,248,3,3,0,19,1,18,18,1,1,16,0,16,1,1,4,2,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0
Northglenn Police Dept,1980,Colorado,CO,29748,CO00106,CO0010600,08,001,08001,local police department,"cities 25,000-49,999",mountain,suburban,68,29,39,37,31,21,16,8,16,0,1,5,2,4,4,4,2,1,3,4,0,0,2,2,1,2,0,0,0,0,0,0,4,9,6,3,1,1,0,0,0,1,1,2,0,1,0,2,0,0,0,0,0,26,3,0,0,39,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Federal Heights,1980,Colorado,CO,7815,CO00108,CO0010800,08,001,08001,local police department,"cities 2,500-9,999",mountain,suburban,28,18,10,21,7,12,9,6,9,0,1,2,1,3,2,2,0,0,1,1,0,2,2,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,18,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alamosa,1980,Colorado,CO,4920,CO00200,CO0020000,08,003,08003,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,14,12,2,14,0,12,2,0,2,0,0,0,0,0,2,1,0,1,0,3,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Alamosa,1980,Colorado,CO,6841,CO00201,CO0020100,08,003,08003,local police department,"cities 2,500-9,999",mountain,non-suburban,85,61,24,67,18,48,19,13,19,0,3,2,6,5,3,11,5,7,2,2,4,3,3,1,4,2,1,0,1,0,2,0,1,1,1,0,2,2,0,0,1,2,2,0,2,0,0,1,0,2,0,1,0,60,0,0,1,24,0,0,0,8,5,3,6,2,5,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0
