agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Churchill,1980,Nevada,NV,9638,NV00100,NV0010000,32,001,32001,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Fallon,1980,Nevada,NV,4235,NV00101,NV0010100,32,001,32001,local police department,"cities 2,500-9,999",mountain,non-suburban,12,11,1,11,1,10,1,1,1,0,0,0,0,0,1,0,2,0,0,2,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,3,1,0,0,0
Las Vegas Metro Juris,1980,Nevada,NV,385396,NV00201,NV0020100,32,003,32003,local police department,"cities 250,000-499,999",mountain,non-suburban,380,358,22,335,45,315,20,43,20,0,0,5,5,5,5,18,23,24,24,22,14,20,62,41,22,17,10,6,7,5,0,0,0,0,0,1,1,1,1,5,4,4,3,1,7,10,4,0,2,0,1,0,0,222,133,2,1,18,4,0,0
North Las Vegas,1980,Nevada,NV,42757,NV00202,NV0020200,32,003,32003,local police department,"cities 25,000-49,999",mountain,suburban,119,89,30,109,10,80,29,9,29,0,2,8,8,5,6,6,6,5,3,5,2,6,19,12,6,4,0,2,2,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,2,1,0,1,0,1,0,0,0,44,44,0,1,6,23,0,1
Henderson,1980,Nevada,NV,24438,NV00203,NV0020300,32,003,32003,local police department,"cities 10,000-24,999",mountain,suburban,15,13,2,13,2,11,2,2,2,0,0,0,1,1,0,1,1,1,1,2,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,1,0,0,1,1,0,0
Boulder City,1980,Nevada,NV,9627,NV00204,NV0020400,32,003,32003,local police department,"cities 2,500-9,999",mountain,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Douglas,1980,Nevada,NV,19500,NV00300,NV0030000,32,005,32005,sheriffs office,"non-msa cnty 10,000-24,999",mountain,non-suburban,17,16,1,16,1,15,1,1,1,0,0,0,1,0,0,0,1,1,0,1,2,0,2,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,3,1,0,0,0
Elko,1980,Nevada,NV,6128,NV00400,NV0040000,32,007,32007,sheriffs office,"non-msa cnty under 10,000",mountain,non-suburban,8,8,0,8,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0
Elko,1980,Nevada,NV,8843,NV00401,NV0040100,32,007,32007,local police department,"cities 2,500-9,999",mountain,non-suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
Carlin,1980,Nevada,NV,1216,NV00402,NV0040200,32,007,32007,local police department,"cities under 2,500",mountain,non-suburban,6,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
