agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,burglary_male_under_10,burglary_male_10_12,burglary_male_13_14,burglary_male_15,burglary_male_16,burglary_male_17,burglary_male_18,burglary_male_19,burglary_male_20,burglary_male_21,burglary_male_22,burglary_male_23,burglary_male_24,burglary_male_25_29,burglary_male_30_34,burglary_male_35_39,burglary_male_40_44,burglary_male_45_49,burglary_male_50_54,burglary_male_55_59,burglary_male_60_64,burglary_male_over_64,burglary_female_under_10,burglary_female_10_12,burglary_female_13_14,burglary_female_15,burglary_female_16,burglary_female_17,burglary_female_18,burglary_female_19,burglary_female_20,burglary_female_21,burglary_female_22,burglary_female_23,burglary_female_24,burglary_female_25_29,burglary_female_30_34,burglary_female_35_39,burglary_female_40_44,burglary_female_45_49,burglary_female_50_54,burglary_female_55_59,burglary_female_60_64,burglary_female_over_64,burglary_adult_white,burglary_adult_black,burglary_adult_asian,burglary_adult_indian,burglary_juv_white,burglary_juv_black,burglary_juv_asian,burglary_juv_indian
Acadia,1980,Louisiana,LA,26458,LA00100,LA0010000,22,001,22001,sheriffs office,"non-msa cnty 25,000-99,999",west south central,non-suburban,51,40,11,46,5,36,10,4,10,0,1,3,2,0,4,7,3,5,3,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31,9,0,0,10,1,0,0
Crowley,1980,Louisiana,LA,16158,LA00101,LA0010100,22,001,22001,local police department,"cities 10,000-24,999",west south central,non-suburban,27,17,10,24,3,14,10,3,10,0,1,6,1,2,0,5,3,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,14,0,0,2,8,0,0
Rayne,1980,Louisiana,LA,9118,LA00102,LA0010200,22,001,22001,local police department,"cities 2,500-9,999",west south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen,1980,Louisiana,LA,11656,LA00200,LA0020000,22,003,22003,sheriffs office,"non-msa cnty 10,000-24,999",west south central,non-suburban,11,11,0,11,0,11,0,0,0,0,0,0,0,0,0,3,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0
Kinder,1980,Louisiana,LA,2607,LA00201,LA0020100,22,003,22003,local police department,"cities 2,500-9,999",west south central,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Oakdale,1980,Louisiana,LA,7106,LA00202,LA0020200,22,003,22003,local police department,"cities 2,500-9,999",west south central,non-suburban,8,6,2,8,0,6,2,0,2,0,0,0,0,0,2,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,0,0
Ascension,1980,Louisiana,LA,36273,LA00300,LA0030000,22,005,22005,sheriffs office,"msa cnty 25,000-99,999",west south central,suburban,32,28,4,31,1,27,4,1,4,0,0,2,1,0,1,4,2,5,7,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,14,0,0,1,3,0,0
Donaldsonville,1980,Louisiana,LA,7936,LA00301,LA0030100,22,005,22005,local police department,"cities 2,500-9,999",west south central,suburban,54,35,19,54,0,35,17,0,17,2,6,3,3,2,3,6,4,2,3,1,3,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,0,0,2,17,0,0
Gonzales,1980,Louisiana,LA,7305,LA00302,LA0030200,22,005,22005,local police department,"cities 2,500-9,999",west south central,suburban,23,17,6,23,0,17,6,0,6,0,0,0,0,6,0,1,0,2,7,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,6,0,0
Assumption,1980,Louisiana,LA,22069,LA00400,LA0040000,22,007,22007,sheriffs office,"non-msa cnty 10,000-24,999",west south central,non-suburban,46,45,1,39,7,38,1,7,1,0,0,1,0,0,0,7,2,4,6,2,1,1,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,1,0,0,0,33,12,0,0,1,0,0,0
Avoyelles,1980,Louisiana,LA,28754,LA00500,LA0050000,22,009,22009,sheriffs office,"non-msa cnty 25,000-99,999",west south central,non-suburban,70,66,4,70,0,66,4,0,4,0,0,0,0,3,1,3,11,6,3,9,4,5,2,11,1,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,30,0,0,1,3,0,0
Bunkie,1980,Louisiana,LA,5451,LA00501,LA0050100,22,009,22009,local police department,"cities 2,500-9,999",west south central,non-suburban,6,5,1,6,0,5,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0
Marksville,1980,Louisiana,LA,4914,LA00502,LA0050200,22,009,22009,local police department,"cities 2,500-9,999",west south central,non-suburban,16,5,11,16,0,5,11,0,11,0,0,1,3,7,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,8,0,0
Simmesport,1980,Louisiana,LA,2323,LA00503,LA0050300,22,009,22009,local police department,"cities under 2,500",west south central,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Beauregard,1980,Louisiana,LA,18576,LA00600,LA0060000,22,011,22011,sheriffs office,"non-msa cnty 10,000-24,999",west south central,non-suburban,28,19,9,26,2,18,8,1,8,0,0,0,2,1,5,4,2,2,0,0,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,4,5,0,0
De Ridder,1980,Louisiana,LA,11071,LA00601,LA0060100,22,011,22011,local police department,"cities 10,000-24,999",west south central,non-suburban,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Bienville,1980,Louisiana,LA,12778,LA00700,LA0070000,22,013,22013,sheriffs office,"non-msa cnty 10,000-24,999",west south central,non-suburban,13,11,2,13,0,11,2,0,2,0,0,0,0,0,2,2,0,2,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,1,1,0,0
Bossier,1980,Louisiana,LA,29398,LA00800,LA0080000,22,015,22015,sheriffs office,"msa cnty 25,000-99,999",west south central,suburban,66,32,34,65,1,31,34,1,34,0,2,4,8,12,8,2,4,4,1,5,2,1,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,0,0,14,20,0,0
Bossier City,1980,Louisiana,LA,50860,LA00801,LA0080100,22,015,22015,local police department,"cities 50,000-99,999",west south central,suburban,179,86,93,172,7,84,85,2,85,3,11,22,19,17,16,11,17,11,8,11,3,5,8,4,4,1,1,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58,28,0,0,76,17,0,0
Caddo,1980,Louisiana,LA,54068,LA00900,LA0090000,22,017,22017,sheriffs office,"msa cnty 25,000-99,999",west south central,suburban,21,14,7,21,0,14,7,0,7,0,0,0,1,6,0,5,0,0,2,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,7,0,0,0
Shreveport,1980,Louisiana,LA,194773,LA00901,LA0090100,22,017,22017,local police department,"cities 100,000-249,999",west south central,non-suburban,461,263,198,453,8,259,186,4,186,8,27,43,33,45,38,44,33,37,21,12,13,19,45,24,3,5,2,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,65,198,0,0,69,129,0,0
Vivian,1980,Louisiana,LA,4106,LA00902,LA0090200,22,017,22017,local police department,"cities 2,500-9,999",west south central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calcasieu,1980,Louisiana,LA,59272,LA01000,LA0100000,22,019,22019,sheriffs office,"msa cnty 25,000-99,999",west south central,suburban,64,54,10,62,2,52,10,2,10,0,0,1,1,1,7,14,6,5,4,3,2,2,8,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,43,11,0,0,4,6,0,0
Dequincy,1980,Louisiana,LA,3924,LA01001,LA0100100,22,019,22019,local police department,"cities 2,500-9,999",west south central,suburban,7,6,1,7,0,6,1,0,1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0
Lake Charles,1980,Louisiana,LA,75621,LA01002,LA0100200,22,019,22019,local police department,"cities 50,000-99,999",west south central,non-suburban,148,80,68,143,5,77,63,3,63,3,4,19,9,13,18,12,10,9,12,4,3,6,7,9,1,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,30,50,0,0,17,51,0,0
Sulphur,1980,Louisiana,LA,19715,LA01003,LA0100300,22,019,22019,local police department,"cities 10,000-24,999",west south central,suburban,17,14,3,16,1,13,3,1,3,0,0,0,0,3,0,9,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0
Vinton,1980,Louisiana,LA,3535,LA01004,LA0100400,22,019,22019,local police department,"cities 2,500-9,999",west south central,suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Westlake,1980,Louisiana,LA,5267,LA01005,LA0100500,22,019,22019,local police department,"cities 2,500-9,999",west south central,suburban,2,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Caldwell,1980,Louisiana,LA,10728,LA01100,LA0110000,22,021,22021,sheriffs office,"non-msa cnty 10,000-24,999",west south central,non-suburban,6,6,0,5,1,5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0
Cameron,1980,Louisiana,LA,9254,LA01200,LA0120000,22,023,22023,sheriffs office,"non-msa cnty under 10,000",west south central,non-suburban,8,7,1,8,0,7,1,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0
Catahoula,1980,Louisiana,LA,9413,LA01300,LA0130000,22,025,22025,sheriffs office,"non-msa cnty under 10,000",west south central,non-suburban,54,34,20,53,1,33,20,1,20,0,6,2,3,6,3,4,4,5,2,2,3,2,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,21,0,0,8,12,0,0
Jonesville,1980,Louisiana,LA,2819,LA01301,LA0130100,22,025,22025,local police department,"cities 2,500-9,999",west south central,non-suburban,3,0,3,3,0,0,3,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Claiborne,1980,Louisiana,LA,9340,LA01400,LA0140000,22,027,22027,sheriffs office,"non-msa cnty under 10,000",west south central,non-suburban,23,17,6,22,1,16,6,1,6,0,0,1,1,0,4,1,3,2,1,0,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,4,2,0,0
Haynesville,1980,Louisiana,LA,3473,LA01401,LA0140100,22,027,22027,local police department,"cities 2,500-9,999",west south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homer,1980,Louisiana,LA,4320,LA01402,LA0140200,22,027,22027,local police department,"cities 2,500-9,999",west south central,non-suburban,2,1,1,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Concordia,1980,Louisiana,LA,12535,LA01500,LA0150000,22,029,22029,sheriffs office,"non-msa cnty 10,000-24,999",west south central,non-suburban,13,5,8,13,0,5,8,0,8,0,0,1,2,2,3,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,5,3,0,0
Ferriday,1980,Louisiana,LA,4406,LA01501,LA0150100,22,029,22029,local police department,"cities 2,500-9,999",west south central,non-suburban,6,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0
Vidalia,1980,Louisiana,LA,5940,LA01502,LA0150200,22,029,22029,local police department,"cities 2,500-9,999",west south central,non-suburban,20,5,15,20,0,5,15,0,15,0,0,3,2,6,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,12,3,0,0
De Soto,1980,Louisiana,LA,19210,LA01600,LA0160000,22,031,22031,sheriffs office,"non-msa cnty 10,000-24,999",west south central,non-suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mansfield,1980,Louisiana,LA,6479,LA01601,LA0160100,22,031,22031,local police department,"cities 2,500-9,999",west south central,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
