agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Guam,2012,Guam,NA,0,GMTGM00,GMTGM0000,66,010,66010,NA,possessions,possessions,non-suburban,63,59,4,53,10,49,4,10,4,0,0,1,0,1,2,1,4,0,1,3,3,1,6,8,10,4,4,3,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,2,1,1,0,1,0,0,0,0,1,1,57,0,0,0,4,0
Guam,2013,Guam,NA,0,GMTGM00,GMTGM0000,66,010,66010,NA,possessions,possessions,non-suburban,224,194,30,191,33,164,27,30,27,0,2,2,1,3,19,5,4,9,7,10,4,7,38,24,22,7,14,8,2,2,1,0,0,0,0,1,2,1,0,1,3,3,1,3,2,4,4,3,2,3,0,0,0,8,3,183,0,0,0,30,0
Guam,2014,Guam,NA,0,GMTGM00,GMTGM0000,66,010,66010,NA,possessions,possessions,non-suburban,187,159,28,159,28,136,23,23,23,0,4,4,5,0,10,8,7,4,3,4,4,2,29,26,17,11,8,8,3,2,0,0,1,2,1,0,1,0,0,0,2,2,1,1,7,2,3,2,2,1,0,0,0,4,1,153,1,0,0,28,0
Guam,2015,Guam,NA,0,GMTGM00,GMTGM0000,66,010,66010,NA,possessions,possessions,non-suburban,225,189,36,200,25,167,33,22,33,0,6,8,3,0,16,1,9,7,9,6,6,6,43,30,17,15,11,4,2,0,1,0,0,0,1,0,2,0,1,0,1,0,0,0,5,4,5,4,1,1,0,0,0,5,2,182,0,0,0,36,0
