agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,burglary_male_under_10,burglary_male_10_12,burglary_male_13_14,burglary_male_15,burglary_male_16,burglary_male_17,burglary_male_18,burglary_male_19,burglary_male_20,burglary_male_21,burglary_male_22,burglary_male_23,burglary_male_24,burglary_male_25_29,burglary_male_30_34,burglary_male_35_39,burglary_male_40_44,burglary_male_45_49,burglary_male_50_54,burglary_male_55_59,burglary_male_60_64,burglary_male_over_64,burglary_female_under_10,burglary_female_10_12,burglary_female_13_14,burglary_female_15,burglary_female_16,burglary_female_17,burglary_female_18,burglary_female_19,burglary_female_20,burglary_female_21,burglary_female_22,burglary_female_23,burglary_female_24,burglary_female_25_29,burglary_female_30_34,burglary_female_35_39,burglary_female_40_44,burglary_female_45_49,burglary_female_50_54,burglary_female_55_59,burglary_female_60_64,burglary_female_over_64,burglary_adult_white,burglary_adult_black,burglary_adult_asian,burglary_adult_indian,burglary_juv_white,burglary_juv_black,burglary_juv_asian,burglary_juv_indian
Abbeville,1980,South Carolina,SC,13553,SC00100,SC0010000,45,001,45001,sheriffs office,"non-msa cnty 10,000-24,999",south atlantic,non-suburban,15,12,3,14,1,11,3,1,3,0,0,0,0,0,3,2,0,1,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,4,0,0,1,2,0,0
Abbeville,1980,South Carolina,SC,5887,SC00101,SC0010100,45,001,45001,local police department,"cities 2,500-9,999",south atlantic,non-suburban,12,6,6,12,0,6,6,0,6,0,0,0,4,2,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0
Calhoun Falls,1980,South Carolina,SC,2473,SC00102,SC0010200,45,001,45001,local police department,"cities under 2,500",south atlantic,non-suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
Aiken,1980,South Carolina,SC,73100,SC00200,SC0020000,45,003,45003,sheriffs office,"msa cnty 25,000-99,999",south atlantic,suburban,74,46,28,67,7,42,24,4,24,1,0,2,2,6,14,8,10,3,3,4,3,1,6,2,1,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,33,13,0,0,21,7,0,0
Aiken,1980,South Carolina,SC,14777,SC00201,SC0020100,45,003,45003,local police department,"cities 10,000-24,999",south atlantic,suburban,32,17,15,29,3,16,12,1,12,1,0,3,4,1,4,6,1,2,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,12,0,0,4,11,0,0
North Augusta,1980,South Carolina,SC,13451,SC00203,SC0020300,45,003,45003,local police department,"cities 10,000-24,999",south atlantic,suburban,11,5,6,11,0,5,6,0,6,0,1,3,0,0,2,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,3,0,0
New Ellenton,1980,South Carolina,SC,2578,SC00206,SC0020600,45,003,45003,local police department,"cities 2,500-9,999",south atlantic,suburban,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Allendale,1980,South Carolina,SC,4227,SC00300,SC0030000,45,005,45005,sheriffs office,"non-msa cnty under 10,000",south atlantic,non-suburban,11,11,0,11,0,11,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0
Allendale,1980,South Carolina,SC,4362,SC00301,SC0030100,45,005,45005,local police department,"cities 2,500-9,999",south atlantic,non-suburban,12,10,2,12,0,10,2,0,2,0,1,1,0,0,0,2,1,0,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,2,0,0
Fairfax,1980,South Carolina,SC,2031,SC00302,SC0030200,45,005,45005,local police department,"cities under 2,500",south atlantic,non-suburban,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Anderson,1980,South Carolina,SC,84713,SC00400,SC0040000,45,007,45007,sheriffs office,"non-msa cnty 25,000-99,999",south atlantic,non-suburban,186,139,47,174,12,129,45,10,45,0,2,9,7,14,13,22,16,15,10,10,10,10,17,9,5,2,1,1,1,0,0,0,0,1,0,0,1,1,0,2,1,0,2,2,1,1,0,0,0,0,0,0,0,108,31,0,0,40,7,0,0
Anderson,1980,South Carolina,SC,27819,SC00401,SC0040100,45,007,45007,local police department,"cities 25,000-49,999",south atlantic,non-suburban,70,47,23,69,1,46,23,1,23,0,2,6,5,3,7,6,6,5,5,5,3,4,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,23,0,0,6,17,0,0
Belton,1980,South Carolina,SC,5283,SC00402,SC0040200,45,007,45007,local police department,"cities 2,500-9,999",south atlantic,non-suburban,8,5,3,8,0,5,3,0,3,0,0,1,0,2,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,2,0,0
Honea Path,1980,South Carolina,SC,4051,SC00403,SC0040300,45,007,45007,local police department,"cities 2,500-9,999",south atlantic,non-suburban,10,4,6,10,0,4,6,0,6,0,0,1,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,2,0,0
Williamston,1980,South Carolina,SC,4299,SC00405,SC0040500,45,007,45007,local police department,"cities 2,500-9,999",south atlantic,non-suburban,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Iva,1980,South Carolina,SC,1347,SC00406,SC0040600,45,007,45007,local police department,"cities under 2,500",south atlantic,non-suburban,3,2,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Anderson State Police,1980,South Carolina,SC,0,SC004SP,SC004SP00,45,007,45007,state law enforcement agency,"non-msa cnty under 10,000",south atlantic,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bamberg,1980,South Carolina,SC,10053,SC00500,SC0050000,45,009,45009,sheriffs office,"non-msa cnty 10,000-24,999",south atlantic,non-suburban,20,17,3,19,1,16,3,1,3,0,0,0,0,2,1,1,3,3,1,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,8,0,0,1,2,0,0
Bamberg,1980,South Carolina,SC,3633,SC00501,SC0050100,45,009,45009,local police department,"cities 2,500-9,999",south atlantic,non-suburban,19,15,4,19,0,15,4,0,4,0,0,0,1,1,2,1,3,1,2,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,4,0,0
Denmark,1980,South Carolina,SC,4138,SC00502,SC0050200,45,009,45009,local police department,"cities 2,500-9,999",south atlantic,non-suburban,6,6,0,5,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
Barnwell,1980,South Carolina,SC,8237,SC00600,SC0060000,45,011,45011,sheriffs office,"non-msa cnty under 10,000",south atlantic,non-suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
Barnwell,1980,South Carolina,SC,5556,SC00601,SC0060100,45,011,45011,local police department,"cities 2,500-9,999",south atlantic,non-suburban,8,4,4,8,0,4,4,0,4,0,0,1,0,3,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,0,0
Williston,1980,South Carolina,SC,3115,SC00602,SC0060200,45,011,45011,local police department,"cities 2,500-9,999",south atlantic,non-suburban,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
Blackville,1980,South Carolina,SC,2869,SC00603,SC0060300,45,011,45011,local police department,"cities 2,500-9,999",south atlantic,non-suburban,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Beaufort,1980,South Carolina,SC,52119,SC00700,SC0070000,45,013,45013,sheriffs office,"non-msa cnty 25,000-99,999",south atlantic,non-suburban,104,55,49,96,8,54,41,1,41,1,4,9,9,14,5,6,4,7,6,3,3,6,5,8,4,2,0,0,0,0,0,0,0,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,23,0,0,30,19,0,0
Beaufort,1980,South Carolina,SC,8651,SC00701,SC0070100,45,013,45013,local police department,"cities 2,500-9,999",south atlantic,non-suburban,26,15,11,25,1,15,9,0,9,1,2,2,0,2,3,2,0,1,4,1,1,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,5,6,0,0
Port Royal,1980,South Carolina,SC,2850,SC00703,SC0070300,45,013,45013,local police department,"cities 2,500-9,999",south atlantic,non-suburban,7,2,5,6,1,2,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0
Berkeley,1980,South Carolina,SC,58073,SC00800,SC0080000,45,015,45015,sheriffs office,"msa cnty 25,000-99,999",south atlantic,suburban,52,33,19,48,4,31,17,2,17,0,4,1,1,3,8,11,3,4,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,7,0,0,16,3,0,0
Moncks Corner,1980,South Carolina,SC,3638,SC00801,SC0080100,45,015,45015,local police department,"cities 2,500-9,999",south atlantic,suburban,7,5,2,7,0,5,2,0,2,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,0
Goose Creek,1980,South Carolina,SC,9048,SC00803,SC0080300,45,015,45015,local police department,"cities 2,500-9,999",south atlantic,suburban,37,29,8,37,0,29,8,0,8,0,0,1,2,0,5,12,7,2,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2,0,7,0,1,0
St Stephens,1980,South Carolina,SC,1330,SC00805,SC0080500,45,015,45015,local police department,"cities under 2,500",south atlantic,suburban,4,1,3,3,1,0,3,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0
Hanahan,1980,South Carolina,SC,13049,SC00806,SC0080600,45,015,45015,local police department,"cities 10,000-24,999",south atlantic,suburban,26,17,9,26,0,17,8,0,8,1,0,0,2,2,4,2,0,0,2,5,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,7,2,0,0
Calhoun,1980,South Carolina,SC,9579,SC00900,SC0090000,45,017,45017,sheriffs office,"non-msa cnty under 10,000",south atlantic,non-suburban,7,7,0,7,0,7,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0
St Matthews,1980,South Carolina,SC,2450,SC00902,SC0090200,45,017,45017,local police department,"cities under 2,500",south atlantic,non-suburban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charleston City,1980,South Carolina,SC,69296,SC01001,SC0100100,45,019,45019,local police department,"cities 50,000-99,999",south atlantic,non-suburban,190,142,48,183,7,137,46,5,46,0,0,8,12,10,16,20,21,19,12,11,12,7,22,6,5,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,38,104,0,0,17,31,0,0
Charleston Police Depart,1980,South Carolina,SC,123233,SC01002,SC0100200,45,019,45019,local police department,"msa cnty 100,000 or over",south atlantic,suburban,286,172,114,262,24,163,99,9,99,0,9,23,16,23,28,19,20,26,15,9,11,8,30,14,3,5,2,0,1,0,0,0,4,4,0,3,4,1,0,5,0,0,1,1,0,0,1,0,0,0,0,0,0,123,49,0,0,86,27,1,0
Mount Pleasant,1980,South Carolina,SC,13715,SC01003,SC0100300,45,019,45019,local police department,"cities 10,000-24,999",south atlantic,suburban,15,7,8,13,2,6,7,1,7,0,0,1,0,3,3,0,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,5,3,0,0
