agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,murder_tot_arrests,murder_tot_adult,murder_tot_juv,murder_tot_male,murder_tot_female,murder_tot_male_adult,murder_tot_male_juv,murder_tot_female_adult,murder_tot_female_juv,rape_tot_arrests,rape_tot_adult,rape_tot_juv,rape_tot_male,rape_tot_female,rape_tot_male_adult,rape_tot_male_juv,rape_tot_female_adult,rape_tot_female_juv,robbery_tot_arrests,robbery_tot_adult,robbery_tot_juv,robbery_tot_male,robbery_tot_female,robbery_tot_male_adult,robbery_tot_male_juv,robbery_tot_female_adult,robbery_tot_female_juv,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,theft_tot_arrests,theft_tot_adult,theft_tot_juv,theft_tot_male,theft_tot_female,theft_tot_male_adult,theft_tot_male_juv,theft_tot_female_adult,theft_tot_female_juv,mtr_veh_theft_tot_arrests,mtr_veh_theft_tot_adult,mtr_veh_theft_tot_juv,mtr_veh_theft_tot_male,mtr_veh_theft_tot_female,mtr_veh_theft_tot_male_adult,mtr_veh_theft_tot_male_juv,mtr_veh_theft_tot_female_adult,mtr_veh_theft_tot_female_juv,arson_tot_arrests,arson_tot_adult,arson_tot_juv,arson_tot_male,arson_tot_female,arson_tot_male_adult,arson_tot_male_juv,arson_tot_female_adult,arson_tot_female_juv,oth_assault_tot_arrests,oth_assault_tot_adult,oth_assault_tot_juv,oth_assault_tot_male,oth_assault_tot_female,oth_assault_tot_male_adult,oth_assault_tot_male_juv,oth_assault_tot_female_adult,oth_assault_tot_female_juv,weapons_tot_arrests,weapons_tot_adult,weapons_tot_juv,weapons_tot_male,weapons_tot_female,weapons_tot_male_adult,weapons_tot_male_juv,weapons_tot_female_adult,weapons_tot_female_juv,prostitution_tot_arrests,prostitution_tot_adult,prostitution_tot_juv,prostitution_tot_male,prostitution_tot_female,prostitution_tot_male_adult,prostitution_tot_male_juv,prostitution_tot_female_adult,prostitution_tot_female_juv,oth_sex_off_tot_arrests,oth_sex_off_tot_adult,oth_sex_off_tot_juv,oth_sex_off_tot_male,oth_sex_off_tot_female,oth_sex_off_tot_male_adult,oth_sex_off_tot_male_juv,oth_sex_off_tot_female_adult,oth_sex_off_tot_female_juv,manslaught_neg_tot_arrests,manslaught_neg_tot_adult,manslaught_neg_tot_juv,manslaught_neg_tot_male,manslaught_neg_tot_female,manslaught_neg_tot_male_adult,manslaught_neg_tot_male_juv,manslaught_neg_tot_female_adult,manslaught_neg_tot_female_juv,forgery_tot_arrests,forgery_tot_adult,forgery_tot_juv,forgery_tot_male,forgery_tot_female,forgery_tot_male_adult,forgery_tot_male_juv,forgery_tot_female_adult,forgery_tot_female_juv,fraud_tot_arrests,fraud_tot_adult,fraud_tot_juv,fraud_tot_male,fraud_tot_female,fraud_tot_male_adult,fraud_tot_male_juv,fraud_tot_female_adult,fraud_tot_female_juv,embezzlement_tot_arrests,embezzlement_tot_adult,embezzlement_tot_juv,embezzlement_tot_male,embezzlement_tot_female,embezzlement_tot_male_adult,embezzlement_tot_male_juv,embezzlement_tot_female_adult,embezzlement_tot_female_juv,total_gambling_tot_arrests,total_gambling_tot_adult,total_gambling_tot_juv,total_gambling_tot_male,total_gambling_tot_female,total_gambling_tot_male_adult,total_gambling_tot_male_juv,total_gambling_tot_female_adult,total_gambling_tot_female_juv,oth_gambling_tot_arrests,oth_gambling_tot_adult,oth_gambling_tot_juv,oth_gambling_tot_male,oth_gambling_tot_female,oth_gambling_tot_male_adult,oth_gambling_tot_male_juv,oth_gambling_tot_female_adult,oth_gambling_tot_female_juv,bookmaking_tot_arrests,bookmaking_tot_adult,bookmaking_tot_juv,bookmaking_tot_male,bookmaking_tot_female,bookmaking_tot_male_adult,bookmaking_tot_male_juv,bookmaking_tot_female_adult,bookmaking_tot_female_juv,number_lottery_tot_arrests,number_lottery_tot_adult,number_lottery_tot_juv,number_lottery_tot_male,number_lottery_tot_female,number_lottery_tot_male_adult,number_lottery_tot_male_juv,number_lottery_tot_female_adult,number_lottery_tot_female_juv,dui_tot_arrests,dui_tot_adult,dui_tot_juv,dui_tot_male,dui_tot_female,dui_tot_male_adult,dui_tot_male_juv,dui_tot_female_adult,dui_tot_female_juv,total_drug_tot_arrests,total_drug_tot_adult,total_drug_tot_juv,total_drug_tot_male,total_drug_tot_female,total_drug_tot_male_adult,total_drug_tot_male_juv,total_drug_tot_female_adult,total_drug_tot_female_juv,poss_drug_tot_arrests,poss_drug_tot_adult,poss_drug_tot_juv,poss_drug_tot_male,poss_drug_tot_female,poss_drug_tot_male_adult,poss_drug_tot_male_juv,poss_drug_tot_female_adult,poss_drug_tot_female_juv,sale_drug_tot_arrests,sale_drug_tot_adult,sale_drug_tot_juv,sale_drug_tot_male,sale_drug_tot_female,sale_drug_tot_male_adult,sale_drug_tot_male_juv,sale_drug_tot_female_adult,sale_drug_tot_female_juv,poss_cannabis_tot_arrests,poss_cannabis_tot_adult,poss_cannabis_tot_juv,poss_cannabis_tot_male,poss_cannabis_tot_female,poss_cannabis_tot_male_adult,poss_cannabis_tot_male_juv,poss_cannabis_tot_female_adult,poss_cannabis_tot_female_juv,sale_cannabis_tot_arrests,sale_cannabis_tot_adult,sale_cannabis_tot_juv,sale_cannabis_tot_male,sale_cannabis_tot_female,sale_cannabis_tot_male_adult,sale_cannabis_tot_male_juv,sale_cannabis_tot_female_adult,sale_cannabis_tot_female_juv,poss_coke_tot_arrests,poss_coke_tot_adult,poss_coke_tot_juv,poss_coke_tot_male,poss_coke_tot_female,poss_coke_tot_male_adult,poss_coke_tot_male_juv,poss_coke_tot_female_adult,poss_coke_tot_female_juv,sale_coke_tot_arrests,sale_coke_tot_adult,sale_coke_tot_juv,sale_coke_tot_male,sale_coke_tot_female,sale_coke_tot_male_adult,sale_coke_tot_male_juv,sale_coke_tot_female_adult,sale_coke_tot_female_juv,poss_narcotic_tot_arrests,poss_narcotic_tot_adult,poss_narcotic_tot_juv,poss_narcotic_tot_male,poss_narcotic_tot_female,poss_narcotic_tot_male_adult,poss_narcotic_tot_male_juv,poss_narcotic_tot_female_adult,poss_narcotic_tot_female_juv,sale_narcotic_tot_arrests,sale_narcotic_tot_adult,sale_narcotic_tot_juv,sale_narcotic_tot_male,sale_narcotic_tot_female,sale_narcotic_tot_male_adult,sale_narcotic_tot_male_juv,sale_narcotic_tot_female_adult,sale_narcotic_tot_female_juv,poss_oth_drug_tot_arrests,poss_oth_drug_tot_adult,poss_oth_drug_tot_juv,poss_oth_drug_tot_male,poss_oth_drug_tot_female,poss_oth_drug_tot_male_adult,poss_oth_drug_tot_male_juv,poss_oth_drug_tot_female_adult,poss_oth_drug_tot_female_juv,sale_oth_drug_tot_arrests,sale_oth_drug_tot_adult,sale_oth_drug_tot_juv,sale_oth_drug_tot_male,sale_oth_drug_tot_female,sale_oth_drug_tot_male_adult,sale_oth_drug_tot_male_juv,sale_oth_drug_tot_female_adult,sale_oth_drug_tot_female_juv,liquor_tot_arrests,liquor_tot_adult,liquor_tot_juv,liquor_tot_male,liquor_tot_female,liquor_tot_male_adult,liquor_tot_male_juv,liquor_tot_female_adult,liquor_tot_female_juv,drunkenness_tot_arrests,drunkenness_tot_adult,drunkenness_tot_juv,drunkenness_tot_male,drunkenness_tot_female,drunkenness_tot_male_adult,drunkenness_tot_male_juv,drunkenness_tot_female_adult,drunkenness_tot_female_juv,family_offenses_tot_arrests,family_offenses_tot_adult,family_offenses_tot_juv,family_offenses_tot_male,family_offenses_tot_female,family_offenses_tot_male_adult,family_offenses_tot_male_juv,family_offenses_tot_female_adult,family_offenses_tot_female_juv,disorder_cond_tot_arrests,disorder_cond_tot_adult,disorder_cond_tot_juv,disorder_cond_tot_male,disorder_cond_tot_female,disorder_cond_tot_male_adult,disorder_cond_tot_male_juv,disorder_cond_tot_female_adult,disorder_cond_tot_female_juv,vandalism_tot_arrests,vandalism_tot_adult,vandalism_tot_juv,vandalism_tot_male,vandalism_tot_female,vandalism_tot_male_adult,vandalism_tot_male_juv,vandalism_tot_female_adult,vandalism_tot_female_juv,stolen_property_tot_arrests,stolen_property_tot_adult,stolen_property_tot_juv,stolen_property_tot_male,stolen_property_tot_female,stolen_property_tot_male_adult,stolen_property_tot_male_juv,stolen_property_tot_female_adult,stolen_property_tot_female_juv,suspicion_tot_arrests,suspicion_tot_adult,suspicion_tot_juv,suspicion_tot_male,suspicion_tot_female,suspicion_tot_male_adult,suspicion_tot_male_juv,suspicion_tot_female_adult,suspicion_tot_female_juv,vagrancy_tot_arrests,vagrancy_tot_adult,vagrancy_tot_juv,vagrancy_tot_male,vagrancy_tot_female,vagrancy_tot_male_adult,vagrancy_tot_male_juv,vagrancy_tot_female_adult,vagrancy_tot_female_juv,curfew_tot_arrests,curfew_tot_adult,curfew_tot_juv,curfew_tot_male,curfew_tot_female,curfew_tot_male_adult,curfew_tot_male_juv,curfew_tot_female_adult,curfew_tot_female_juv,runaway_tot_arrests,runaway_tot_adult,runaway_tot_juv,runaway_tot_male,runaway_tot_female,runaway_tot_male_adult,runaway_tot_male_juv,runaway_tot_female_adult,runaway_tot_female_juv,oth_non_traffic_tot_arrests,oth_non_traffic_tot_adult,oth_non_traffic_tot_juv,oth_non_traffic_tot_male,oth_non_traffic_tot_female,oth_non_traffic_tot_male_adult,oth_non_traffic_tot_male_juv,oth_non_traffic_tot_female_adult,oth_non_traffic_tot_female_juv
Churchill,1980,Nevada,NV,9638,NV00100,NV0010000,32,001,32001,2,2,0,2,0,2,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,1,0,1,0,0,0,14,11,3,12,2,9,3,2,3,16,13,3,16,0,13,3,0,3,0,0,0,0,0,0,0,0,0,8,7,1,7,1,6,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,2,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,114,4,112,6,108,4,6,4,9,5,4,8,1,5,3,0,3,1,0,1,1,0,0,1,0,1,8,5,3,7,1,5,2,0,2,1,0,1,1,0,0,1,0,1,8,5,3,7,1,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,17,18,4,5,13,0,13,41,30,11,34,7,26,8,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,4,10,2,7,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,5,0,5,3,2,0,3,0,3,22,13,9,20,2,11,9,2,9
Fallon,1980,Nevada,NV,4235,NV00101,NV0010100,32,001,32001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,12,11,1,11,1,10,1,1,1,12,7,5,11,1,6,4,1,4,44,25,19,22,22,14,8,11,8,9,6,3,5,4,4,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,13,6,13,0,6,0,1,1,0,0,1,0,0,1,0,5,5,0,4,1,4,0,1,0,5,5,0,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,137,4,126,15,122,4,15,4,11,8,3,11,0,8,3,0,3,7,6,1,7,0,6,1,0,1,4,2,2,4,0,2,2,0,2,7,6,1,7,0,6,1,0,1,4,2,2,4,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,225,37,226,36,196,30,29,30,186,186,0,169,17,169,0,17,0,4,4,0,4,0,4,0,0,0,98,89,9,89,9,81,8,8,8,15,6,9,15,0,6,9,0,9,9,3,6,6,3,2,4,1,4,0,0,0,0,0,0,0,0,0,132,131,1,122,10,121,1,10,1,14,0,14,9,5,0,9,0,9,18,0,18,8,10,0,8,0,8,132,126,6,104,28,101,3,25,3
Las Vegas Metro Juris,1980,Nevada,NV,385396,NV00201,NV0020100,32,003,32003,52,51,1,42,10,41,1,10,1,123,118,5,123,0,118,5,0,5,718,615,103,616,102,523,93,92,93,380,358,22,335,45,315,20,43,20,1223,758,465,1076,147,649,423,109,423,3408,2421,987,2035,1373,1374,637,1047,637,344,230,114,307,37,207,100,23,100,15,12,3,15,0,12,3,0,3,1757,1531,226,1468,289,1281,187,250,187,557,491,66,494,63,434,60,57,60,3826,3803,23,612,3214,609,3,3194,3,182,171,11,166,16,155,11,16,11,7,7,0,6,1,6,0,1,0,280,265,15,214,66,200,14,65,14,608,576,32,473,135,448,25,128,25,150,131,19,99,51,90,9,41,9,58,55,3,54,4,51,3,4,3,58,55,3,54,4,51,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,1058,15,901,172,890,11,168,11,2680,2264,416,2192,488,1870,322,394,322,657,540,117,544,113,444,100,96,100,212,202,10,182,30,174,8,28,8,657,540,117,544,113,444,100,96,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,202,10,182,30,174,8,28,8,489,238,251,404,85,216,187,22,187,344,0,344,153,191,0,58,0,58,14,14,0,9,5,9,0,5,0,866,822,44,661,205,623,38,199,38,231,147,84,199,32,122,76,25,76,605,508,97,518,87,435,83,73,83,0,0,0,0,0,0,0,0,0,1472,1355,117,1169,303,1061,107,294,107,322,0,322,223,99,0,222,0,222,567,0,567,248,319,0,242,0,242,7418,7224,194,5657,1761,5514,141,1710,141
North Las Vegas,1980,Nevada,NV,42757,NV00202,NV0020200,32,003,32003,20,12,8,18,2,10,8,2,8,14,12,2,14,0,12,2,0,2,43,31,12,41,2,29,12,2,12,119,89,30,109,10,80,29,9,29,202,102,100,184,18,92,88,10,88,328,140,188,260,68,110,142,30,142,32,18,14,28,4,15,13,3,13,7,5,2,7,0,5,2,0,2,68,32,36,56,12,28,28,4,28,108,95,13,96,12,83,12,12,12,0,0,0,0,0,0,0,0,0,23,16,7,22,1,15,7,1,7,2,1,1,1,1,1,0,0,0,6,6,0,5,1,5,0,1,0,35,30,5,25,10,20,5,10,5,14,14,0,10,4,10,0,4,0,5,3,2,5,0,3,2,0,2,5,3,2,5,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,333,8,293,48,287,6,46,6,203,158,45,167,36,134,33,24,33,202,157,45,166,36,133,33,24,33,1,1,0,1,0,1,0,0,0,119,90,29,103,16,83,20,7,20,1,1,0,1,0,1,0,0,0,10,9,1,6,4,6,0,3,0,0,0,0,0,0,0,0,0,0,20,15,5,17,3,12,5,3,5,0,0,0,0,0,0,0,0,0,53,43,10,40,13,32,8,11,8,0,0,0,0,0,0,0,0,0,47,31,16,38,9,24,14,7,14,2,2,0,2,0,2,0,0,0,2,2,0,0,2,0,0,2,0,134,119,15,104,30,94,10,25,10,58,20,38,50,8,18,26,2,26,37,21,16,36,1,21,14,0,14,0,0,0,0,0,0,0,0,0,36,36,0,33,3,33,0,3,0,134,0,134,87,47,0,87,0,87,58,0,58,16,42,0,16,0,16,678,614,64,592,86,540,50,74,50
Henderson,1980,Nevada,NV,24438,NV00203,NV0020300,32,003,32003,2,2,0,2,0,2,0,0,0,8,8,0,8,0,8,0,0,0,5,3,2,5,0,3,2,0,2,15,13,2,13,2,11,2,2,2,69,34,35,64,5,32,32,2,32,169,88,81,135,34,72,60,16,60,0,0,0,0,0,0,0,0,0,3,2,1,1,2,1,0,1,0,122,90,32,105,17,81,22,9,22,30,28,2,28,2,26,2,2,2,0,0,0,0,0,0,0,0,0,8,6,2,8,0,6,2,0,2,0,0,0,0,0,0,0,0,0,7,7,0,7,0,7,0,0,0,20,19,1,18,2,17,1,2,1,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,320,7,278,49,272,6,48,6,77,51,26,62,15,44,18,7,18,69,47,22,55,14,41,14,6,14,8,4,4,7,1,3,4,1,4,58,36,22,46,12,32,14,4,14,5,4,1,4,1,3,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,6,1,6,0,1,0,3,0,3,3,0,0,3,0,3,47,22,25,42,5,20,22,2,22,134,134,0,103,31,103,0,31,0,1,1,0,1,0,1,0,0,0,46,40,6,36,10,33,3,7,3,34,7,27,28,6,7,20,0,20,35,23,12,32,3,23,9,0,9,9,9,0,0,9,0,0,9,0,10,8,2,8,2,6,2,2,2,80,0,80,58,22,0,58,0,58,0,0,0,0,0,0,0,0,0,140,126,14,127,13,115,12,11,12
Boulder City,1980,Nevada,NV,9627,NV00204,NV0020400,32,003,32003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,1,1,0,1,0,1,0,0,0,27,15,12,26,1,14,12,1,12,14,7,7,14,0,7,7,0,7,9,5,4,7,2,3,4,2,4,0,0,0,0,0,0,0,0,0,7,3,4,7,0,3,4,0,4,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,15,2,15,0,2,0,16,8,8,14,2,8,6,0,6,15,8,7,13,2,8,5,0,5,1,0,1,1,0,0,1,0,1,11,4,7,9,2,4,5,0,5,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,10,0,5,5,0,5,36,35,1,34,2,33,1,2,1,0,0,0,0,0,0,0,0,0,13,11,2,8,5,7,1,4,1,0,0,0,0,0,0,0,0,0,10,9,1,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,14,0,14,9,5,0,9,0,9,7,0,7,2,5,0,2,0,2,46,26,20,38,8,22,14,4,14
Douglas,1980,Nevada,NV,19500,NV00300,NV0030000,32,005,32005,1,1,0,1,0,1,0,0,0,2,2,0,2,0,2,0,0,0,6,6,0,4,2,4,0,2,0,17,16,1,16,1,15,1,1,1,33,17,16,30,3,16,14,1,14,94,73,21,80,14,65,14,8,14,15,11,4,14,1,10,4,1,4,2,0,2,2,0,0,2,0,2,97,94,3,82,15,80,2,14,2,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,10,1,10,1,9,1,1,1,4,4,0,2,2,2,0,2,0,9,9,0,7,2,7,0,2,0,38,35,3,31,7,29,2,6,2,16,16,0,11,5,11,0,5,0,56,47,9,46,10,37,9,10,9,56,47,9,46,10,37,9,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,378,3,325,56,322,3,56,3,106,91,15,93,13,78,15,13,15,84,74,10,71,13,61,10,13,10,22,17,5,22,0,17,5,0,5,43,33,10,42,1,32,10,1,10,12,7,5,12,0,7,5,0,5,33,33,0,24,9,24,0,9,0,7,7,0,7,0,7,0,0,0,5,5,0,5,0,5,0,0,0,2,2,0,2,0,2,0,0,0,3,3,0,0,3,0,0,3,0,1,1,0,1,0,1,0,0,0,26,9,17,22,4,8,14,1,14,213,212,1,183,30,182,1,30,1,3,3,0,2,1,2,0,1,0,136,136,0,126,10,126,0,10,0,37,30,7,36,1,29,6,1,6,25,24,1,22,3,21,1,3,1,0,0,0,0,0,0,0,0,0,9,2,7,8,1,2,6,0,6,5,0,5,2,3,0,2,0,2,2,0,2,0,2,0,0,0,0,297,263,34,267,30,241,26,22,26
Elko,1980,Nevada,NV,6128,NV00400,NV0040000,32,007,32007,2,1,1,2,0,1,1,0,1,1,1,0,1,0,1,0,0,0,2,2,0,2,0,2,0,0,0,8,8,0,8,0,8,0,0,0,22,9,13,21,1,9,12,0,12,11,10,1,11,0,10,1,0,1,10,5,5,8,2,3,5,2,5,0,0,0,0,0,0,0,0,0,7,7,0,6,1,6,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,2,1,0,2,0,3,3,0,3,0,3,0,0,0,4,4,0,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,17,1,17,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,1,3,0,1,0,31,31,0,29,2,29,0,2,0,2,2,0,1,1,1,0,1,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,2,5,0,5,3,2,0,3,0,3,41,35,6,35,6,31,4,4,4
Elko,1980,Nevada,NV,8843,NV00401,NV0040100,32,007,32007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,4,4,0,4,0,4,0,0,0,24,13,11,24,0,13,11,0,11,119,92,27,99,20,81,15,11,15,9,2,7,9,0,2,7,0,7,0,0,0,0,0,0,0,0,0,36,36,0,35,1,35,0,1,0,9,9,0,9,0,9,0,0,0,38,38,0,0,38,0,0,38,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,6,0,4,2,0,2,30,28,2,28,2,26,2,2,2,3,3,0,3,0,3,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,76,5,74,7,69,5,7,5,7,5,2,6,1,4,2,1,2,3,1,2,3,0,1,2,0,2,4,4,0,3,1,3,0,1,0,3,1,2,3,0,1,2,0,2,4,4,0,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,20,21,41,0,20,21,0,21,367,363,4,347,20,343,4,20,4,0,0,0,0,0,0,0,0,0,66,59,7,59,7,52,7,7,7,11,11,0,10,1,10,0,1,0,13,11,2,13,0,11,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,2,1,1,0,1,0,1,7,0,7,4,3,0,4,0,4,116,71,45,99,17,69,30,2,30
Carlin,1980,Nevada,NV,1216,NV00402,NV0040200,32,007,32007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,0,6,0,0,0,5,2,3,5,0,2,3,0,3,5,1,4,2,3,0,2,1,2,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,9,4,11,2,7,4,2,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,3,21,2,19,2,1,2,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,19,18,1,18,1,17,1,1,1,0,0,0,0,0,0,0,0,0,8,4,4,4,4,3,1,1,1,6,1,5,6,0,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,7,4,0,7,0,7,7,0,7,1,6,0,1,0,1,18,13,5,13,5,10,3,3,3
