agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,burglary_male_under_10,burglary_male_10_12,burglary_male_13_14,burglary_male_15,burglary_male_16,burglary_male_17,burglary_male_18,burglary_male_19,burglary_male_20,burglary_male_21,burglary_male_22,burglary_male_23,burglary_male_24,burglary_male_25_29,burglary_male_30_34,burglary_male_35_39,burglary_male_40_44,burglary_male_45_49,burglary_male_50_54,burglary_male_55_59,burglary_male_60_64,burglary_male_over_64,burglary_female_under_10,burglary_female_10_12,burglary_female_13_14,burglary_female_15,burglary_female_16,burglary_female_17,burglary_female_18,burglary_female_19,burglary_female_20,burglary_female_21,burglary_female_22,burglary_female_23,burglary_female_24,burglary_female_25_29,burglary_female_30_34,burglary_female_35_39,burglary_female_40_44,burglary_female_45_49,burglary_female_50_54,burglary_female_55_59,burglary_female_60_64,burglary_female_over_64,burglary_adult_white,burglary_adult_black,burglary_adult_asian,burglary_adult_indian,burglary_juv_white,burglary_juv_black,burglary_juv_asian,burglary_juv_indian
Barrington,1980,Rhode Island,RI,16181,RI00101,RI0010100,44,001,44001,65,14,51,63,2,14,47,0,47,2,3,12,10,10,12,7,0,0,2,1,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,51,0,0,0
Bristol,1980,Rhode Island,RI,20165,RI00102,RI0010200,44,001,44001,36,13,23,36,0,13,23,0,23,0,0,5,3,3,12,1,1,2,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,0,0,0
Warren,1980,Rhode Island,RI,10620,RI00103,RI0010300,44,001,44001,26,20,6,24,2,20,4,0,4,0,0,2,0,1,1,9,1,2,2,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,6,0,0,0
Coventry,1980,Rhode Island,RI,26985,RI00201,RI0020100,44,003,44003,63,13,50,61,2,13,38,0,38,10,8,12,7,6,5,1,2,2,3,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,50,0,0,0
East Greenwich,1980,Rhode Island,RI,10208,RI00202,RI0020200,44,003,44003,13,9,4,13,0,9,4,0,4,0,0,0,0,0,4,5,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0
Warwick,1980,Rhode Island,RI,87064,RI00203,RI0020300,44,003,44003,422,118,304,397,25,111,272,7,272,14,33,72,83,46,38,18,31,6,9,2,3,2,34,3,2,1,0,0,0,0,0,0,0,7,4,4,3,1,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,118,0,0,0,304,0,0,0
West Warwick,1980,Rhode Island,RI,26975,RI00204,RI0020400,44,003,44003,13,5,8,13,0,5,8,0,8,0,1,1,3,2,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Greenwich,1980,Rhode Island,RI,2725,RI00205,RI0020500,44,003,44003,5,2,3,5,0,2,3,0,3,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
Jamestown,1980,Rhode Island,RI,4028,RI00301,RI0030100,44,005,44005,4,0,4,4,0,0,4,0,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Middletown,1980,Rhode Island,RI,17251,RI00302,RI0030200,44,005,44005,23,10,13,23,0,10,13,0,13,0,1,2,1,4,5,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,0,0,0
