agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agency_type,group,geographic_division,suburban_agency,theft_tot_arrests,theft_tot_adult,theft_tot_juv,theft_tot_male,theft_tot_female,theft_tot_male_adult,theft_tot_male_juv,theft_tot_female_adult,theft_tot_female_juv,theft_male_under_10,theft_male_10_12,theft_male_13_14,theft_male_15,theft_male_16,theft_male_17,theft_male_18,theft_male_19,theft_male_20,theft_male_21,theft_male_22,theft_male_23,theft_male_24,theft_male_25_29,theft_male_30_34,theft_male_35_39,theft_male_40_44,theft_male_45_49,theft_male_50_54,theft_male_55_59,theft_male_60_64,theft_male_over_64,theft_female_under_10,theft_female_10_12,theft_female_13_14,theft_female_15,theft_female_16,theft_female_17,theft_female_18,theft_female_19,theft_female_20,theft_female_21,theft_female_22,theft_female_23,theft_female_24,theft_female_25_29,theft_female_30_34,theft_female_35_39,theft_female_40_44,theft_female_45_49,theft_female_50_54,theft_female_55_59,theft_female_60_64,theft_female_over_64,theft_adult_white,theft_adult_black,theft_adult_asian,theft_adult_indian,theft_juv_white,theft_juv_black,theft_juv_asian,theft_juv_indian,mtr_veh_theft_tot_arrests,mtr_veh_theft_tot_adult,mtr_veh_theft_tot_juv,mtr_veh_theft_tot_male,mtr_veh_theft_tot_female,mtr_veh_theft_tot_male_adult,mtr_veh_theft_tot_male_juv,mtr_veh_theft_tot_female_adult,mtr_veh_theft_tot_female_juv,mtr_veh_theft_male_under_10,mtr_veh_theft_male_10_12,mtr_veh_theft_male_13_14,mtr_veh_theft_male_15,mtr_veh_theft_male_16,mtr_veh_theft_male_17,mtr_veh_theft_male_18,mtr_veh_theft_male_19,mtr_veh_theft_male_20,mtr_veh_theft_male_21,mtr_veh_theft_male_22,mtr_veh_theft_male_23,mtr_veh_theft_male_24,mtr_veh_theft_male_25_29,mtr_veh_theft_male_30_34,mtr_veh_theft_male_35_39,mtr_veh_theft_male_40_44,mtr_veh_theft_male_45_49,mtr_veh_theft_male_50_54,mtr_veh_theft_male_55_59,mtr_veh_theft_male_60_64,mtr_veh_theft_male_over_64,mtr_veh_theft_female_under_10,mtr_veh_theft_female_10_12,mtr_veh_theft_female_13_14,mtr_veh_theft_female_15,mtr_veh_theft_female_16,mtr_veh_theft_female_17,mtr_veh_theft_female_18,mtr_veh_theft_female_19,mtr_veh_theft_female_20,mtr_veh_theft_female_21,mtr_veh_theft_female_22,mtr_veh_theft_female_23,mtr_veh_theft_female_24,mtr_veh_theft_female_25_29,mtr_veh_theft_female_30_34,mtr_veh_theft_female_35_39,mtr_veh_theft_female_40_44,mtr_veh_theft_female_45_49,mtr_veh_theft_female_50_54,mtr_veh_theft_female_55_59,mtr_veh_theft_female_60_64,mtr_veh_theft_female_over_64,mtr_veh_theft_adult_white,mtr_veh_theft_adult_black,mtr_veh_theft_adult_asian,mtr_veh_theft_adult_indian,mtr_veh_theft_juv_white,mtr_veh_theft_juv_black,mtr_veh_theft_juv_asian,mtr_veh_theft_juv_indian
Aitkin,1980,Minnesota,MN,13405,MN00100,MN0010000,27,001,27001,sheriffs office,"non-msa cnty 10,000-24,999",west north central,non-suburban,4,3,1,4,0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,6,5,1,6,0,5,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0
Anoka,1980,Minnesota,MN,14155,MN00200,MN0020000,27,003,27003,sheriffs office,"msa cnty 10,000-24,999",west north central,suburban,10,3,7,10,0,3,7,0,7,0,0,0,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Anoka,1980,Minnesota,MN,15541,MN00201,MN0020100,27,003,27003,local police department,"cities 10,000-24,999",west north central,suburban,79,32,47,67,12,27,36,5,36,4,3,7,7,6,13,7,5,3,2,3,0,1,3,1,1,0,1,0,0,0,0,0,0,2,1,2,2,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,31,1,0,0,47,0,0,0,9,3,6,9,0,3,6,0,6,0,0,1,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0
Blaine,1980,Minnesota,MN,28574,MN00202,MN0020200,27,003,27003,local police department,"cities 25,000-49,999",west north central,suburban,371,125,246,220,151,84,134,41,134,2,17,44,22,22,29,21,10,8,4,3,3,4,6,5,7,3,4,3,2,1,0,0,11,43,18,23,15,8,3,3,1,3,1,1,4,3,5,3,2,0,2,1,1,124,1,0,0,246,0,0,0,23,7,16,22,1,7,15,0,15,0,0,0,0,12,3,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,16,0,0,0
Circle Pines-lexington,1980,Minnesota,MN,5465,MN00203,MN0020300,27,003,27003,local police department,"cities 2,500-9,999",west north central,suburban,13,0,13,9,4,0,9,0,9,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Columbia Heights,1980,Minnesota,MN,19931,MN00204,MN0020400,27,003,27003,local police department,"cities 10,000-24,999",west north central,suburban,231,127,104,134,97,71,59,56,59,4,8,26,6,7,12,12,8,8,4,5,1,5,9,5,5,2,0,3,2,1,1,1,8,8,9,9,6,5,3,2,3,4,1,1,8,5,4,3,7,1,2,2,5,120,3,2,2,101,0,0,3,8,2,6,7,1,2,5,0,5,0,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0
Coon Rapids,1980,Minnesota,MN,35838,MN00205,MN0020500,27,003,27003,local police department,"cities 25,000-49,999",west north central,suburban,324,108,216,238,86,70,164,38,164,4,16,49,28,36,35,20,8,8,6,4,3,3,7,4,2,2,0,0,0,1,2,1,12,15,6,7,7,3,0,4,3,1,1,2,4,6,5,2,4,1,1,1,0,105,0,3,0,211,3,0,2,14,7,7,14,0,7,7,0,7,0,0,0,0,3,4,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0
Fridley,1980,Minnesota,MN,29901,MN00206,MN0020600,27,003,27003,local police department,"cities 25,000-49,999",west north central,suburban,445,244,201,314,131,151,157,93,157,6,30,33,27,38,29,27,14,13,8,7,11,7,17,14,15,5,6,2,0,1,4,1,6,8,9,6,8,5,9,6,3,11,2,2,12,14,9,7,3,7,0,2,1,241,3,0,0,201,0,0,0,19,5,14,18,1,5,13,0,13,0,1,6,1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0
Lino Lakes,1980,Minnesota,MN,4958,MN00207,MN0020700,27,003,27003,local police department,"cities 2,500-9,999",west north central,suburban,3,2,1,3,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,8,2,6,7,1,2,5,0,5,0,0,0,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0
Spring Lake Park,1980,Minnesota,MN,6473,MN00208,MN0020800,27,003,27003,local police department,"cities 2,500-9,999",west north central,suburban,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,3,0,2,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
