agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,burglary_male_under_10,burglary_male_10_12,burglary_male_13_14,burglary_male_15,burglary_male_16,burglary_male_17,burglary_male_18,burglary_male_19,burglary_male_20,burglary_male_21,burglary_male_22,burglary_male_23,burglary_male_24,burglary_male_25_29,burglary_male_30_34,burglary_male_35_39,burglary_male_40_44,burglary_male_45_49,burglary_male_50_54,burglary_male_55_59,burglary_male_60_64,burglary_male_over_64,burglary_female_under_10,burglary_female_10_12,burglary_female_13_14,burglary_female_15,burglary_female_16,burglary_female_17,burglary_female_18,burglary_female_19,burglary_female_20,burglary_female_21,burglary_female_22,burglary_female_23,burglary_female_24,burglary_female_25_29,burglary_female_30_34,burglary_female_35_39,burglary_female_40_44,burglary_female_45_49,burglary_female_50_54,burglary_female_55_59,burglary_female_60_64,burglary_female_over_64,burglary_adult_white,burglary_adult_black,burglary_adult_asian,burglary_adult_indian,burglary_juv_white,burglary_juv_black,burglary_juv_asian,burglary_juv_indian
Apache,1980,Arizona,AZ,44363,AZ00100,AZ0010000,04,001,04001,13,9,4,13,0,9,4,0,4,0,0,1,1,0,2,1,1,0,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,0,1
Eagar,1980,Arizona,AZ,2784,AZ00101,AZ0010100,04,001,04001,9,1,8,5,4,1,4,0,4,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,1
Saint Johns,1980,Arizona,AZ,3403,AZ00103,AZ0010300,04,001,04001,10,2,8,10,0,2,8,0,8,0,3,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,3
Springerville,1980,Arizona,AZ,1440,AZ00105,AZ0010500,04,001,04001,5,3,2,5,0,3,2,0,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
Cochise,1980,Arizona,AZ,30019,AZ00200,AZ0020000,04,003,04003,54,33,21,49,5,30,16,3,16,3,3,0,3,4,6,7,5,3,2,1,2,3,4,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,25,8,0,0,19,1,1,0
Benson,1980,Arizona,AZ,4212,AZ00201,AZ0020100,04,003,04003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bisbee,1980,Arizona,AZ,7149,AZ00203,AZ0020300,04,003,04003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,1980,Arizona,AZ,13148,AZ00205,AZ0020500,04,003,04003,27,7,20,27,0,7,19,0,19,1,4,3,3,2,7,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,19,1,0,0
Huachuca City,1980,Arizona,AZ,1692,AZ00207,AZ0020700,04,003,04003,8,4,4,5,3,4,1,0,1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0
Sierra Vista,1980,Arizona,AZ,24901,AZ00209,AZ0020900,04,003,04003,49,17,32,46,3,15,29,2,29,2,5,13,1,9,1,8,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,23,9,0,0
Tombstone,1980,Arizona,AZ,1648,AZ00211,AZ0021100,04,003,04003,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Willcox,1980,Arizona,AZ,3101,AZ00213,AZ0021300,04,003,04003,17,9,8,13,4,7,6,2,6,0,1,1,1,2,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0
Coconino,1980,Arizona,AZ,32114,AZ00300,AZ0030000,04,005,04005,33,17,16,27,6,14,11,3,11,2,2,1,3,2,3,5,1,3,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,1,7,0,0,9
Flagstaff,1980,Arizona,AZ,34821,AZ00301,AZ0030100,04,005,04005,120,54,66,97,23,47,45,7,45,5,6,11,6,6,16,14,6,3,7,1,0,0,10,3,1,1,1,0,0,0,0,4,3,1,5,3,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,30,6,0,18,47,2,0,17
Fredonia,1980,Arizona,AZ,1038,AZ00303,AZ0030300,04,005,04005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williams,1980,Arizona,AZ,2269,AZ00307,AZ0030700,04,005,04005,3,2,1,3,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Page,1980,Arizona,AZ,4880,AZ00308,AZ0030800,04,005,04005,3,3,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Northern Arizona Univ,1980,Arizona,AZ,0,AZ00397,AZ0039700,04,005,04005,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gila,1980,Arizona,AZ,20418,AZ00400,AZ0040000,04,007,04007,25,16,9,25,0,16,9,0,9,0,0,1,1,3,4,1,5,2,0,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,1
Globe,1980,Arizona,AZ,6642,AZ00401,AZ0040100,04,007,04007,26,10,16,25,1,10,15,0,15,0,2,6,1,2,4,2,1,3,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,16,0,0,0
Hayden,1980,Arizona,AZ,1215,AZ00403,AZ0040300,04,007,04007,11,2,9,11,0,2,9,0,9,0,1,1,1,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0
Miami,1980,Arizona,AZ,2705,AZ00405,AZ0040500,04,007,04007,10,7,3,9,1,7,2,0,2,0,0,2,0,0,0,0,0,2,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,1
Payson,1980,Arizona,AZ,5058,AZ00406,AZ0040600,04,007,04007,6,3,3,6,0,3,3,0,3,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1
Winkelman,1980,Arizona,AZ,1060,AZ00407,AZ0040700,04,007,04007,4,3,1,4,0,3,1,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
