agency,year,state,population,ORI,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,oth_assault_tot_arrests,oth_assault_tot_adult,oth_assault_tot_juv,oth_assault_tot_male,oth_assault_tot_female,oth_assault_tot_male_adult,oth_assault_tot_male_juv,oth_assault_tot_female_adult,oth_assault_tot_female_juv,arson_tot_arrests,arson_tot_adult,arson_tot_juv,arson_tot_male,arson_tot_female,arson_tot_male_adult,arson_tot_male_juv,arson_tot_female_adult,arson_tot_female_juv,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,curfew_tot_arrests,curfew_tot_adult,curfew_tot_juv,curfew_tot_male,curfew_tot_female,curfew_tot_male_adult,curfew_tot_male_juv,curfew_tot_female_adult,curfew_tot_female_juv,disorder_cond_tot_arrests,disorder_cond_tot_adult,disorder_cond_tot_juv,disorder_cond_tot_male,disorder_cond_tot_female,disorder_cond_tot_male_adult,disorder_cond_tot_male_juv,disorder_cond_tot_female_adult,disorder_cond_tot_female_juv,total_drug_tot_arrests,total_drug_tot_adult,total_drug_tot_juv,total_drug_tot_male,total_drug_tot_female,total_drug_tot_male_adult,total_drug_tot_male_juv,total_drug_tot_female_adult,total_drug_tot_female_juv,poss_drug_tot_arrests,poss_drug_tot_adult,poss_drug_tot_juv,poss_drug_tot_male,poss_drug_tot_female,poss_drug_tot_male_adult,poss_drug_tot_male_juv,poss_drug_tot_female_adult,poss_drug_tot_female_juv,poss_synth_narc_tot_arrests,poss_synth_narc_tot_adult,poss_synth_narc_tot_juv,poss_synth_narc_tot_male,poss_synth_narc_tot_female,poss_synth_narc_tot_male_adult,poss_synth_narc_tot_male_juv,poss_synth_narc_tot_female_adult,poss_synth_narc_tot_female_juv,poss_cannabis_tot_arrests,poss_cannabis_tot_adult,poss_cannabis_tot_juv,poss_cannabis_tot_male,poss_cannabis_tot_female,poss_cannabis_tot_male_adult,poss_cannabis_tot_male_juv,poss_cannabis_tot_female_adult,poss_cannabis_tot_female_juv,poss_heroin_coke_tot_arrests,poss_heroin_coke_tot_adult,poss_heroin_coke_tot_juv,poss_heroin_coke_tot_male,poss_heroin_coke_tot_female,poss_heroin_coke_tot_male_adult,poss_heroin_coke_tot_male_juv,poss_heroin_coke_tot_female_adul,poss_heroin_coke_tot_female_juv,poss_oth_drug_tot_arrests,poss_oth_drug_tot_adult,poss_oth_drug_tot_juv,poss_oth_drug_tot_male,poss_oth_drug_tot_female,poss_oth_drug_tot_male_adult,poss_oth_drug_tot_male_juv,poss_oth_drug_tot_female_adult,poss_oth_drug_tot_female_juv,sale_drug_tot_arrests,sale_drug_tot_adult,sale_drug_tot_juv,sale_drug_tot_male,sale_drug_tot_female,sale_drug_tot_male_adult,sale_drug_tot_male_juv,sale_drug_tot_female_adult,sale_drug_tot_female_juv,sale_synth_narc_tot_arrests,sale_synth_narc_tot_adult,sale_synth_narc_tot_juv,sale_synth_narc_tot_male,sale_synth_narc_tot_female,sale_synth_narc_tot_male_adult,sale_synth_narc_tot_male_juv,sale_synth_narc_tot_female_adult,sale_synth_narc_tot_female_juv,sale_cannabis_tot_arrests,sale_cannabis_tot_adult,sale_cannabis_tot_juv,sale_cannabis_tot_male,sale_cannabis_tot_female,sale_cannabis_tot_male_adult,sale_cannabis_tot_male_juv,sale_cannabis_tot_female_adult,sale_cannabis_tot_female_juv,sale_heroin_coke_tot_arrests,sale_heroin_coke_tot_adult,sale_heroin_coke_tot_juv,sale_heroin_coke_tot_male,sale_heroin_coke_tot_female,sale_heroin_coke_tot_male_adult,sale_heroin_coke_tot_male_juv,sale_heroin_coke_tot_female_adul,sale_heroin_coke_tot_female_juv,sale_oth_drug_tot_arrests,sale_oth_drug_tot_adult,sale_oth_drug_tot_juv,sale_oth_drug_tot_male,sale_oth_drug_tot_female,sale_oth_drug_tot_male_adult,sale_oth_drug_tot_male_juv,sale_oth_drug_tot_female_adult,sale_oth_drug_tot_female_juv,drunkenness_tot_arrests,drunkenness_tot_adult,drunkenness_tot_juv,drunkenness_tot_male,drunkenness_tot_female,drunkenness_tot_male_adult,drunkenness_tot_male_juv,drunkenness_tot_female_adult,drunkenness_tot_female_juv,dui_tot_arrests,dui_tot_adult,dui_tot_juv,dui_tot_male,dui_tot_female,dui_tot_male_adult,dui_tot_male_juv,dui_tot_female_adult,dui_tot_female_juv,embezzlement_tot_arrests,embezzlement_tot_adult,embezzlement_tot_juv,embezzlement_tot_male,embezzlement_tot_female,embezzlement_tot_male_adult,embezzlement_tot_male_juv,embezzlement_tot_female_adult,embezzlement_tot_female_juv,family_offenses_tot_arrests,family_offenses_tot_adult,family_offenses_tot_juv,family_offenses_tot_male,family_offenses_tot_female,family_offenses_tot_male_adult,family_offenses_tot_male_juv,family_offenses_tot_female_adult,family_offenses_tot_female_juv,forgery_tot_arrests,forgery_tot_adult,forgery_tot_juv,forgery_tot_male,forgery_tot_female,forgery_tot_male_adult,forgery_tot_male_juv,forgery_tot_female_adult,forgery_tot_female_juv,fraud_tot_arrests,fraud_tot_adult,fraud_tot_juv,fraud_tot_male,fraud_tot_female,fraud_tot_male_adult,fraud_tot_male_juv,fraud_tot_female_adult,fraud_tot_female_juv,total_gambling_tot_arrests,total_gambling_tot_adult,total_gambling_tot_juv,total_gambling_tot_male,total_gambling_tot_female,total_gambling_tot_male_adult,total_gambling_tot_male_juv,total_gambling_tot_female_adult,total_gambling_tot_female_juv,bookmaking_tot_arrests,bookmaking_tot_adult,bookmaking_tot_juv,bookmaking_tot_male,bookmaking_tot_female,bookmaking_tot_male_adult,bookmaking_tot_male_juv,bookmaking_tot_female_adult,bookmaking_tot_female_juv,number_lottery_tot_arrests,number_lottery_tot_adult,number_lottery_tot_juv,number_lottery_tot_male,number_lottery_tot_female,number_lottery_tot_male_adult,number_lottery_tot_male_juv,number_lottery_tot_female_adult,number_lottery_tot_female_juv,oth_gambling_tot_arrests,oth_gambling_tot_adult,oth_gambling_tot_juv,oth_gambling_tot_male,oth_gambling_tot_female,oth_gambling_tot_male_adult,oth_gambling_tot_male_juv,oth_gambling_tot_female_adult,oth_gambling_tot_female_juv,liquor_tot_arrests,liquor_tot_adult,liquor_tot_juv,liquor_tot_male,liquor_tot_female,liquor_tot_male_adult,liquor_tot_male_juv,liquor_tot_female_adult,liquor_tot_female_juv,manslaught_neg_tot_arrests,manslaught_neg_tot_adult,manslaught_neg_tot_juv,manslaught_neg_tot_male,manslaught_neg_tot_female,manslaught_neg_tot_male_adult,manslaught_neg_tot_male_juv,manslaught_neg_tot_female_adult,manslaught_neg_tot_female_juv,mtr_veh_theft_tot_arrests,mtr_veh_theft_tot_adult,mtr_veh_theft_tot_juv,mtr_veh_theft_tot_male,mtr_veh_theft_tot_female,mtr_veh_theft_tot_male_adult,mtr_veh_theft_tot_male_juv,mtr_veh_theft_tot_female_adult,mtr_veh_theft_tot_female_juv,murder_tot_arrests,murder_tot_adult,murder_tot_juv,murder_tot_male,murder_tot_female,murder_tot_male_adult,murder_tot_male_juv,murder_tot_female_adult,murder_tot_female_juv,oth_non_traffic_tot_arrests,oth_non_traffic_tot_adult,oth_non_traffic_tot_juv,oth_non_traffic_tot_male,oth_non_traffic_tot_female,oth_non_traffic_tot_male_adult,oth_non_traffic_tot_male_juv,oth_non_traffic_tot_female_adult,oth_non_traffic_tot_female_juv,prostitution_tot_arrests,prostitution_tot_adult,prostitution_tot_juv,prostitution_tot_male,prostitution_tot_female,prostitution_tot_male_adult,prostitution_tot_male_juv,prostitution_tot_female_adult,prostitution_tot_female_juv,rape_tot_arrests,rape_tot_adult,rape_tot_juv,rape_tot_male,rape_tot_female,rape_tot_male_adult,rape_tot_male_juv,rape_tot_female_adult,rape_tot_female_juv,robbery_tot_arrests,robbery_tot_adult,robbery_tot_juv,robbery_tot_male,robbery_tot_female,robbery_tot_male_adult,robbery_tot_male_juv,robbery_tot_female_adult,robbery_tot_female_juv,runaway_tot_arrests,runaway_tot_adult,runaway_tot_juv,runaway_tot_male,runaway_tot_female,runaway_tot_male_adult,runaway_tot_male_juv,runaway_tot_female_adult,runaway_tot_female_juv,oth_sex_off_tot_arrests,oth_sex_off_tot_adult,oth_sex_off_tot_juv,oth_sex_off_tot_male,oth_sex_off_tot_female,oth_sex_off_tot_male_adult,oth_sex_off_tot_male_juv,oth_sex_off_tot_female_adult,oth_sex_off_tot_female_juv,stolen_property_tot_arrests,stolen_property_tot_adult,stolen_property_tot_juv,stolen_property_tot_male,stolen_property_tot_female,stolen_property_tot_male_adult,stolen_property_tot_male_juv,stolen_property_tot_female_adult,stolen_property_tot_female_juv,suspicion_tot_arrests,suspicion_tot_adult,suspicion_tot_juv,suspicion_tot_male,suspicion_tot_female,suspicion_tot_male_adult,suspicion_tot_male_juv,suspicion_tot_female_adult,suspicion_tot_female_juv,theft_tot_arrests,theft_tot_adult,theft_tot_juv,theft_tot_male,theft_tot_female,theft_tot_male_adult,theft_tot_male_juv,theft_tot_female_adult,theft_tot_female_juv,vagrancy_tot_arrests,vagrancy_tot_adult,vagrancy_tot_juv,vagrancy_tot_male,vagrancy_tot_female,vagrancy_tot_male_adult,vagrancy_tot_male_juv,vagrancy_tot_female_adult,vagrancy_tot_female_juv,vandalism_tot_arrests,vandalism_tot_adult,vandalism_tot_juv,vandalism_tot_male,vandalism_tot_female,vandalism_tot_male_adult,vandalism_tot_male_juv,vandalism_tot_female_adult,vandalism_tot_female_juv,weapons_tot_arrests,weapons_tot_adult,weapons_tot_juv,weapons_tot_male,weapons_tot_female,weapons_tot_male_adult,weapons_tot_male_juv,weapons_tot_female_adult,weapons_tot_female_juv
Oktibbeha County Sheriff's Office,2016,Mississippi,24422,MS05300,30,30,0,25,5,25,0,5,0,32,32,0,26,6,26,0,6,0,2,2,0,2,0,2,0,0,0,45,41,4,41,4,37,4,4,4,0,0,0,0,0,0,0,0,0,34,34,0,26,8,26,0,8,0,198,198,0,171,27,171,0,27,0,153,153,0,131,22,131,0,22,0,14,14,0,11,3,11,0,3,0,113,113,0,96,17,96,0,17,0,20,20,0,18,2,18,0,2,0,6,6,0,6,0,6,0,0,0,45,45,0,40,5,40,0,5,0,3,3,0,3,0,3,0,0,0,26,26,0,24,2,24,0,2,0,16,16,0,13,3,13,0,3,0,0,0,0,0,0,0,0,0,0,16,16,0,13,3,13,0,3,0,132,131,1,108,24,107,1,24,1,12,12,0,4,8,4,0,8,0,32,32,0,25,7,25,0,7,0,31,31,0,24,7,24,0,7,0,5,5,0,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,3,2,1,3,0,2,1,0,1,1,0,1,1,0,0,1,0,1,59,59,0,43,16,43,0,16,0,1,1,0,1,0,1,0,0,0,4,4,0,2,2,2,0,2,0,10,9,1,9,1,8,1,1,1,0,0,0,0,0,0,0,0,0,20,20,0,19,1,19,0,1,0,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,27,23,4,23,4,21,2,2,2,0,0,0,0,0,0,0,0,0,20,20,0,15,5,15,0,5,0,11,11,0,11,0,11,0,0,0
Oktibbeha County Sheriff's Office,2015,Mississippi,24589,MS05300,30,30,0,27,3,27,0,3,0,40,39,1,25,15,25,0,14,0,0,0,0,0,0,0,0,0,0,60,52,8,49,11,41,8,11,8,0,0,0,0,0,0,0,0,0,49,48,1,38,11,38,0,10,0,190,190,0,168,22,168,0,22,0,102,102,0,88,14,88,0,14,0,38,38,0,33,5,33,0,5,0,44,44,0,38,6,38,0,6,0,18,18,0,15,3,15,0,3,0,2,2,0,2,0,2,0,0,0,88,88,0,80,8,80,0,8,0,2,2,0,2,0,2,0,0,0,58,58,0,52,6,52,0,6,0,27,27,0,26,1,26,0,1,0,1,1,0,0,1,0,0,1,0,22,22,0,20,2,20,0,2,0,141,140,1,109,32,109,0,31,0,12,12,0,7,5,7,0,5,0,27,26,1,19,8,18,1,8,1,41,41,0,26,15,26,0,15,0,17,17,0,6,11,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,5,5,0,5,0,5,0,0,0,64,64,0,56,8,56,0,8,0,1,1,0,1,0,1,0,0,0,2,2,0,2,0,2,0,0,0,17,17,0,16,1,16,0,1,0,0,0,0,0,0,0,0,0,0,22,21,1,22,0,21,1,0,1,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,33,3,33,0,3,0,0,0,0,0,0,0,0,0,0,10,10,0,5,5,5,0,5,0,11,11,0,10,1,10,0,1,0
Oktibbeha County Sheriff's Office,2014,Mississippi,24352,MS05300,29,28,1,26,3,25,1,3,1,22,22,0,13,9,13,0,9,0,1,1,0,1,0,1,0,0,0,37,37,0,34,3,34,0,3,0,0,0,0,0,0,0,0,0,0,63,63,0,46,17,46,0,17,0,212,209,3,176,36,173,3,36,3,162,159,3,134,28,131,3,28,3,49,49,0,40,9,40,0,9,0,88,85,3,76,12,73,3,12,3,18,18,0,13,5,13,0,5,0,7,7,0,5,2,5,0,2,0,50,50,0,42,8,42,0,8,0,12,12,0,5,7,5,0,7,0,26,26,0,26,0,26,0,0,0,4,4,0,3,1,3,0,1,0,8,8,0,8,0,8,0,0,0,25,25,0,23,2,23,0,2,0,158,158,0,129,29,129,0,29,0,7,7,0,2,5,2,0,5,0,38,38,0,26,12,26,0,12,0,47,47,0,30,17,30,0,17,0,10,10,0,6,4,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,5,4,1,5,0,4,1,0,1,8,8,0,7,1,7,0,1,0,47,47,0,38,9,38,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,13,1,13,0,1,0,0,0,0,0,0,0,0,0,0,20,19,1,20,0,19,1,0,1,9,9,0,8,1,8,0,1,0,0,0,0,0,0,0,0,0,0,42,42,0,32,10,32,0,10,0,0,0,0,0,0,0,0,0,0,15,15,0,8,7,8,0,7,0,11,11,0,10,1,10,0,1,0
Oktibbeha County Sheriff's Office,2013,Mississippi,23865,MS05300,14,14,0,12,2,12,0,2,0,10,10,0,7,3,7,0,3,0,3,3,0,3,0,3,0,0,0,29,28,1,27,2,26,1,2,1,0,0,0,0,0,0,0,0,0,29,29,0,20,9,20,0,9,0,108,108,0,93,15,93,0,15,0,81,81,0,68,13,68,0,13,0,17,17,0,13,4,13,0,4,0,54,54,0,46,8,46,0,8,0,8,8,0,7,1,7,0,1,0,2,2,0,2,0,2,0,0,0,27,27,0,25,2,25,0,2,0,1,1,0,0,1,0,0,1,0,15,15,0,15,0,15,0,0,0,11,11,0,10,1,10,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0,12,2,12,0,2,0,86,86,0,66,20,66,0,20,0,6,6,0,4,2,4,0,2,0,19,19,0,16,3,16,0,3,0,17,17,0,10,7,10,0,7,0,5,5,0,1,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,41,1,33,9,32,1,9,1,1,1,0,1,0,1,0,0,0,2,2,0,2,0,2,0,0,0,9,8,1,6,3,5,1,3,1,0,0,0,0,0,0,0,0,0,4,4,0,4,0,4,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,10,2,10,0,2,0,0,0,0,0,0,0,0,0,0,6,6,0,4,2,4,0,2,0,3,2,1,3,0,2,1,0,1
Oktibbeha County Sheriff's Office,2012,Mississippi,23866,MS05300,29,29,0,25,4,25,0,4,0,26,25,1,17,9,17,0,8,0,2,2,0,1,1,1,0,1,0,34,31,3,34,0,31,3,0,3,0,0,0,0,0,0,0,0,0,50,48,2,36,14,36,0,12,0,154,153,1,127,27,126,1,27,1,124,123,1,103,21,102,1,21,1,25,25,0,18,7,18,0,7,0,72,71,1,65,7,64,1,7,1,16,16,0,14,2,14,0,2,0,11,11,0,6,5,6,0,5,0,30,30,0,24,6,24,0,6,0,3,3,0,3,0,3,0,0,0,19,19,0,17,2,17,0,2,0,1,1,0,0,1,0,0,1,0,7,7,0,4,3,4,0,3,0,30,30,0,24,6,24,0,6,0,161,160,1,131,30,131,0,29,0,6,6,0,3,3,3,0,3,0,24,24,0,17,7,17,0,7,0,34,32,2,19,15,17,2,15,2,3,3,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,5,5,0,5,0,5,0,0,0,7,6,1,7,0,6,1,0,1,45,45,0,34,11,34,0,11,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0,12,0,12,0,0,0,2,0,2,1,1,0,1,0,1,15,12,3,15,0,12,3,0,3,6,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,31,7,31,0,7,0,0,0,0,0,0,0,0,0,0,17,16,1,13,4,12,1,4,1,10,10,0,9,1,9,0,1,0
Oktibbeha County Sheriff's Office,2011,Mississippi,23873,MS05300,43,41,2,31,12,29,2,12,2,43,41,2,28,15,28,0,13,0,1,1,0,0,1,0,0,1,0,55,51,4,50,5,46,4,5,4,0,0,0,0,0,0,0,0,0,67,63,4,52,15,48,4,15,4,182,181,1,162,20,161,1,20,1,110,109,1,96,14,95,1,14,1,25,25,0,24,1,24,0,1,0,64,63,1,58,6,57,1,6,1,13,13,0,11,2,11,0,2,0,8,8,0,3,5,3,0,5,0,72,72,0,66,6,66,0,6,0,10,10,0,7,3,7,0,3,0,37,37,0,36,1,36,0,1,0,4,4,0,4,0,4,0,0,0,21,21,0,19,2,19,0,2,0,42,42,0,40,2,40,0,2,0,116,114,2,95,21,94,1,20,1,7,7,0,1,6,1,0,6,0,56,55,1,39,17,39,0,16,0,61,61,0,32,29,32,0,29,0,16,16,0,9,7,9,0,7,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2,9,0,7,2,0,2,0,0,0,0,0,0,0,0,0,63,61,2,49,14,48,1,13,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,28,21,7,28,0,21,7,0,7,0,0,0,0,0,0,0,0,0,15,11,4,12,3,11,1,0,1,10,8,2,9,1,7,2,1,2,1,1,0,1,0,1,0,0,0,54,50,4,46,8,42,3,8,3,0,0,0,0,0,0,0,0,0,28,28,0,20,8,20,0,8,0,6,6,0,6,0,6,0,0,0
Oktibbeha County Sheriff's Office,2010,Mississippi,23783,MS05300,45,45,0,32,13,32,0,13,0,34,33,1,28,6,27,1,6,1,1,1,0,1,0,1,0,0,0,55,50,5,54,1,49,5,1,5,0,0,0,0,0,0,0,0,0,42,38,4,40,2,36,4,2,4,302,301,1,245,57,244,1,57,1,188,187,1,151,37,150,1,37,1,45,45,0,33,12,33,0,12,0,81,80,1,71,10,70,1,10,1,41,41,0,34,7,34,0,7,0,21,21,0,13,8,13,0,8,0,114,114,0,94,20,94,0,20,0,15,15,0,12,3,12,0,3,0,56,56,0,48,8,48,0,8,0,18,18,0,16,2,16,0,2,0,25,25,0,18,7,18,0,7,0,30,30,0,27,3,27,0,3,0,130,130,0,122,8,122,0,8,0,19,19,0,14,5,14,0,5,0,24,24,0,18,6,18,0,6,0,53,52,1,31,22,30,1,22,1,26,26,0,13,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,40,2,34,8,32,2,8,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,56,3,48,11,45,3,11,3,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,23,21,2,18,5,16,2,5,2,0,0,0,0,0,0,0,0,0,16,16,0,15,1,15,0,1,0,5,5,0,4,1,4,0,1,0,0,0,0,0,0,0,0,0,0,50,48,2,37,13,35,2,13,2,0,0,0,0,0,0,0,0,0,8,8,0,7,1,7,0,1,0,10,10,0,9,1,9,0,1,0
Oktibbeha County Sheriff's Office,2009,Mississippi,19613,MS05300,39,39,0,31,8,31,0,8,0,30,28,2,22,8,20,2,8,2,2,0,2,2,0,0,2,0,2,52,48,4,50,2,46,4,2,4,0,0,0,0,0,0,0,0,0,21,20,1,15,6,14,1,6,1,169,166,3,139,30,136,3,30,3,100,98,2,81,19,79,2,19,2,15,15,0,11,4,11,0,4,0,47,46,1,42,5,41,1,5,1,19,18,1,16,3,15,1,3,1,19,19,0,12,7,12,0,7,0,69,68,1,58,11,57,1,11,1,16,16,0,9,7,9,0,7,0,23,23,0,20,3,20,0,3,0,20,19,1,19,1,18,1,1,1,10,10,0,10,0,10,0,0,0,57,57,0,50,7,50,0,7,0,93,91,2,80,13,79,1,12,1,3,3,0,0,3,0,0,3,0,12,12,0,9,3,9,0,3,0,43,43,0,21,22,21,0,22,0,27,27,0,16,11,16,0,11,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,1,9,7,9,0,6,0,1,1,0,1,0,1,0,0,0,3,3,0,3,0,3,0,0,0,5,5,0,2,3,2,0,3,0,62,62,0,55,7,55,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,6,13,0,7,6,0,6,0,0,0,0,0,0,0,0,0,14,14,0,13,1,13,0,1,0,11,11,0,10,1,10,0,1,0,0,0,0,0,0,0,0,0,0,16,15,1,12,4,11,1,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,5,5,0,5,0,5,0,0,0
Oktibbeha County Sheriff's Office,2008,Mississippi,20037,MS05300,44,40,4,37,7,34,3,6,3,52,46,6,39,13,38,1,8,1,4,3,1,4,0,3,1,0,1,52,49,3,48,4,45,3,4,3,0,0,0,0,0,0,0,0,0,38,35,3,23,15,23,0,12,0,180,179,1,156,24,155,1,24,1,105,104,1,88,17,87,1,17,1,4,4,0,3,1,3,0,1,0,41,40,1,36,5,35,1,5,1,44,44,0,34,10,34,0,10,0,16,16,0,15,1,15,0,1,0,75,75,0,68,7,68,0,7,0,11,11,0,10,1,10,0,1,0,25,25,0,24,1,24,0,1,0,35,35,0,30,5,30,0,5,0,4,4,0,4,0,4,0,0,0,40,40,0,37,3,37,0,3,0,115,115,0,106,9,106,0,9,0,9,9,0,3,6,3,0,6,0,14,14,0,10,4,10,0,4,0,61,61,0,28,33,28,0,33,0,22,22,0,10,12,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,11,1,11,0,1,0,1,1,0,0,1,0,0,1,0,4,3,1,4,0,3,1,0,1,3,3,0,3,0,3,0,0,0,65,57,8,56,9,48,8,9,8,0,0,0,0,0,0,0,0,0,5,4,1,5,0,4,1,0,1,8,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,19,15,4,19,0,15,4,0,4,4,4,0,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,11,9,2,11,0,9,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,0,1,0,5,5,0,5,0,5,0,0,0
Oktibbeha County Sheriff's Office,2007,Mississippi,18647,MS05300,28,27,1,23,5,22,1,5,1,51,50,1,41,10,40,1,10,1,4,4,0,4,0,4,0,0,0,65,55,10,63,2,54,9,1,9,0,0,0,0,0,0,0,0,0,28,26,2,24,4,22,2,4,2,263,261,2,220,43,219,1,42,1,156,155,1,131,25,131,0,24,0,21,21,0,18,3,18,0,3,0,64,63,1,53,11,53,0,10,0,59,59,0,49,10,49,0,10,0,12,12,0,11,1,11,0,1,0,107,106,1,89,18,88,1,18,1,16,16,0,16,0,16,0,0,0,41,41,0,34,7,34,0,7,0,43,42,1,32,11,31,1,11,1,7,7,0,7,0,7,0,0,0,44,44,0,37,7,37,0,7,0,135,134,1,118,17,118,0,16,0,5,5,0,4,1,4,0,1,0,20,20,0,19,1,19,0,1,0,48,48,0,26,22,26,0,22,0,10,10,0,6,4,6,0,4,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,15,15,0,13,2,13,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,1,1,1,1,0,1,1,1,66,62,4,60,6,56,4,6,4,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,20,17,3,20,0,17,3,0,3,1,0,1,1,0,0,1,0,1,11,11,0,11,0,11,0,0,0,3,3,0,3,0,3,0,0,0,2,2,0,0,2,0,0,2,0,19,18,1,17,2,16,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,5,0,0,0
