agency,year,state,population,ORI,anti_white_violent,anti_multi_racial_group_violent,anti_muslim_violent,anti_hispanic_violent,anti_black_violent,anti_mental_disability_violent,anti_male_homosexual_gay_violent,anti_ethnicity_other_than_hispanic_violent,anti_jewish_violent,anti_american_indian_or_native_alaskan_violent,anti_physical_disability_violent,anti_transgender_violent,anti_other_religion_violent,anti_asian_violent,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_violent,anti_female_homosexual_lesbian_violent,anti_catholic_violent,anti_multi_religious_group_violent,anti_bisexual_violent,anti_arab_violent,anti_native_hawaiian_or_other_pacific_islander_violent,anti_heterosexual_violent,anti_other_christian_violent,anti_sikh_violent,anti_protestant_violent,anti_gender_non_conforming_violent,anti_female_violent,anti_hindu_violent,anti_jehovahs_witness_violent,anti_buddhist_violent,anti_mormon_violent,anti_atheism_agnosticism_violent,anti_eastern_orthodox_greek_russian_etc_violent,anti_male_violent,anti_total_violent,anti_white_nonviolent,anti_multi_racial_group_nonviolent,anti_muslim_nonviolent,anti_hispanic_nonviolent,anti_black_nonviolent,anti_mental_disability_nonviolent,anti_male_homosexual_gay_nonviolent,anti_ethnicity_other_than_hispanic_nonviolent,anti_jewish_nonviolent,anti_american_indian_or_native_alaskan_nonviolent,anti_physical_disability_nonviolent,anti_transgender_nonviolent,anti_other_religion_nonviolent,anti_asian_nonviolent,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_nonviolent,anti_female_homosexual_lesbian_nonviolent,anti_catholic_nonviolent,anti_multi_religious_group_nonviolent,anti_bisexual_nonviolent,anti_arab_nonviolent,anti_native_hawaiian_or_other_pacific_islander_nonviolent,anti_heterosexual_nonviolent,anti_other_christian_nonviolent,anti_sikh_nonviolent,anti_protestant_nonviolent,anti_gender_non_conforming_nonviolent,anti_female_nonviolent,anti_hindu_nonviolent,anti_jehovahs_witness_nonviolent,anti_buddhist_nonviolent,anti_mormon_nonviolent,anti_atheism_agnosticism_nonviolent,anti_eastern_orthodox_greek_russian_etc_nonviolent,anti_male_nonviolent,anti_total_nonviolent,anti_white_sexual,anti_multi_racial_group_sexual,anti_muslim_sexual,anti_hispanic_sexual,anti_black_sexual,anti_mental_disability_sexual,anti_male_homosexual_gay_sexual,anti_ethnicity_other_than_hispanic_sexual,anti_jewish_sexual,anti_american_indian_or_native_alaskan_sexual,anti_physical_disability_sexual,anti_transgender_sexual,anti_other_religion_sexual,anti_asian_sexual,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_sexual,anti_female_homosexual_lesbian_sexual,anti_catholic_sexual,anti_multi_religious_group_sexual,anti_bisexual_sexual,anti_arab_sexual,anti_native_hawaiian_or_other_pacific_islander_sexual,anti_heterosexual_sexual,anti_other_christian_sexual,anti_sikh_sexual,anti_protestant_sexual,anti_gender_non_conforming_sexual,anti_female_sexual,anti_hindu_sexual,anti_jehovahs_witness_sexual,anti_buddhist_sexual,anti_mormon_sexual,anti_atheism_agnosticism_sexual,anti_eastern_orthodox_greek_russian_etc_sexual,anti_male_sexual,anti_total_sexual,anti_white_total,anti_multi_racial_group_total,anti_muslim_total,anti_hispanic_total,anti_black_total,anti_mental_disability_total,anti_male_homosexual_gay_total,anti_ethnicity_other_than_hispanic_total,anti_jewish_total,anti_american_indian_or_native_alaskan_total,anti_physical_disability_total,anti_transgender_total,anti_other_religion_total,anti_asian_total,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_total,anti_female_homosexual_lesbian_total,anti_catholic_total,anti_multi_religious_group_total,anti_bisexual_total,anti_arab_total,anti_native_hawaiian_or_other_pacific_islander_total,anti_heterosexual_total,anti_other_christian_total,anti_sikh_total,anti_protestant_total,anti_gender_non_conforming_total,anti_female_total,anti_hindu_total,anti_jehovahs_witness_total,anti_buddhist_total,anti_mormon_total,anti_atheism_agnosticism_total,anti_eastern_orthodox_greek_russian_etc_total,anti_male_total,anti_total_total
Los Angeles Police Department,1995,California,3466211,CA0194200,27,31,6,50,121,0,37,18,35,0,0,0,1,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,3,4,0,5,24,0,7,0,33,0,0,0,2,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,35,6,55,145,0,44,18,68,0,0,0,3,25,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,437
Los Angeles Police Department,1996,California,3498139,CA0194200,37,11,3,47,163,0,58,18,24,0,0,0,0,17,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,6,6,0,3,31,0,4,2,28,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,17,3,50,194,0,62,20,52,0,0,0,0,24,1,7,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,481
Los Angeles Police Department,1997,California,3541309,CA0194200,24,12,0,36,117,0,45,20,43,0,0,0,0,14,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,2,3,0,2,29,0,12,4,27,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,0,38,146,0,57,24,70,0,0,0,0,18,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403
Los Angeles Police Department,1998,California,3621680,CA0194200,25,4,2,38,113,0,54,14,37,1,1,0,1,11,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,312,6,11,0,7,21,0,12,1,25,0,0,0,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,15,2,45,134,0,66,15,62,1,1,0,3,13,3,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,404
Los Angeles Police Department,1999,California,3650138,CA0194200,27,6,1,46,114,0,89,28,48,1,0,0,2,10,4,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,394,1,8,0,11,35,0,14,7,48,0,0,0,3,15,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,14,1,57,150,0,103,35,96,1,0,0,5,25,5,16,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,541
Los Angeles Police Department,2000,California,3713238,CA0194200,21,9,0,64,141,0,79,19,23,0,0,0,1,17,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,11,9,1,17,25,0,13,9,68,0,0,0,2,7,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,172,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,18,1,81,167,0,92,28,91,0,0,0,3,24,7,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,555
Los Angeles Police Department,2001,California,3763486,CA0194200,32,4,10,62,118,0,78,70,43,0,1,0,0,19,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,6,6,8,21,0,11,14,26,0,0,0,3,4,4,3,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10,16,70,139,0,89,84,69,0,1,0,3,23,5,9,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,559
Los Angeles Police Department,2002,California,3830561,CA0194200,20,2,3,36,71,0,37,24,22,0,1,0,3,5,25,6,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,259,3,8,0,4,21,0,8,9,29,0,0,0,2,3,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,3,40,92,0,45,33,51,0,1,0,5,8,29,7,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,354
Los Angeles Police Department,2011,California,3837207,CA0194200,8,1,3,9,33,0,6,9,6,0,0,0,0,0,20,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1,1,1,4,22,0,3,6,17,0,0,0,4,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,13,55,0,9,15,23,0,0,0,4,2,26,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
Los Angeles Police Department,2003,California,3838838,CA0194200,15,1,3,12,57,0,13,26,10,0,0,0,4,3,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,1,0,1,4,12,0,1,10,40,0,0,0,3,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,4,16,69,0,14,36,50,0,0,0,7,4,54,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276
