agency,year,state,population,ORI,anti_white_violent,anti_multi_racial_group_violent,anti_muslim_violent,anti_hispanic_violent,anti_black_violent,anti_mental_disability_violent,anti_male_homosexual_gay_violent,anti_ethnicity_other_than_hispanic_violent,anti_jewish_violent,anti_american_indian_or_native_alaskan_violent,anti_physical_disability_violent,anti_transgender_violent,anti_other_religion_violent,anti_asian_violent,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_violent,anti_female_homosexual_lesbian_violent,anti_catholic_violent,anti_multi_religious_group_violent,anti_bisexual_violent,anti_arab_violent,anti_native_hawaiian_or_other_pacific_islander_violent,anti_heterosexual_violent,anti_other_christian_violent,anti_sikh_violent,anti_protestant_violent,anti_gender_non_conforming_violent,anti_female_violent,anti_hindu_violent,anti_jehovahs_witness_violent,anti_buddhist_violent,anti_mormon_violent,anti_atheism_agnosticism_violent,anti_eastern_orthodox_greek_russian_etc_violent,anti_male_violent,anti_total_violent,anti_white_nonviolent,anti_multi_racial_group_nonviolent,anti_muslim_nonviolent,anti_hispanic_nonviolent,anti_black_nonviolent,anti_mental_disability_nonviolent,anti_male_homosexual_gay_nonviolent,anti_ethnicity_other_than_hispanic_nonviolent,anti_jewish_nonviolent,anti_american_indian_or_native_alaskan_nonviolent,anti_physical_disability_nonviolent,anti_transgender_nonviolent,anti_other_religion_nonviolent,anti_asian_nonviolent,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_nonviolent,anti_female_homosexual_lesbian_nonviolent,anti_catholic_nonviolent,anti_multi_religious_group_nonviolent,anti_bisexual_nonviolent,anti_arab_nonviolent,anti_native_hawaiian_or_other_pacific_islander_nonviolent,anti_heterosexual_nonviolent,anti_other_christian_nonviolent,anti_sikh_nonviolent,anti_protestant_nonviolent,anti_gender_non_conforming_nonviolent,anti_female_nonviolent,anti_hindu_nonviolent,anti_jehovahs_witness_nonviolent,anti_buddhist_nonviolent,anti_mormon_nonviolent,anti_atheism_agnosticism_nonviolent,anti_eastern_orthodox_greek_russian_etc_nonviolent,anti_male_nonviolent,anti_total_nonviolent,anti_white_total,anti_multi_racial_group_total,anti_muslim_total,anti_hispanic_total,anti_black_total,anti_mental_disability_total,anti_male_homosexual_gay_total,anti_ethnicity_other_than_hispanic_total,anti_jewish_total,anti_american_indian_or_native_alaskan_total,anti_physical_disability_total,anti_transgender_total,anti_other_religion_total,anti_asian_total,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_total,anti_female_homosexual_lesbian_total,anti_catholic_total,anti_multi_religious_group_total,anti_bisexual_total,anti_arab_total,anti_native_hawaiian_or_other_pacific_islander_total,anti_heterosexual_total,anti_other_christian_total,anti_sikh_total,anti_protestant_total,anti_gender_non_conforming_total,anti_female_total,anti_hindu_total,anti_jehovahs_witness_total,anti_buddhist_total,anti_mormon_total,anti_atheism_agnosticism_total,anti_eastern_orthodox_greek_russian_etc_total,anti_male_total,anti_total_total
New York City Police Department,2017,New York,8616333,NY0303000,8,0,11,6,19,0,36,7,23,0,0,11,0,5,2,4,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,1,0,3,1,15,0,3,7,124,0,0,0,1,1,0,1,6,2,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,172,9,0,14,7,34,0,39,14,147,0,0,11,1,6,2,5,7,2,0,18,0,0,1,0,0,0,0,1,0,0,0,0,0,0,318
New York City Police Department,2016,New York,8566917,NY0303000,13,0,25,1,10,0,62,22,36,0,0,17,2,5,0,8,2,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,209,4,0,4,2,9,0,7,5,101,0,1,0,0,3,0,2,8,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,152,17,0,29,3,19,0,69,27,137,0,1,17,2,8,0,10,10,1,0,0,0,0,3,0,0,2,5,1,0,0,0,0,0,0,361
New York City Police Department,2015,New York,8550861,NY0303000,10,0,14,8,17,0,55,4,53,0,1,0,0,7,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,1,7,2,10,0,11,9,70,0,0,0,2,3,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,10,1,21,10,27,0,66,13,123,0,1,0,2,10,1,13,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307
New York City Police Department,2014,New York,8473938,NY0303000,7,2,15,6,16,0,59,3,38,0,0,1,1,1,1,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,157,1,0,8,2,9,0,12,11,88,0,0,0,4,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,8,2,23,8,25,0,71,14,126,0,0,1,5,2,2,5,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,307
New York City Police Department,2013,New York,8396126,NY0303000,12,0,12,4,15,0,81,5,31,1,1,0,0,6,0,9,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,182,0,3,5,3,6,0,9,5,88,0,0,0,0,1,0,0,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,132,12,3,17,7,21,0,90,10,119,1,1,0,0,7,0,9,13,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,314
New York City Police Department,2012,New York,8289415,NY0303000,4,0,14,8,17,0,40,1,42,0,0,0,0,2,0,7,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,139,2,3,11,2,16,0,5,3,174,0,0,0,2,1,1,0,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,235,6,3,25,10,33,0,45,4,216,0,0,0,2,3,1,7,9,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,374
New York City Police Department,2011,New York,8211875,NY0303000,4,1,12,0,12,0,46,5,28,0,0,0,4,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,3,3,0,10,0,7,2,76,1,0,0,6,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,4,4,15,0,22,0,53,7,104,1,0,0,10,2,4,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
New York City Police Department,2010,New York,8336002,NY0303000,4,2,17,27,20,0,60,19,69,0,0,0,3,1,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,8,5,0,16,0,5,3,67,0,0,0,5,0,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,116,4,10,22,27,36,0,65,22,136,0,0,0,8,1,4,6,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,348
New York City Police Department,2009,New York,8336002,NY0303000,8,2,2,12,10,0,43,4,46,0,0,0,0,2,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1,4,2,5,18,0,4,6,83,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,9,6,4,17,28,0,47,10,129,0,0,0,5,2,2,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272
New York City Police Department,2008,New York,8345075,NY0303000,7,1,2,2,18,0,35,4,39,0,0,0,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,17,1,1,19,0,5,6,80,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,141,7,18,3,3,37,0,40,10,119,0,1,0,12,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,258
